Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTA_M_R
177,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
178,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
179,NULL,Forest,Cropland,Non_Water,Non_Wetland,Water
180,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
181,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
182,NULL,Forest,Cropland,Water,Non_Wetland,Bareland
183,NULL,Forest,Wetland,NULL,Wetland,Wetland
184,NULL,Forest,Wetland,NULL,Wetland,Forest
185,NULL,Forest,Wetland,Non_Water,Wetland,Forest
186,NULL,Forest,Wetland,Water,Wetland,Water
187,NULL,Forest,Wetland,Water,Wetland,Forest
188,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
189,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
190,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
191,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
192,NULL,Forest,Water,NULL,Water,Forest
193,NULL,Forest,Water,Water,Water,Water
194,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
195,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
196,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
197,NULL,Forest,Forest,NULL,Non_Wetland,Water
198,NULL,Forest,Forest,NULL,Non_Wetland,Forest
199,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
200,NULL,Forest,Forest,Water,Non_Wetland,Water
201,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
202,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
203,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
204,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
205,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
206,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
207,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
208,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
209,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
210,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
211,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
212,Grassland,NULL,Cropland,Water,Non_Wetland,Water
213,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
214,Grassland,NULL,Wetland,NULL,Wetland,Grassland
215,Grassland,NULL,Wetland,NULL,Wetland,Forest
216,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
217,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
218,Grassland,NULL,Wetland,Water,Wetland,Wetland
219,Grassland,NULL,Wetland,Water,Wetland,Water
220,Grassland,NULL,Water,NULL,Water,Water
221,Grassland,NULL,Water,Water,Water,Grassland
222,Grassland,NULL,Water,Water,Water,Wetland
223,Grassland,NULL,Water,Water,Water,Water
224,Grassland,NULL,Water,Water,Water,Forest
225,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
226,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
227,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
228,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
229,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
230,Grassland,NULL,Forest,Water,Non_Wetland,Water
231,Grassland,NULL,Forest,Water,Non_Wetland,Forest
232,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
233,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
234,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
235,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
236,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
237,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
238,Grassland,Water,Wetland,Water,Wetland,Water
239,Grassland,Water,Forest,NULL,Non_Wetland,Forest
240,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
241,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
242,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
243,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Water
244,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
245,Grassland,Forest,Shrubland,Water,Non_Wetland,Water
246,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
247,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
248,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
249,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Water
250,Grassland,Forest,Cropland,Water,Non_Wetland,Grassland
251,Grassland,Forest,Cropland,Water,Non_Wetland,Water
252,Grassland,Forest,Cropland,Water,Non_Wetland,Forest
253,Grassland,Forest,Wetland,NULL,Wetland,Wetland
254,Grassland,Forest,Wetland,NULL,Wetland,Forest
255,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
256,Grassland,Forest,Wetland,Water,Wetland,Grassland
257,Grassland,Forest,Wetland,Water,Wetland,Water
258,Grassland,Forest,Water,Water,Water,Water
259,Grassland,Forest,Water,Water,Water,Forest
260,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
261,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
262,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
263,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
264,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
265,Grassland,Forest,Forest,Water,Non_Wetland,Water
266,Grassland,Forest,Forest,Water,Non_Wetland,Forest
267,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
268,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
269,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
270,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
271,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water
272,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
273,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
274,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
275,Cropland,NULL,Grassland,Water,Non_Wetland,Water
276,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
277,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
278,Cropland,NULL,Cropland,Water,Non_Wetland,Water
279,Cropland,NULL,Wetland,NULL,Wetland,Water
280,Cropland,NULL,Wetland,NULL,Wetland,Forest
281,Cropland,NULL,Wetland,Non_Water,Wetland,Water
282,Cropland,NULL,Wetland,Water,Wetland,Grassland
283,Cropland,NULL,Wetland,Water,Wetland,Bareland
284,Cropland,NULL,Wetland,Water,Wetland,Water
285,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
286,Cropland,NULL,Bareland,Water,Non_Wetland,Water
287,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
288,Cropland,NULL,Built-up,Water,Non_Wetland,Water
289,Cropland,NULL,Water,NULL,Water,Water
290,Cropland,NULL,Water,NULL,Water,Forest
291,Cropland,NULL,Water,Water,Water,Grassland
292,Cropland,NULL,Water,Water,Water,Bareland
293,Cropland,NULL,Water,Water,Water,Water
294,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
295,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
296,Cropland,NULL,Forest,NULL,Non_Wetland,Water
297,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
298,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
299,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
300,Cropland,NULL,Forest,Water,Non_Wetland,Water
301,Cropland,NULL,Forest,Water,Non_Wetland,Forest
302,Cropland,Bareland,Cropland,Water,Non_Wetland,Water
303,Cropland,Bareland,Wetland,Water,Wetland,Water
304,Cropland,Bareland,Bareland,Water,Non_Wetland,Water
305,Cropland,Bareland,Built-up,Water,Non_Wetland,Water
306,Cropland,Bareland,Water,Water,Water,Grassland
307,Cropland,Bareland,Water,Water,Water,Water
308,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
309,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
310,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
311,Cropland,Built-up,Cropland,Water,Non_Wetland,Grassland
312,Cropland,Built-up,Wetland,NULL,Wetland,Forest
313,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
314,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
315,Cropland,Built-up,Forest,Water,Non_Wetland,Grassland
316,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
317,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Water
318,Cropland,Water,Shrubland,Water,Non_Wetland,Water
319,Cropland,Water,Cropland,Water,Non_Wetland,Water
320,Cropland,Water,Wetland,NULL,Wetland,Grassland
321,Cropland,Water,Wetland,NULL,Wetland,Water
322,Cropland,Water,Wetland,NULL,Wetland,Forest
323,Cropland,Water,Wetland,Non_Water,Wetland,Grassland
324,Cropland,Water,Wetland,Non_Water,Wetland,Water
325,Cropland,Water,Wetland,Water,Wetland,Water
326,Cropland,Water,Water,Non_Water,Water,Water
327,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
328,Cropland,Water,Forest,NULL,Non_Wetland,Water
329,Cropland,Water,Forest,NULL,Non_Wetland,Forest
330,Cropland,Water,Forest,Non_Water,Non_Wetland,Grassland
331,Cropland,Water,Forest,Non_Water,Non_Wetland,Water
332,Cropland,Water,Forest,Water,Non_Wetland,Water
333,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
334,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland
335,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
336,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Water
337,Cropland,Forest,Shrubland,Water,Non_Wetland,Bareland
338,Cropland,Forest,Shrubland,Water,Non_Wetland,Water
339,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Water
340,Cropland,Forest,Grassland,Water,Non_Wetland,Water
341,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
342,Cropland,Forest,Cropland,Water,Non_Wetland,Grassland
343,Cropland,Forest,Cropland,Water,Non_Wetland,Bareland
344,Cropland,Forest,Cropland,Water,Non_Wetland,Water
345,Cropland,Forest,Wetland,Non_Water,Wetland,Water
346,Cropland,Forest,Wetland,Water,Wetland,Grassland
347,Cropland,Forest,Wetland,Water,Wetland,Water
348,Cropland,Forest,Bareland,Water,Non_Wetland,Water
349,Cropland,Forest,Built-up,Water,Non_Wetland,Water
350,Cropland,Forest,Water,NULL,Water,Water
351,Cropland,Forest,Water,Water,Water,Water
352,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
353,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland
354,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
355,Cropland,Forest,Forest,Non_Water,Non_Wetland,Grassland
356,Cropland,Forest,Forest,Non_Water,Non_Wetland,Water
357,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
358,Cropland,Forest,Forest,Water,Non_Wetland,Grassland
359,Cropland,Forest,Forest,Water,Non_Wetland,Water
360,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
361,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
362,Wetland,NULL,Grassland,Water,Non_Wetland,Water
363,Wetland,NULL,Cropland,Water,Non_Wetland,Bareland
364,Wetland,NULL,Wetland,NULL,Wetland,Grassland
365,Wetland,NULL,Wetland,NULL,Wetland,Wetland
366,Wetland,NULL,Wetland,NULL,Wetland,Water
367,Wetland,NULL,Wetland,NULL,Wetland,Forest
368,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
369,Wetland,NULL,Wetland,Non_Water,Wetland,Water
370,Wetland,NULL,Wetland,Water,Wetland,Water
371,Wetland,NULL,Wetland,Water,Wetland,Forest
372,Wetland,NULL,Bareland,Water,Non_Wetland,Water
373,Wetland,NULL,Built-up,Water,Non_Wetland,Water
374,Wetland,NULL,Water,Water,Water,Grassland
375,Wetland,NULL,Water,Water,Water,Wetland
376,Wetland,NULL,Water,Water,Water,Water
377,Wetland,NULL,Forest,NULL,Non_Wetland,Water
378,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
379,Wetland,NULL,Forest,Water,Non_Wetland,Forest
380,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
381,Wetland,Wetland,Wetland,NULL,Wetland,NULL
382,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
383,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
384,Wetland,Wetland,Wetland,NULL,Wetland,Water
385,Wetland,Wetland,Wetland,NULL,Wetland,Forest
386,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL
387,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland
388,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
389,Wetland,Wetland,Wetland,Non_Water,Wetland,Water
390,Wetland,Wetland,Wetland,Non_Water,Wetland,Forest
391,Wetland,Wetland,Wetland,Water,Wetland,Grassland
392,Wetland,Wetland,Wetland,Water,Wetland,Wetland
393,Wetland,Wetland,Wetland,Water,Wetland,Water
394,Wetland,Wetland,Wetland,Water,Wetland,Forest
395,Wetland,Wetland,Water,NULL,Water,Wetland
396,Wetland,Wetland,Water,NULL,Water,Water
397,Wetland,Wetland,Water,NULL,Water,Forest
398,Wetland,Wetland,Water,Non_Water,Water,Wetland
399,Wetland,Wetland,Water,Non_Water,Water,Water
400,Wetland,Wetland,Water,Water,Water,Grassland
401,Wetland,Wetland,Water,Water,Water,Wetland
402,Wetland,Wetland,Water,Water,Water,Water
403,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
404,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
405,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
406,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest
407,Wetland,Bareland,Grassland,Water,Non_Wetland,Water
408,Wetland,Bareland,Wetland,Non_Water,Wetland,Grassland
409,Wetland,Bareland,Wetland,Water,Wetland,Water
410,Wetland,Bareland,Built-up,Water,Non_Wetland,Bareland
411,Wetland,Bareland,Built-up,Water,Non_Wetland,Water
412,Wetland,Bareland,Water,Non_Water,Water,Forest
413,Wetland,Bareland,Water,Water,Water,Grassland
414,Wetland,Bareland,Water,Water,Water,Forest
415,Wetland,Bareland,Forest,NULL,Non_Wetland,Forest
416,Wetland,Water,Shrubland,Water,Non_Wetland,Water
417,Wetland,Water,Wetland,NULL,Wetland,Wetland
418,Wetland,Water,Wetland,NULL,Wetland,Water
419,Wetland,Water,Wetland,Water,Wetland,Wetland
420,Wetland,Water,Wetland,Water,Wetland,Water
421,Wetland,Water,Bareland,Water,Non_Wetland,Water
422,Wetland,Water,Water,Water,Water,Water
423,Wetland,Water,Forest,NULL,Non_Wetland,Forest
424,Wetland,Forest,Wetland,NULL,Wetland,Grassland
425,Wetland,Forest,Wetland,NULL,Wetland,Wetland
426,Wetland,Forest,Wetland,NULL,Wetland,Forest
427,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland
428,Wetland,Forest,Wetland,Non_Water,Wetland,Forest
429,Wetland,Forest,Wetland,Water,Wetland,Wetland
430,Wetland,Forest,Wetland,Water,Wetland,Water
431,Wetland,Forest,Water,NULL,Water,Wetland
432,Wetland,Forest,Water,Water,Water,Grassland
433,Wetland,Forest,Water,Water,Water,Wetland
434,Wetland,Forest,Water,Water,Water,Water
435,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland
436,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
437,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
438,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
439,Bareland,NULL,Cropland,Water,Non_Wetland,Water
440,Bareland,NULL,Wetland,Non_Water,Wetland,Forest
441,Bareland,NULL,Wetland,Water,Wetland,Water
442,Bareland,NULL,Bareland,Water,Non_Wetland,Water
443,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
444,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
445,Bareland,NULL,Built-up,Water,Non_Wetland,Water
446,Bareland,NULL,Water,Water,Water,Water
447,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
