Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KFQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KFQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KFQ_M_R
29,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
31,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Water,Water,Water,NULL,NULL,Water
33,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
34,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
37,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
40,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
42,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
44,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
46,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
48,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
49,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
50,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
52,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
53,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
54,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
55,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
57,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
58,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
59,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
61,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
63,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
65,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
66,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
68,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
70,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
72,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
75,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
76,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
77,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
78,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
80,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
81,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
82,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
84,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
85,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
86,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
87,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
88,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
89,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
91,NULL,Water,Water,Water,Water,NULL,NULL,Water
92,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL,NULL,Grassland
93,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL,NULL,Bareland
94,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,NULL,NULL,Water
95,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
96,NULL,Permanent_ice_and_snow,Water,Water,Water,NULL,NULL,Water
97,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
98,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
99,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
100,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
101,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
102,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
103,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
104,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
105,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
106,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
107,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
108,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
109,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
110,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
111,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
112,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
113,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
114,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
115,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
116,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
117,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
118,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
119,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
120,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
121,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
122,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
123,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
124,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
125,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
127,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
128,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
129,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
130,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
131,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
132,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
133,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
134,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
135,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
136,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
137,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
138,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
139,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
140,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
141,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
142,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
143,Grassland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
144,Grassland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
145,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
146,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
147,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
148,Grassland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
149,Grassland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
150,Grassland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
151,Grassland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
152,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
153,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
154,Grassland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
155,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
156,Grassland,Bareland,Water,Water,Water,NULL,NULL,Water
157,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
158,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
159,Grassland,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
160,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
161,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
162,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
163,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
164,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
165,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
166,Grassland,Water,Water,Water,Water,NULL,NULL,Bareland
167,Grassland,Water,Water,Water,Water,NULL,NULL,Water
168,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
169,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
170,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
171,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
172,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
173,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
174,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
175,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
176,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
177,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
178,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
179,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
180,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
181,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
182,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
183,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
184,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
185,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
186,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
187,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
188,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
189,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
190,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
191,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
192,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
193,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
194,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
195,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
196,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
197,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
198,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
199,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
200,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
201,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
202,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
203,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
204,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
205,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
206,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
207,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
208,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
209,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
210,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
211,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
212,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
213,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
214,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
215,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
216,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
217,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
218,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
219,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
220,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
221,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
222,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
223,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
224,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
225,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
226,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
227,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
228,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
229,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
230,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
231,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
232,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
233,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
234,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
235,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
236,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
238,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
239,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
240,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
241,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
242,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
243,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
244,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
245,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
246,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
247,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
248,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
249,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
250,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
251,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
252,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
253,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
254,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
255,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
256,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
257,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
258,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
259,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
260,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
261,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
262,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
263,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
264,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
265,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
266,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
267,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
268,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
269,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
270,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
271,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
272,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
273,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
274,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
275,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
276,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
277,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
278,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
279,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
280,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
281,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Water
282,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
283,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
284,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
285,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
286,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
287,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
288,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
289,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
290,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
291,Wetland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
292,Wetland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
293,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
294,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
295,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
296,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
297,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
298,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
299,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
300,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
301,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
302,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
303,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
304,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
305,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
306,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
307,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
308,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
309,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
310,Wetland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
311,Wetland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
312,Wetland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
313,Wetland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
314,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
315,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
316,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
317,Wetland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
318,Wetland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
319,Wetland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
320,Wetland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
321,Wetland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
322,Wetland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
323,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
324,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
325,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
326,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
327,Wetland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
328,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
329,Wetland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
330,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
331,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
332,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
