Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUU_M_R
812,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
813,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
814,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
815,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
816,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
817,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
818,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
819,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
820,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
821,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
822,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
823,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
824,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
825,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
826,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
827,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
828,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
829,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
830,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
831,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
832,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
833,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
834,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
835,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
836,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
837,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
838,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
839,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
840,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
841,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
842,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
843,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
844,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
845,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
846,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
847,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
848,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
849,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
850,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
851,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
852,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
853,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
854,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
855,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
856,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
857,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
858,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
859,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
860,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
861,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
862,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
863,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
864,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
865,Grassland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
866,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
867,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Wetland
868,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,NULL
869,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
870,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
871,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
872,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
873,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
874,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
875,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
876,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
877,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
878,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
879,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
880,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
881,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
882,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
883,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
884,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
885,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
886,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
887,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
888,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
889,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
890,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
891,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
892,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
893,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
894,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
895,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
896,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
897,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
898,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
899,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
900,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
901,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
902,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
903,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
904,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
905,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
906,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
907,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
908,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
909,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
910,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
911,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
912,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
913,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
914,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
915,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
916,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
917,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
918,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
919,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
920,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
921,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
922,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
923,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
924,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
925,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Wetland
926,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Forest
927,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
928,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
929,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Wetland
930,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
931,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
932,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
933,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
934,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
935,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
936,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
937,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
938,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
939,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
940,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
941,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
942,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
943,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
944,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
945,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
946,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
947,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
948,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
949,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
950,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
951,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
952,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
953,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
954,Grassland,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Grassland
955,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Wetland
956,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
957,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Wetland
958,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
959,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
960,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Wetland
961,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
962,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Wetland
963,Grassland,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Grassland
964,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
965,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
966,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
967,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
968,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
969,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
970,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
971,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
972,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
973,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
974,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
975,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
976,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
977,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Wetland
978,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
979,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
980,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
981,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
982,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
983,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
984,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
985,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
986,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
987,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
988,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
989,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
990,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
991,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
992,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
993,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
994,Grassland,NULL,Wetland,NULL,Wetland,Water,NULL,Grassland
995,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
996,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
997,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
998,Grassland,NULL,Wetland,NULL,Wetland,Forest,Grassland,Wetland
999,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
1000,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1001,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
1002,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1003,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,Wetland
1004,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,Forest
1005,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
1006,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Forest
1007,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
1008,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Wetland
1009,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,NULL
1010,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
1011,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
1012,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Forest
1013,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Shrubland,Wetland
1014,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,NULL
1015,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
1016,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
1017,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
1018,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1019,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
1020,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
1021,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,NULL
1022,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
1023,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
1024,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,NULL
1025,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
1026,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
1027,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1028,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1029,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1030,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
1031,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
1032,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1033,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
1034,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
1035,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
1036,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
1037,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
1038,Grassland,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
1039,Grassland,NULL,Wetland,Water,Wetland,Grassland,NULL,Wetland
1040,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,NULL
1041,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
1042,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Wetland
1043,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
1044,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
1045,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
1046,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
1047,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Water
1048,Grassland,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
1049,Grassland,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
1050,Grassland,NULL,Wetland,Water,Wetland,Water,Grassland,Water
1051,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
1052,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1053,Grassland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1054,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1055,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
1056,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1057,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1058,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
1059,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1060,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1061,Grassland,NULL,Water,NULL,Water,NULL,NULL,NULL
1062,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
1063,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
1064,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
1065,Grassland,NULL,Water,NULL,Water,Grassland,NULL,Grassland
1066,Grassland,NULL,Water,NULL,Water,Grassland,NULL,Wetland
1067,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
1068,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Wetland
1069,Grassland,NULL,Water,NULL,Water,Grassland,Forest,Grassland
1070,Grassland,NULL,Water,NULL,Water,Wetland,Grassland,Wetland
1071,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Wetland
1072,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
1073,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
1074,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
1075,Grassland,NULL,Water,Non_Water,Water,Grassland,NULL,Grassland
1076,Grassland,NULL,Water,Non_Water,Water,Grassland,NULL,Wetland
1077,Grassland,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
1078,Grassland,NULL,Water,Non_Water,Water,Grassland,Grassland,Wetland
1079,Grassland,NULL,Water,Non_Water,Water,Grassland,Grassland,Forest
1080,Grassland,NULL,Water,Non_Water,Water,Grassland,Wetland,Wetland
1081,Grassland,NULL,Water,Non_Water,Water,Wetland,Grassland,Wetland
1082,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
1083,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
1084,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
1085,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
1086,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Wetland
1087,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Water
1088,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1089,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1090,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1091,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1092,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1093,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
1094,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1095,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
1096,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Wetland
1097,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
1098,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1099,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
1100,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1101,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1102,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
1103,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1104,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
1105,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1106,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Wetland
1107,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1108,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
1109,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1110,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Wetland
1111,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
1112,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
1113,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1114,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
1115,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1116,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1117,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
1118,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Wetland
1119,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1120,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Wetland
1121,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1122,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
1123,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
1124,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1125,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1126,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
1127,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1128,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1129,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1130,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
1131,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1132,Grassland,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
1133,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1134,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Wetland
1135,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
1136,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1137,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
1138,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1139,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
