Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KEV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KEV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEV_M_R
29,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
31,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
37,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
41,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
42,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
43,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
46,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
48,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
52,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
53,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
61,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
63,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
64,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
66,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
67,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
68,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
69,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
71,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
72,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
73,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
74,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
76,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
77,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
78,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
80,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
81,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
82,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
84,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
85,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
86,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
87,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
89,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
90,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
91,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
92,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
93,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
94,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
95,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
97,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
98,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
99,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
100,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
101,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
102,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Built-up
103,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
104,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
106,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
107,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
109,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
114,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
115,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
116,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
117,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
118,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
119,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
120,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
121,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
122,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
123,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
124,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
125,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
126,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
127,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
128,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
129,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
130,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
131,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
132,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
133,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
134,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
135,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
136,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
137,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
138,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
139,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
140,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
141,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
142,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
143,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
144,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
145,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
146,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
147,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
148,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
149,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
150,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
151,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
152,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
153,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
154,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
155,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
156,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
157,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
158,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
159,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
160,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
162,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
163,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
164,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
165,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
166,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
167,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
168,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
169,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
170,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
171,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
172,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
173,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
174,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
175,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
176,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
177,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
178,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
179,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
180,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
181,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
182,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
183,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
184,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
185,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
186,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
187,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
188,Grassland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
189,Grassland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
190,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
191,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
192,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
193,Grassland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
194,Grassland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
195,Grassland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
196,Grassland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
197,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
198,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
199,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
200,Grassland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
201,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
202,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
203,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
204,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
205,Grassland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
206,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
207,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
208,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
209,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
210,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
211,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
212,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
213,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
214,Grassland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
215,Grassland,Water,Water,NULL,Water,NULL,NULL,Water
216,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
217,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
218,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
219,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
220,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
221,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
222,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
223,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
224,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
225,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
226,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
227,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
228,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
229,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
230,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
231,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
232,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
233,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
234,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
235,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
236,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
237,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
238,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
239,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
240,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
241,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
242,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
243,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
244,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
245,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
246,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
247,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
248,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
249,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
250,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
251,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
252,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
253,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
254,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
255,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
256,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
257,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
258,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
259,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
260,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
261,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
262,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
263,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
264,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
265,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
266,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
267,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
268,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
269,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
270,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
271,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
272,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
273,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
274,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
275,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
276,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
277,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
278,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
279,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
280,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
281,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
282,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
283,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
284,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
285,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
286,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
287,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
288,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
289,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
290,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
291,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
292,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
293,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
294,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
295,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
296,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
297,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
298,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
299,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
300,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
301,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
302,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
303,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
304,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
305,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
306,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
307,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
308,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
309,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
310,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
311,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
312,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
313,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
314,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
315,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
316,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
317,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
318,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
319,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
320,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
321,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
322,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
323,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
324,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
325,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
326,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
