Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NVA_M_R
21,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
22,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
23,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
24,NULL,NULL,Water,Water,Water,Water,Water,Grassland
25,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
26,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
27,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
28,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
29,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
30,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
31,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
32,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
33,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
34,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
35,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
36,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
37,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
38,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
39,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
40,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
41,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
42,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
43,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
44,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Grassland
45,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Water
46,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
47,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
48,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
49,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
50,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
51,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
52,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
53,NULL,Wetland,Wetland,Water,Wetland,Grassland,Water,Grassland
54,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
55,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
56,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
57,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Water
58,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Water
59,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Forest
60,NULL,Wetland,Water,Water,Water,Wetland,Water,Wetland
61,NULL,Wetland,Water,Water,Water,Wetland,Water,Water
62,NULL,Wetland,Water,Water,Water,Water,Water,Bareland
63,NULL,Wetland,Water,Water,Water,Water,Water,Water
64,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
65,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
66,NULL,Bareland,Water,Water,Water,Water,Water,Grassland
67,NULL,Bareland,Water,Water,Water,Water,Water,Water
68,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
69,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
70,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
71,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Water
72,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
73,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
74,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
75,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Water
76,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
77,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
78,NULL,Water,Water,NULL,Water,Wetland,Water,Grassland
79,NULL,Water,Water,Water,Water,Wetland,Wetland,Water
80,NULL,Water,Water,Water,Water,Water,Water,Water
81,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water,Grassland
82,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
83,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
84,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
85,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
86,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
87,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
88,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
89,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
90,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
91,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
92,Wetland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
93,Wetland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
94,Wetland,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
95,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
96,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Bareland
97,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
98,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
99,Wetland,NULL,Water,Water,Water,Grassland,Water,Forest
100,Wetland,NULL,Water,Water,Water,Water,Wetland,Water
101,Wetland,NULL,Water,Water,Water,Water,Water,Water
102,Wetland,Wetland,NULL,Water,Non_Wetland,Grassland,Water,Grassland
103,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Grassland
104,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Water,Grassland
105,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Water,Wetland
106,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
107,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
108,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
109,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
110,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
111,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
112,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
113,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
114,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
115,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
116,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
117,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
118,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Water
119,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
120,Wetland,Wetland,Shrubland,Water,Non_Wetland,Grassland,Water,Water
121,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
122,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
123,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Water
124,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Water
125,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Grassland
126,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Wetland
127,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Bareland
128,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Water
129,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
130,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Water,Water
131,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Water,Forest
132,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
133,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
134,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
135,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Water,Grassland
136,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Water,Water
137,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
138,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
139,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
140,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
141,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
142,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
143,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
144,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
145,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
146,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
147,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
148,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
149,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
150,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
151,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
152,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
153,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
154,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
155,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
156,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
157,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
158,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Bareland
159,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
160,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
161,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
162,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
163,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Forest
164,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
165,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
166,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Bareland
167,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
168,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Forest
169,Wetland,Wetland,Wetland,Water,Wetland,Forest,Water,Forest
170,Wetland,Wetland,Water,NULL,Water,Grassland,Water,Wetland
171,Wetland,Wetland,Water,NULL,Water,Grassland,Water,Water
172,Wetland,Wetland,Water,NULL,Water,Wetland,Water,Wetland
173,Wetland,Wetland,Water,NULL,Water,Wetland,Water,Water
174,Wetland,Wetland,Water,NULL,Water,Water,Wetland,Water
175,Wetland,Wetland,Water,NULL,Water,Water,Water,Wetland
176,Wetland,Wetland,Water,NULL,Water,Water,Water,Water
177,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Water
178,Wetland,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
179,Wetland,Wetland,Water,Water,Water,Wetland,Water,Grassland
180,Wetland,Wetland,Water,Water,Water,Wetland,Water,Wetland
181,Wetland,Wetland,Water,Water,Water,Wetland,Water,Water
182,Wetland,Wetland,Water,Water,Water,Wetland,Water,Forest
183,Wetland,Wetland,Water,Water,Water,Water,Wetland,Water
184,Wetland,Wetland,Water,Water,Water,Water,Water,Grassland
185,Wetland,Wetland,Water,Water,Water,Water,Water,Wetland
186,Wetland,Wetland,Water,Water,Water,Water,Water,Bareland
187,Wetland,Wetland,Water,Water,Water,Water,Water,Water
188,Wetland,Wetland,Water,Water,Water,Water,Water,Forest
189,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,Water,Wetland
190,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
191,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Water,Wetland
192,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Water,Forest
193,Wetland,Bareland,Shrubland,Water,Non_Wetland,Water,Water,Water
194,Wetland,Bareland,Wetland,Water,Wetland,Wetland,Water,Water
195,Wetland,Bareland,Wetland,Water,Wetland,Water,Wetland,Grassland
196,Wetland,Bareland,Wetland,Water,Wetland,Water,Water,Water
197,Wetland,Bareland,Water,NULL,Water,Grassland,Water,Water
198,Wetland,Bareland,Water,NULL,Water,Water,Water,Water
199,Wetland,Bareland,Water,Water,Water,Water,Water,Bareland
200,Wetland,Bareland,Water,Water,Water,Water,Water,Water
201,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
202,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
203,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
204,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Water
205,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
206,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
207,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
208,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
209,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Water
210,Wetland,Water,Wetland,Water,Wetland,Water,Water,Wetland
211,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
212,Wetland,Water,Water,NULL,Water,Water,Water,Wetland
213,Wetland,Water,Water,NULL,Water,Water,Water,Water
214,Wetland,Water,Water,Water,Water,Grassland,Water,Water
215,Wetland,Water,Water,Water,Water,Water,Water,Water
216,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
217,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
218,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
219,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
220,Bareland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
221,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
222,Water,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
223,Water,NULL,Wetland,Water,Wetland,Wetland,Water,Water
224,Water,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
225,Water,NULL,Wetland,Water,Wetland,Water,Wetland,Water
226,Water,NULL,Water,Water,Water,Water,Water,Wetland
227,Water,NULL,Water,Water,Water,Water,Water,Bareland
228,Water,NULL,Water,Water,Water,Water,Water,Water
229,Water,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
230,Water,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Forest
231,Water,Wetland,NULL,Water,Non_Wetland,Water,Water,Grassland
232,Water,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
233,Water,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
234,Water,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
235,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
236,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Forest
237,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
238,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
239,Water,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
240,Water,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
241,Water,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Water
242,Water,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
243,Water,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Grassland
244,Water,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Wetland
245,Water,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Bareland
246,Water,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Water
247,Water,Wetland,Wetland,NULL,Wetland,Grassland,Water,Grassland
248,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
249,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
250,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
251,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
252,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
253,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
254,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
255,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
256,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
257,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
258,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
259,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
260,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
261,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Water
262,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
263,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
264,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
265,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
266,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
267,Water,Wetland,Wetland,Non_Water,Wetland,Water,Forest,Water
268,Water,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
269,Water,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
270,Water,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
271,Water,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
272,Water,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
273,Water,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
274,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
275,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Bareland
276,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
277,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Forest
278,Water,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
279,Water,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
280,Water,Wetland,Wetland,Water,Wetland,Water,Water,Bareland
281,Water,Wetland,Wetland,Water,Wetland,Water,Water,Water
282,Water,Wetland,Wetland,Water,Wetland,Water,Water,Forest
283,Water,Wetland,Water,NULL,Water,Wetland,Water,Water
284,Water,Wetland,Water,NULL,Water,Water,Wetland,Water
285,Water,Wetland,Water,NULL,Water,Water,Wetland,Forest
286,Water,Wetland,Water,NULL,Water,Water,Water,Wetland
287,Water,Wetland,Water,NULL,Water,Water,Water,Water
288,Water,Wetland,Water,NULL,Water,Water,Water,Forest
289,Water,Wetland,Water,NULL,Water,Water,Forest,Forest
290,Water,Wetland,Water,Non_Water,Water,Wetland,Water,Water
291,Water,Wetland,Water,Non_Water,Water,Water,Wetland,Forest
292,Water,Wetland,Water,Non_Water,Water,Water,Water,Bareland
293,Water,Wetland,Water,Non_Water,Water,Water,Water,Water
294,Water,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
295,Water,Wetland,Water,Water,Water,Wetland,Water,Wetland
296,Water,Wetland,Water,Water,Water,Wetland,Water,Bareland
297,Water,Wetland,Water,Water,Water,Wetland,Water,Water
298,Water,Wetland,Water,Water,Water,Wetland,Water,Forest
299,Water,Wetland,Water,Water,Water,Water,Wetland,Water
300,Water,Wetland,Water,Water,Water,Water,Water,Grassland
301,Water,Wetland,Water,Water,Water,Water,Water,Wetland
302,Water,Wetland,Water,Water,Water,Water,Water,Bareland
303,Water,Wetland,Water,Water,Water,Water,Water,Water
304,Water,Wetland,Water,Water,Water,Water,Water,Forest
305,Water,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Forest
306,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Water
307,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
308,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Water
309,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Forest
310,Water,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Forest
311,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,Water,Water
312,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
313,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
314,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Water
315,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Forest
316,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Forest,Water
317,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
318,Water,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Water
319,Water,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Wetland
320,Water,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Water
321,Water,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Forest
322,Water,Wetland,Forest,Water,Non_Wetland,Water,Water,Water
323,Water,Wetland,Forest,Water,Non_Wetland,Water,Water,Forest
324,Water,Bareland,Shrubland,Water,Non_Wetland,Water,Water,Water
325,Water,Bareland,Wetland,Non_Water,Wetland,Wetland,Water,Water
326,Water,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
327,Water,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
328,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
329,Water,Bareland,Water,NULL,Water,Water,Water,Water
330,Water,Bareland,Water,NULL,Water,Water,Water,Forest
331,Water,Bareland,Water,Water,Water,Water,Water,Grassland
332,Water,Bareland,Water,Water,Water,Water,Water,Bareland
333,Water,Bareland,Water,Water,Water,Water,Water,Water
334,Water,Bareland,Forest,NULL,Non_Wetland,Water,Water,Water
335,Water,Bareland,Forest,Water,Non_Wetland,Wetland,Water,Grassland
336,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
337,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
338,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
339,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
340,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
341,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
342,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
343,Water,Water,NULL,Water,Non_Wetland,Wetland,Water,Grassland
344,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
345,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
346,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
347,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Water
348,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
349,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
350,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
351,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
352,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
353,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
354,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
355,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
356,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
357,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
358,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
359,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
360,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
361,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
362,Water,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Water
363,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
364,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
