Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBV_M_R
65,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
66,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
67,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
68,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
69,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
71,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
72,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
73,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
74,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
76,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Water
77,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
78,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
79,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Forest
80,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
81,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
82,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
83,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Water
84,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
86,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
87,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
88,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
89,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Water
90,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Grassland
91,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Water
92,NULL,NULL,Cropland,Water,Non_Wetland,Water,Wetland,Water
93,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
94,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
96,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Water
97,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
99,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Bareland
100,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
101,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
102,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
103,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
104,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
105,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
106,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Water
107,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
108,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
109,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
110,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Bareland
111,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
112,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
113,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
114,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
115,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Water
116,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
118,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
119,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
120,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
121,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
122,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
123,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Bareland
124,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
125,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Forest
126,NULL,NULL,Wetland,Water,Wetland,Cropland,NULL,Water
127,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Grassland
128,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Water
129,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
130,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
131,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
132,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
133,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Bareland
134,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
135,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Bareland
136,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
137,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
138,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
139,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
140,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
141,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
142,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
143,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
144,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
145,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
146,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
147,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
148,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
149,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
150,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
151,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
152,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Forest
153,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
154,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,NULL,Grassland
155,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,NULL,Water
156,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Grassland,Grassland
157,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
158,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Forest
159,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Water,Water
160,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Bareland
161,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Water
162,NULL,NULL,Built-up,Water,Non_Wetland,Water,Water,Water
163,NULL,NULL,Water,Water,Water,Wetland,Water,Water
164,NULL,NULL,Water,Water,Water,Water,Grassland,Water
165,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
166,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
167,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
168,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
169,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
170,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
171,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
172,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
173,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
174,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
175,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
176,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
177,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
178,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
179,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
180,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
181,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
182,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
183,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
184,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
185,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
186,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
187,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
188,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
189,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Bareland
190,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
191,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
192,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
193,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
194,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland,NULL,Water
195,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland,NULL,Water
196,NULL,Bareland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
197,NULL,Bareland,Wetland,NULL,Wetland,Grassland,NULL,Water
198,NULL,Bareland,Wetland,NULL,Wetland,Grassland,Wetland,Water
199,NULL,Bareland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
200,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland,Water,Water
201,NULL,Bareland,Wetland,Non_Water,Wetland,Water,Grassland,Water
202,NULL,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
203,NULL,Bareland,Wetland,Water,Wetland,Grassland,NULL,Water
204,NULL,Bareland,Wetland,Water,Wetland,Grassland,Grassland,Grassland
205,NULL,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
206,NULL,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Water
207,NULL,Bareland,Wetland,Water,Wetland,Grassland,Water,Grassland
208,NULL,Bareland,Wetland,Water,Wetland,Grassland,Water,Water
209,NULL,Bareland,Wetland,Water,Wetland,Grassland,Water,Forest
210,NULL,Bareland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
211,NULL,Bareland,Wetland,Water,Wetland,Wetland,Wetland,Water
212,NULL,Bareland,Wetland,Water,Wetland,Wetland,Water,Water
213,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
214,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland,NULL,Water
215,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
217,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
218,NULL,Bareland,Built-up,Water,Non_Wetland,Grassland,Grassland,Grassland
219,NULL,Bareland,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
220,NULL,Bareland,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
221,NULL,Bareland,Built-up,Water,Non_Wetland,Wetland,Wetland,Bareland
222,NULL,Bareland,Water,Water,Water,Cropland,Water,Water
223,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
224,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Water,Forest
225,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
226,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
230,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
232,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
233,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
234,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,Wetland,Bareland
235,NULL,Built-up,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
236,NULL,Built-up,Wetland,Non_Water,Wetland,Water,Wetland,Water
237,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
239,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
240,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
241,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
242,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
243,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Built-up
244,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
245,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Forest
246,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Water,Water
247,NULL,Water,NULL,Water,Non_Wetland,Wetland,Water,Water
248,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
249,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
250,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
251,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
252,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
253,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
254,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
255,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
256,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
257,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Water
258,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
259,NULL,Water,Shrubland,Water,Non_Wetland,Cropland,Water,Bareland
260,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
261,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
262,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Bareland
263,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Water
264,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
265,NULL,Water,Cropland,Water,Non_Wetland,Grassland,Water,Forest
266,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
267,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
268,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Water
269,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
270,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
271,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
272,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
273,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Water
274,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
275,NULL,Water,Wetland,NULL,Wetland,Water,Water,Bareland
276,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
277,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
278,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
279,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
280,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
281,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
282,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
283,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
284,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
285,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
286,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
287,NULL,Water,Wetland,Water,Wetland,Grassland,Grassland,Grassland
288,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
289,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Bareland
290,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
291,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
292,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Forest
293,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
294,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
295,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
296,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Bareland
297,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
298,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Forest
299,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
300,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
301,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
302,NULL,Water,Wetland,Water,Wetland,Water,Water,Bareland
303,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
304,NULL,Water,Wetland,Water,Wetland,Water,Water,Forest
305,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,Bareland
306,NULL,Water,Built-up,Water,Non_Wetland,Grassland,Water,Grassland
307,NULL,Water,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
308,NULL,Water,Built-up,Water,Non_Wetland,Wetland,Water,Water
309,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Water
310,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
311,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
312,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
313,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
314,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
315,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
316,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
317,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
318,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
319,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
320,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
321,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
322,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
323,NULL,Forest,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
324,NULL,Forest,Wetland,Water,Wetland,Grassland,Water,Forest
325,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
326,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
327,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
328,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
329,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
330,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
331,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Water,Forest
332,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
333,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
334,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
335,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
336,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
337,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
338,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
339,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
340,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
341,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
