Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KDA_M_R
44,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
50,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
51,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
53,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
55,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
57,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
64,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
67,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
74,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
80,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Bareland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
140,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
141,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
142,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
143,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
144,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
145,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
146,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,NULL
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
150,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
151,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
152,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
154,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
157,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
160,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
161,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
171,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
179,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
182,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
185,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
186,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
189,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
190,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
191,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
193,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
195,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
196,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
198,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
199,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
200,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
201,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
202,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
203,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
204,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
205,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
206,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
207,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
208,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
209,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
210,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
211,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
212,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
213,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
214,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
215,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
216,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
217,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
218,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
219,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Forest
220,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
221,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
222,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
223,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
224,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Built-up
226,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
227,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
228,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
231,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
232,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
233,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
234,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
235,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
236,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
237,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
238,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
241,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
242,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
243,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
247,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
250,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
251,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
254,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
256,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
257,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
260,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Bareland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
265,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
268,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
269,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Water
272,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
273,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,NULL
275,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
277,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
278,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
279,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
282,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
283,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Built-up
286,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Bareland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
290,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
291,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Cropland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
296,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
297,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Bareland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
301,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
302,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
304,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Wetland,Grassland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,Grassland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,Bareland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Cropland
309,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Bareland
310,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
311,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
312,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
313,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
314,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
315,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
316,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
317,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
318,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Grassland
319,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Water
320,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Forest
321,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
322,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
324,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
