Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NWF_M_R
117,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
118,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
120,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
121,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
124,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
125,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
126,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
127,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
129,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
131,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
132,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
133,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
135,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
136,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
139,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
142,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
143,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
144,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
145,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
146,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
147,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
148,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
149,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
150,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
151,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
152,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
153,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
154,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
155,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
156,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
157,NULL,Water,Water,Non_Water,Water,NULL,NULL,Bareland
158,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
159,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
160,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
161,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
162,NULL,Water,Water,Water,Water,NULL,NULL,Water
163,NULL,Water,Water,Water,Water,NULL,NULL,Forest
164,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
165,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
166,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
168,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
171,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
172,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
173,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
176,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
178,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
179,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
180,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
181,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
182,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
184,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
186,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
187,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
188,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
189,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
190,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
191,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
192,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
193,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
194,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
195,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
196,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
197,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
198,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
199,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
200,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
201,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
202,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
203,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
204,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
205,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
206,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
207,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
208,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
209,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
210,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
211,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
212,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
213,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
214,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
215,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
216,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
217,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
218,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
219,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
220,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
221,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
222,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
223,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
224,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
225,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
226,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
227,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
228,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
229,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
230,Cropland,Water,Water,Water,Water,NULL,NULL,Forest
231,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
232,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
233,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
234,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
235,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
236,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
237,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
238,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
239,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
240,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
241,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
242,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
243,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
244,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
245,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
246,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
247,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
248,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
249,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
250,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
251,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
252,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
253,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
254,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
255,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
256,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
257,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
258,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
259,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
260,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
261,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
262,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
263,Wetland,NULL,Water,NULL,Water,NULL,NULL,Wetland
264,Wetland,NULL,Water,NULL,Water,NULL,NULL,Bareland
265,Wetland,NULL,Water,NULL,Water,NULL,NULL,Water
266,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
267,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
268,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
269,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
270,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
271,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
272,Wetland,NULL,Water,Water,Water,NULL,NULL,Bareland
273,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
274,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
275,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
276,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
277,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
278,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
279,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
280,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
281,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
282,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
283,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
284,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
285,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
286,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
287,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
288,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
289,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
290,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
291,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
292,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
293,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
294,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
295,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
296,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
297,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
298,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
299,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
300,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
301,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Bareland
302,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
303,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
304,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
305,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
306,Wetland,Wetland,Water,Water,Water,NULL,NULL,Bareland
307,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
308,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
309,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
310,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
311,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
312,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
313,Wetland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
314,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
315,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
316,Wetland,Bareland,Water,Water,Water,NULL,NULL,Bareland
317,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
318,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
319,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
320,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
321,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
322,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
323,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
324,Wetland,Water,Water,NULL,Water,NULL,NULL,Bareland
325,Wetland,Water,Water,Water,Water,NULL,NULL,Bareland
326,Wetland,Water,Water,Water,Water,NULL,NULL,Water
327,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
328,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
329,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
330,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
331,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
332,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
333,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
334,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
335,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
336,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
337,Bareland,Bareland,Water,Water,Water,NULL,NULL,Wetland
338,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
339,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
340,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
341,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
342,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
343,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
344,Bareland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
345,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
346,Bareland,Water,Water,Water,Water,NULL,NULL,Water
347,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
348,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
349,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
