Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NVB_M_R
188,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Grassland
189,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Bareland
190,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
191,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
192,Water,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
193,Water,Water,Forest,Water,Non_Wetland,Water,Water,Bareland
194,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
195,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
196,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
197,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
198,Water,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
199,Water,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
200,Water,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
201,Water,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
202,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
203,Water,Forest,Wetland,NULL,Wetland,Water,Forest,Bareland
204,Water,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
205,Water,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Forest
206,Water,Forest,Water,NULL,Water,Water,Water,Water
207,Water,Forest,Water,NULL,Water,Water,Water,Forest
208,Water,Forest,Water,NULL,Water,Forest,Water,Water
209,Water,Forest,Water,Water,Water,Water,Water,Water
210,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
211,Water,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
212,Water,Forest,Forest,NULL,Non_Wetland,NULL,Water,Forest
213,Water,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
214,Water,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
215,Water,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
216,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
217,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
218,Water,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
219,Water,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
220,Water,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Water
221,Water,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
222,Water,Forest,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
223,Permanent_ice_and_snow,Bareland,Water,Water,Water,Water,Water,Water
224,Permanent_ice_and_snow,Water,Water,Water,Water,Water,Water,Water
225,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
226,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
227,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
228,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
229,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
230,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
231,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
232,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
233,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
234,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
235,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
236,Forest,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
237,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
238,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
239,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
240,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
241,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
242,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
243,Forest,NULL,Shrubland,Water,Non_Wetland,Water,Water,Forest
244,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
245,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
246,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
247,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
248,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
249,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
250,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
251,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
252,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
253,Forest,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
254,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
255,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
256,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
257,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
258,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
259,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
260,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
261,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
262,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
263,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Forest,Forest
264,Forest,Water,Shrubland,Water,Non_Wetland,NULL,Wetland,Forest
265,Forest,Water,Shrubland,Water,Non_Wetland,Water,Water,Forest
266,Forest,Water,Shrubland,Water,Non_Wetland,Forest,Water,Forest
267,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
268,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
269,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Water
270,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
271,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Water
272,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
273,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Water
274,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
275,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
276,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Water
277,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
278,Forest,Water,Wetland,NULL,Wetland,Water,Water,Grassland
279,Forest,Water,Wetland,NULL,Wetland,Water,Water,Bareland
280,Forest,Water,Wetland,NULL,Wetland,Water,Water,Water
281,Forest,Water,Wetland,NULL,Wetland,Water,Water,Forest
282,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Water
283,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
284,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
285,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Water
286,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Forest
287,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
288,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
289,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
290,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
291,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
292,Forest,Water,Wetland,Non_Water,Wetland,NULL,Forest,Forest
293,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
294,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
295,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
296,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
297,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Water
298,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
299,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
300,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
301,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
302,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
303,Forest,Water,Wetland,Non_Water,Wetland,Forest,Forest,Forest
304,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Water
305,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
306,Forest,Water,Wetland,Water,Wetland,NULL,Water,Water
307,Forest,Water,Wetland,Water,Wetland,NULL,Water,Forest
308,Forest,Water,Wetland,Water,Wetland,NULL,Forest,Water
309,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Water
310,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Forest
311,Forest,Water,Wetland,Water,Wetland,Water,Water,Grassland
312,Forest,Water,Wetland,Water,Wetland,Water,Water,Bareland
313,Forest,Water,Wetland,Water,Wetland,Water,Water,Water
314,Forest,Water,Wetland,Water,Wetland,Water,Water,Forest
315,Forest,Water,Wetland,Water,Wetland,Water,Forest,Water
316,Forest,Water,Wetland,Water,Wetland,Water,Forest,Forest
317,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Water
318,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
319,Forest,Water,Water,NULL,Water,NULL,Wetland,Water
320,Forest,Water,Water,NULL,Water,NULL,Wetland,Forest
321,Forest,Water,Water,NULL,Water,NULL,Water,Wetland
322,Forest,Water,Water,NULL,Water,NULL,Water,Water
323,Forest,Water,Water,NULL,Water,NULL,Water,Forest
324,Forest,Water,Water,NULL,Water,NULL,Forest,Water
325,Forest,Water,Water,NULL,Water,NULL,Forest,Forest
326,Forest,Water,Water,NULL,Water,Water,Wetland,Grassland
327,Forest,Water,Water,NULL,Water,Water,Wetland,Water
328,Forest,Water,Water,NULL,Water,Water,Wetland,Forest
329,Forest,Water,Water,NULL,Water,Water,Water,Grassland
330,Forest,Water,Water,NULL,Water,Water,Water,Wetland
331,Forest,Water,Water,NULL,Water,Water,Water,Water
332,Forest,Water,Water,NULL,Water,Water,Water,Forest
333,Forest,Water,Water,NULL,Water,Water,Forest,Water
334,Forest,Water,Water,NULL,Water,Water,Forest,Forest
335,Forest,Water,Water,NULL,Water,Forest,Wetland,Forest
336,Forest,Water,Water,NULL,Water,Forest,Water,Water
337,Forest,Water,Water,NULL,Water,Forest,Water,Forest
338,Forest,Water,Water,NULL,Water,Forest,Forest,Forest
339,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Forest
340,Forest,Water,Water,Non_Water,Water,NULL,Water,Water
341,Forest,Water,Water,Non_Water,Water,NULL,Water,Forest
342,Forest,Water,Water,Non_Water,Water,NULL,Forest,Forest
343,Forest,Water,Water,Non_Water,Water,Wetland,Water,Forest
344,Forest,Water,Water,Non_Water,Water,Water,Wetland,Water
345,Forest,Water,Water,Non_Water,Water,Water,Wetland,Forest
346,Forest,Water,Water,Non_Water,Water,Water,Water,Grassland
347,Forest,Water,Water,Non_Water,Water,Water,Water,Wetland
348,Forest,Water,Water,Non_Water,Water,Water,Water,Water
349,Forest,Water,Water,Non_Water,Water,Water,Water,Forest
350,Forest,Water,Water,Non_Water,Water,Water,Forest,Water
351,Forest,Water,Water,Non_Water,Water,Water,Forest,Forest
352,Forest,Water,Water,Non_Water,Water,Forest,Water,Forest
353,Forest,Water,Water,Non_Water,Water,Forest,Forest,Forest
354,Forest,Water,Water,Water,Water,NULL,Wetland,Water
355,Forest,Water,Water,Water,Water,NULL,Wetland,Forest
356,Forest,Water,Water,Water,Water,NULL,Water,Water
357,Forest,Water,Water,Water,Water,NULL,Water,Forest
358,Forest,Water,Water,Water,Water,NULL,Forest,Water
359,Forest,Water,Water,Water,Water,NULL,Forest,Forest
360,Forest,Water,Water,Water,Water,Grassland,Water,Water
361,Forest,Water,Water,Water,Water,Wetland,Water,Forest
362,Forest,Water,Water,Water,Water,Water,Wetland,Water
363,Forest,Water,Water,Water,Water,Water,Wetland,Forest
364,Forest,Water,Water,Water,Water,Water,Water,Grassland
365,Forest,Water,Water,Water,Water,Water,Water,Wetland
366,Forest,Water,Water,Water,Water,Water,Water,Bareland
367,Forest,Water,Water,Water,Water,Water,Water,Water
368,Forest,Water,Water,Water,Water,Water,Water,Forest
369,Forest,Water,Water,Water,Water,Water,Forest,Water
370,Forest,Water,Water,Water,Water,Water,Forest,Forest
371,Forest,Water,Water,Water,Water,Forest,Wetland,Water
372,Forest,Water,Water,Water,Water,Forest,Water,Water
373,Forest,Water,Water,Water,Water,Forest,Water,Forest
374,Forest,Water,Water,Water,Water,Forest,Forest,Water
375,Forest,Water,Water,Water,Water,Forest,Forest,Forest
376,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Bareland
377,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
378,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
379,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
380,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
381,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
382,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
383,Forest,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
384,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
