Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRT_M_R
124,NULL,Wetland,Forest,Water,Non_Wetland,Water
125,NULL,Wetland,Forest,Water,Non_Wetland,Forest
126,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
127,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
128,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
129,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
130,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
131,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
132,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
133,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
134,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
135,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
136,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
137,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
138,NULL,Bareland,Grassland,Water,Non_Wetland,Water
139,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
140,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
141,NULL,Bareland,Wetland,NULL,Wetland,Water
142,NULL,Bareland,Wetland,NULL,Wetland,Forest
143,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
144,NULL,Bareland,Wetland,Water,Wetland,Bareland
145,NULL,Bareland,Wetland,Water,Wetland,Water
146,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
147,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
148,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
149,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
150,NULL,Bareland,Bareland,Water,Non_Wetland,Water
151,NULL,Bareland,Water,NULL,Water,Water
152,NULL,Bareland,Water,Non_Water,Water,Bareland
153,NULL,Bareland,Water,Non_Water,Water,Water
154,NULL,Bareland,Water,Water,Water,Water
155,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
156,NULL,Bareland,Forest,NULL,Non_Wetland,Water
157,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
158,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland
159,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
160,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
161,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
162,NULL,Bareland,Forest,Water,Non_Wetland,Water
163,NULL,Bareland,Forest,Water,Non_Wetland,Forest
164,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
165,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
166,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
167,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
170,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
171,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
172,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
173,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
174,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
175,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
176,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
177,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
178,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
179,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
180,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
181,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
182,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
183,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
184,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
185,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
186,NULL,Built-up,Wetland,NULL,Wetland,Forest
187,NULL,Built-up,Wetland,Water,Wetland,Forest
188,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
189,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
190,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
191,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
192,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
193,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
194,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
195,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
196,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
197,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
198,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
199,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
200,NULL,Built-up,Water,NULL,Water,Grassland
201,NULL,Built-up,Water,NULL,Water,Bareland
202,NULL,Built-up,Water,NULL,Water,Forest
203,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
204,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
205,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
206,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
207,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
208,NULL,Built-up,Forest,NULL,Non_Wetland,Water
209,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
210,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
211,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
212,NULL,Water,NULL,NULL,Non_Wetland,Bareland
213,NULL,Water,NULL,NULL,Non_Wetland,Water
214,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
215,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
216,NULL,Water,Shrubland,NULL,Non_Wetland,Water
217,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
218,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
219,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
220,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
221,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
222,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
223,NULL,Water,Shrubland,Water,Non_Wetland,Water
224,NULL,Water,Shrubland,Water,Non_Wetland,Forest
225,NULL,Water,Grassland,NULL,Non_Wetland,Forest
226,NULL,Water,Grassland,Water,Non_Wetland,Water
227,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
228,NULL,Water,Cropland,NULL,Non_Wetland,Forest
229,NULL,Water,Cropland,Water,Non_Wetland,Grassland
230,NULL,Water,Cropland,Water,Non_Wetland,Water
231,NULL,Water,Cropland,Water,Non_Wetland,Forest
232,NULL,Water,Wetland,NULL,Wetland,Water
233,NULL,Water,Wetland,NULL,Wetland,Forest
234,NULL,Water,Wetland,Non_Water,Wetland,Water
235,NULL,Water,Wetland,Non_Water,Wetland,Forest
236,NULL,Water,Wetland,Water,Wetland,Water
237,NULL,Water,Wetland,Water,Wetland,Forest
238,NULL,Water,Bareland,NULL,Non_Wetland,Water
239,NULL,Water,Bareland,NULL,Non_Wetland,Forest
240,NULL,Water,Bareland,Water,Non_Wetland,Water
241,NULL,Water,Water,NULL,Water,Grassland
242,NULL,Water,Water,NULL,Water,Bareland
243,NULL,Water,Water,NULL,Water,Water
244,NULL,Water,Water,Non_Water,Water,Bareland
245,NULL,Water,Water,Non_Water,Water,Water
246,NULL,Water,Water,Non_Water,Water,Forest
247,NULL,Water,Water,Water,Water,Grassland
248,NULL,Water,Water,Water,Water,Water
249,NULL,Water,Water,Water,Water,Forest
250,NULL,Water,Forest,NULL,Non_Wetland,Grassland
251,NULL,Water,Forest,NULL,Non_Wetland,Cropland
252,NULL,Water,Forest,NULL,Non_Wetland,Bareland
253,NULL,Water,Forest,NULL,Non_Wetland,Built-up
254,NULL,Water,Forest,NULL,Non_Wetland,Water
255,NULL,Water,Forest,NULL,Non_Wetland,Forest
256,NULL,Water,Forest,Non_Water,Non_Wetland,Water
257,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
258,NULL,Water,Forest,Water,Non_Wetland,Bareland
259,NULL,Water,Forest,Water,Non_Wetland,Water
260,NULL,Water,Forest,Water,Non_Wetland,Forest
261,NULL,Forest,NULL,NULL,Non_Wetland,Forest
262,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
263,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
264,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
265,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
266,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
267,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
268,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Water
269,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
270,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
271,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland
272,NULL,Forest,Shrubland,Water,Non_Wetland,Water
273,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
274,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
275,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
276,NULL,Forest,Grassland,Non_Water,Non_Wetland,Bareland
277,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
278,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
279,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
280,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
281,NULL,Forest,Cropland,Water,Non_Wetland,Forest
282,NULL,Forest,Wetland,Non_Water,Wetland,Forest
283,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
284,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
285,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
286,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
287,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
288,NULL,Forest,Water,NULL,Water,Water
289,NULL,Forest,Water,Non_Water,Water,Grassland
290,NULL,Forest,Water,Non_Water,Water,Forest
291,NULL,Forest,Water,Water,Water,Water
292,NULL,Forest,Forest,NULL,Non_Wetland,NULL
293,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
294,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
295,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
296,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
297,NULL,Forest,Forest,NULL,Non_Wetland,Water
298,NULL,Forest,Forest,NULL,Non_Wetland,Forest
299,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
300,NULL,Forest,Forest,Non_Water,Non_Wetland,Water
301,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
302,NULL,Forest,Forest,Water,Non_Wetland,Water
303,NULL,Forest,Forest,Water,Non_Wetland,Forest
304,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
305,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
306,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
307,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
308,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
309,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
310,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
311,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
312,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
313,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
314,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
315,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
316,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
317,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
318,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
319,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
320,Grassland,NULL,Wetland,Water,Wetland,Grassland
321,Grassland,NULL,Wetland,Water,Wetland,Water
322,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
323,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
324,Grassland,NULL,Water,NULL,Water,Grassland
325,Grassland,NULL,Water,Water,Water,Grassland
326,Grassland,NULL,Water,Water,Water,Bareland
327,Grassland,NULL,Water,Water,Water,Water
328,Grassland,NULL,Water,Water,Water,Forest
329,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
330,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
331,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
332,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
333,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
334,Grassland,NULL,Forest,NULL,Non_Wetland,Water
335,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
336,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
337,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
338,Grassland,NULL,Forest,Water,Non_Wetland,Bareland
339,Grassland,NULL,Forest,Water,Non_Wetland,Forest
340,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
341,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
342,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
343,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
344,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
345,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
346,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
347,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
348,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
349,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
350,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
351,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
352,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
353,Grassland,Bareland,Shrubland,NULL,Non_Wetland,Water
354,Grassland,Bareland,Shrubland,NULL,Non_Wetland,Forest
355,Grassland,Bareland,Water,Water,Water,Bareland
356,Grassland,Bareland,Water,Water,Water,Water
357,Grassland,Bareland,Forest,NULL,Non_Wetland,Water
358,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
359,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
360,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest
361,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
362,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up
363,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
364,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
365,Grassland,Water,Shrubland,NULL,Non_Wetland,Bareland
366,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
367,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
368,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland
369,Grassland,Water,Cropland,Water,Non_Wetland,Grassland
370,Grassland,Water,Cropland,Water,Non_Wetland,Water
371,Grassland,Water,Wetland,Water,Wetland,Grassland
372,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
373,Grassland,Water,Water,Water,Water,Water
374,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
375,Grassland,Water,Forest,NULL,Non_Wetland,Forest
376,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
377,Grassland,Water,Forest,Water,Non_Wetland,Water
378,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
379,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
380,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland
381,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
382,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
383,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
384,Grassland,Forest,Shrubland,Water,Non_Wetland,Water
385,Grassland,Forest,Shrubland,Water,Non_Wetland,Forest
386,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
387,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
388,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
389,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
390,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
391,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
392,Grassland,Forest,Cropland,Water,Non_Wetland,Bareland
393,Grassland,Forest,Water,Water,Water,Water
394,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
395,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
396,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland
397,Grassland,Forest,Forest,NULL,Non_Wetland,Water
398,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
399,Grassland,Forest,Forest,Water,Non_Wetland,Forest
400,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
401,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
402,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
403,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
404,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
405,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
406,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
407,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
408,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
409,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
410,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water
411,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
412,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
413,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
414,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
415,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
416,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
417,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water
418,Cropland,NULL,Cropland,Water,Non_Wetland,Water
419,Cropland,NULL,Wetland,Water,Wetland,Water
420,Cropland,NULL,Bareland,Water,Non_Wetland,Water
421,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
422,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
423,Cropland,NULL,Water,NULL,Water,Grassland
424,Cropland,NULL,Water,NULL,Water,Built-up
425,Cropland,NULL,Water,Non_Water,Water,Grassland
426,Cropland,NULL,Water,Non_Water,Water,Bareland
427,Cropland,NULL,Water,Non_Water,Water,Water
428,Cropland,NULL,Water,Non_Water,Water,Forest
429,Cropland,NULL,Water,Water,Water,Grassland
430,Cropland,NULL,Water,Water,Water,Bareland
431,Cropland,NULL,Water,Water,Water,Water
432,Cropland,NULL,Water,Water,Water,Forest
433,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
434,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
435,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
436,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
437,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
438,Cropland,NULL,Forest,NULL,Non_Wetland,Water
439,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
