Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LWK_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
49,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
58,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
60,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
61,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
63,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
67,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
70,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
72,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
76,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
120,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
121,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
122,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
124,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
126,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
135,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
136,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
138,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
140,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
141,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
142,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
143,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
144,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
145,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Bareland
146,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
147,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
148,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
149,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
150,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
151,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
152,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
153,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
154,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
155,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
157,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
158,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
159,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
160,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Bareland
161,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
162,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
163,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
164,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Bareland
165,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
166,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
167,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
168,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
169,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
170,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
171,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Wetland
172,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
174,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
175,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,NULL
176,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
177,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Bareland
178,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Built-up
179,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
180,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
181,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
182,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
183,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
184,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
185,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
186,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
187,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
188,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
189,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
190,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
191,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
192,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
193,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
194,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
195,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
196,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
197,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
198,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
199,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
200,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Built-up,Grassland
201,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Built-up,Bareland
202,NULL,NULL,Wetland,NULL,NULL,NULL,NULL,Grassland
203,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
204,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
205,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
206,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
207,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
208,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
209,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
210,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
211,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
212,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
213,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Grassland
214,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Wetland
215,NULL,NULL,Wetland,NULL,Wetland,NULL,Built-up,Grassland
216,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Grassland
217,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Built-up
218,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
219,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Wetland
220,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
221,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Built-up
222,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
223,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
224,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
225,NULL,NULL,Wetland,NULL,Wetland,Grassland,Built-up,Grassland
226,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
227,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
228,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
229,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Bareland
230,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Water
231,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
232,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
233,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
234,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
235,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
236,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
237,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Wetland
238,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
239,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
240,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Grassland
241,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Wetland
242,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Bareland
243,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
244,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
245,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Wetland
246,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
247,NULL,NULL,Wetland,NULL,Wetland,Built-up,Built-up,Grassland
248,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Wetland
249,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Wetland
250,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
251,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Wetland
252,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Wetland
253,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
254,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
255,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
256,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
257,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
258,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
259,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Built-up,Grassland
260,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
261,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
262,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
263,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Bareland,Wetland
264,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,NULL,Grassland
265,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
266,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Bareland
267,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
268,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Wetland
269,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
270,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
271,NULL,NULL,Wetland,Non_Water,Wetland,Water,NULL,Wetland
272,NULL,NULL,Wetland,Water,NULL,Bareland,Bareland,Bareland
273,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
274,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
275,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
276,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
277,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland,Wetland
278,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Grassland
279,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Grassland
280,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Wetland
281,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Water
282,NULL,NULL,Wetland,Water,Wetland,Bareland,NULL,Grassland
283,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Bareland
284,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
285,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Wetland
286,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
287,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
288,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Bareland
289,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
290,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Grassland
291,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
292,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
293,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
295,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
296,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
297,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland,Grassland
298,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland,Built-up
299,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
300,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
301,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
302,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
303,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
304,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
305,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
306,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
307,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
308,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
309,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
310,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,NULL
311,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
312,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
313,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
314,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
315,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
316,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
317,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
318,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
319,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
320,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
321,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
322,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
323,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
324,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
325,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
326,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
327,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
328,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
329,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland,Grassland
330,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Grassland
331,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
