Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHT_M_R
100,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
101,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
103,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
104,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
105,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Wetland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
107,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
108,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
109,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
110,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
111,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
112,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
113,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
114,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
115,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Water
116,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
117,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
118,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Wetland
119,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
120,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
121,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
122,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
123,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
124,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
125,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
126,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
127,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
128,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
129,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
130,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
131,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
132,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
133,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
134,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Grassland
135,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
136,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
137,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
138,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
139,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
140,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Forest
141,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
142,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
144,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
145,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
146,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
147,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
148,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
149,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
150,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
151,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
152,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
153,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
154,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
155,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
156,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
157,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
158,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
159,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
160,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
161,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
162,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
163,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
164,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
165,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
166,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
167,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
168,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
169,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
170,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
171,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
172,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
173,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Forest
174,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
175,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
176,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
177,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Water
178,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
179,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
180,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
181,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
182,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
183,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
184,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
185,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
186,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
187,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
188,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
189,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
190,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Wetland
191,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
192,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
193,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Water
194,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
195,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
196,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
197,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
198,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
199,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
200,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
201,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Grassland
202,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Grassland
203,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
204,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
205,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
206,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
207,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
208,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
209,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
210,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
211,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
212,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
213,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
214,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
215,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
216,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
217,NULL,NULL,Wetland,Water,Wetland,Wetland,Forest,Grassland
218,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
219,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
220,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
221,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
222,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
223,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
224,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
225,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
226,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
227,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
228,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
229,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
230,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Grassland
231,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,Grassland
232,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
233,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
234,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
235,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
236,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
237,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
238,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
239,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
240,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
241,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
242,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
243,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
244,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
245,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
246,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
247,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
248,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
249,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
250,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
251,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
252,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Water,Grassland
253,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
254,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
255,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
256,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Forest
257,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
258,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
259,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
260,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
261,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
262,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
263,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
264,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
265,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
266,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
267,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
268,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
269,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Water
270,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
271,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
272,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
273,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
274,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
275,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
276,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
277,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
278,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Water
279,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Grassland
280,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
281,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
282,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Water
283,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
284,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
285,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
286,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
287,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
288,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
289,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
290,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
291,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
292,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
293,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
294,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
295,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
296,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
297,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
298,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Forest
299,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
300,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Forest
301,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
302,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Forest
303,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Built-up
304,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
305,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Wetland
306,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Forest
307,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
308,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Water,Grassland
309,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
310,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
311,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
312,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
313,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
314,NULL,NULL,Water,NULL,Water,Wetland,Water,Wetland
315,NULL,NULL,Water,NULL,Water,Wetland,Water,Water
316,NULL,NULL,Water,NULL,Water,Wetland,Forest,Grassland
317,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
318,NULL,NULL,Water,NULL,Water,Water,Wetland,Wetland
319,NULL,NULL,Water,NULL,Water,Water,Wetland,Forest
320,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
321,NULL,NULL,Water,Non_Water,Water,Grassland,Wetland,Grassland
322,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
323,NULL,NULL,Water,Non_Water,Water,Wetland,Grassland,Grassland
324,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
325,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
326,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
327,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
328,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Forest
329,NULL,NULL,Water,Non_Water,Water,Wetland,Forest,Grassland
330,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Grassland
331,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
332,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
333,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Water
334,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Forest
335,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
336,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
337,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
338,NULL,NULL,Water,Non_Water,Water,Water,Water,Forest
339,NULL,NULL,Water,Non_Water,Water,Water,Forest,Water
