Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KGC_M_R
882,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
883,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Grassland
884,NULL,NULL,Wetland,Non_Water,Wetland,Forest,NULL,Forest
885,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Grassland,Forest
886,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,NULL
887,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,Grassland
888,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
889,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Water,Forest
890,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Forest,Forest
891,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
892,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
893,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
894,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
895,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
896,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,NULL
897,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Grassland
898,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Cropland
899,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Wetland
900,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Forest
901,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland,Water
902,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Grassland
903,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Wetland
904,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Water
905,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Forest
906,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Grassland
907,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Cropland
908,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Wetland
909,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,NULL
910,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
911,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
912,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
913,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,NULL
914,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
915,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
916,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
917,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
918,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Grassland
919,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Wetland
920,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Water
921,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Forest
922,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
923,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
924,NULL,NULL,Wetland,Water,Wetland,Water,Water,NULL
925,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
926,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
927,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
928,NULL,NULL,Wetland,Water,Wetland,Forest,NULL,Wetland
929,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
930,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
931,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
932,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Water,Grassland
933,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Water,Water
934,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Water,Forest
935,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Forest
936,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
937,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
938,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
939,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
940,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
941,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
942,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
943,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
944,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
945,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
946,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Water,Grassland
947,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Water,Wetland
948,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
949,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,NULL,Forest
950,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
951,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
952,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Grassland
953,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,NULL,Grassland
954,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,NULL,Forest
955,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,NULL
956,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
957,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
958,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
959,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Cropland
960,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
961,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
962,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Water,Grassland
963,NULL,NULL,Bareland,Water,Non_Wetland,Water,NULL,Wetland
964,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
965,NULL,NULL,Bareland,Water,Non_Wetland,Forest,Water,Water
966,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
967,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
968,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
969,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
970,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
971,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
972,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
973,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
974,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
975,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
976,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland,Grassland
977,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
978,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
979,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
980,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Cropland
981,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
982,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
983,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
984,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,NULL
985,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
986,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
987,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Bareland
988,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
989,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
990,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,NULL
991,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Bareland
992,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Built-up
993,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
994,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
995,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
996,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
997,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
998,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
999,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
1000,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1001,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1002,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
1003,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,NULL
1004,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
1005,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
1006,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Built-up
1007,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Bareland,Forest
1008,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Built-up,Cropland
1009,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,Built-up
1010,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,Forest
1011,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
1012,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,NULL
1013,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Built-up
1014,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
1015,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
1016,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1017,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Cropland
1018,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1019,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1020,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1021,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1022,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
1023,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
1024,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
1025,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
1026,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Water
1027,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
1028,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
1029,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
1030,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
1031,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Forest
1032,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1033,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
1034,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
1035,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
1036,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Built-up
1037,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
1038,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1039,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
1040,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
1041,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1042,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
1043,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
1044,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Bareland,Grassland
1045,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Bareland,Forest
1046,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
1047,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
1048,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
1049,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Built-up
1050,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
1051,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
1052,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
1053,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
1054,NULL,NULL,Water,NULL,Water,NULL,Water,Wetland
1055,NULL,NULL,Water,NULL,Water,NULL,Water,Water
1056,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
1057,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
1058,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
1059,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
1060,NULL,NULL,Water,Non_Water,Water,NULL,Grassland,Grassland
1061,NULL,NULL,Water,Non_Water,Water,NULL,Wetland,NULL
1062,NULL,NULL,Water,Non_Water,Water,NULL,Bareland,Grassland
1063,NULL,NULL,Water,Non_Water,Water,NULL,Bareland,Wetland
1064,NULL,NULL,Water,Non_Water,Water,NULL,Water,NULL
1065,NULL,NULL,Water,Non_Water,Water,NULL,Water,Grassland
1066,NULL,NULL,Water,Non_Water,Water,NULL,Water,Wetland
1067,NULL,NULL,Water,Non_Water,Water,NULL,Water,Water
1068,NULL,NULL,Water,Non_Water,Water,NULL,Water,Forest
1069,NULL,NULL,Water,Non_Water,Water,Wetland,NULL,Wetland
1070,NULL,NULL,Water,Non_Water,Water,Wetland,NULL,Water
1071,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
1072,NULL,NULL,Water,Non_Water,Water,Bareland,Water,NULL
1073,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Water
1074,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
1075,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
1076,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Forest
1077,NULL,NULL,Water,Non_Water,Water,Water,Water,NULL
1078,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
1079,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
1080,NULL,NULL,Water,Water,Water,NULL,Wetland,Wetland
1081,NULL,NULL,Water,Water,Water,NULL,Wetland,Water
1082,NULL,NULL,Water,Water,Water,NULL,Water,NULL
1083,NULL,NULL,Water,Water,Water,NULL,Water,Water
1084,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
1085,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
1086,NULL,NULL,Water,Water,Water,Bareland,Bareland,Water
1087,NULL,NULL,Water,Water,Water,Water,NULL,Wetland
1088,NULL,NULL,Water,Water,Water,Water,NULL,Water
1089,NULL,NULL,Water,Water,Water,Water,NULL,Forest
1090,NULL,NULL,Water,Water,Water,Water,Water,Water
1091,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1092,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1093,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1094,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1095,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1096,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
1097,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
1098,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
1099,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
1101,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1102,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
1103,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
1104,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Cropland
1105,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
1106,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Built-up
1107,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Water
1108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1109,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Cropland
1110,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Wetland
1111,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Bareland
1112,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,Cropland
1113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Grassland
1114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Built-up
1115,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Forest
1116,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
1117,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
1118,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1119,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
1120,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
1121,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1122,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1123,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1124,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
1125,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
1126,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1127,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
1128,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1129,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
1130,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
1131,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1132,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1133,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1134,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1135,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1136,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1137,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1138,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
1139,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
1140,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,NULL
1141,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
1142,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
1143,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
1144,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Cropland
1145,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
1146,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1147,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1148,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
1149,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1150,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Cropland
1151,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1152,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
1153,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1154,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
1155,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
1156,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1157,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
1158,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1159,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1160,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
1161,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1162,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1163,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Wetland
1164,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Wetland
1165,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
1166,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
1167,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
1168,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
1169,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Cropland
1170,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1171,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1172,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
1173,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Cropland
1174,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1175,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Water,Forest
1176,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1177,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1178,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
1179,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
1180,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1181,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1182,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Cropland
1183,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,NULL
1184,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1185,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Cropland
1186,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Wetland
1187,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
1188,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
1189,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Bareland,Wetland
1190,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Grassland
1191,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Cropland
1192,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Wetland
1193,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
1194,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest,Grassland
1195,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
1196,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland,NULL,Cropland
1197,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Grassland
1198,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Cropland
1199,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Wetland
1200,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Forest
1201,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
1202,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,NULL
1203,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1204,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
1205,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1206,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
1207,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1208,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
1209,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
1210,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
1211,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,Grassland
1212,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
1213,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,NULL,Wetland
1214,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1215,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
1216,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Grassland
1217,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Wetland
1218,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Water
1219,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,NULL
1220,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Grassland
1221,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Wetland
1222,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Forest
1223,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Grassland
1224,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,NULL
1225,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1226,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
