Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NHE_M_R
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
31,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
32,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
33,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
34,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
35,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
36,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
37,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
38,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
39,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
41,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
42,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
43,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
44,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
45,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
46,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
47,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
48,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
49,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
57,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
62,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
63,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
65,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
67,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
68,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
70,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
72,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
75,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
76,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
78,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
79,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
80,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
81,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
82,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
83,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
85,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
86,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
87,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
88,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
90,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
91,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
92,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
94,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
95,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
97,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
98,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
100,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
102,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
103,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
104,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
105,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
106,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
107,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
108,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
109,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
110,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
111,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
112,NULL,Water,Water,Water,Water,NULL,NULL,Water
113,NULL,Water,Water,Water,Water,NULL,NULL,Forest
114,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
116,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
118,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
121,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
123,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
125,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
127,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
130,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
131,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
132,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
133,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
134,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
135,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
136,NULL,Forest,Water,Water,Water,NULL,NULL,Forest
137,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
138,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
141,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
142,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
143,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
144,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
145,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
146,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
147,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
148,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
149,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
150,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
151,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
152,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
153,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
154,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
155,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
156,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
157,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
158,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
159,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
160,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
161,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
162,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
163,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
164,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
165,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
166,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
167,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
168,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
169,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
170,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
171,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
172,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
173,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
174,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
175,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
176,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
177,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
178,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
179,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
180,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
181,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
182,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
183,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
184,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
185,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
186,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
187,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
188,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
189,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
190,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
191,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
192,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
193,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
194,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
195,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
196,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
197,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
198,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
199,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
200,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
201,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
202,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
203,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
204,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
205,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
206,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
207,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
208,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
209,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
210,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
211,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
212,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
213,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
214,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
215,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
216,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
217,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
218,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
219,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
220,Cropland,Water,Water,NULL,Water,NULL,NULL,Forest
221,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
222,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
223,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
224,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
225,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
226,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
227,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
228,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
229,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
230,Cropland,Forest,Water,NULL,Water,NULL,NULL,Forest
231,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
232,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
233,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
234,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
235,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
236,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
237,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
238,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
239,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
240,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
241,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
242,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
243,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
244,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
245,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
246,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
247,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
248,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
249,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
250,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
251,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
252,Wetland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
253,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
254,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
255,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
256,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
257,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Wetland
258,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
259,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
260,Wetland,Water,Water,Water,Water,NULL,NULL,Water
261,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
262,Wetland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
263,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
264,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
265,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
266,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
267,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
268,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
269,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
270,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
271,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
272,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
273,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
274,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
275,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
276,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
277,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
278,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
279,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
280,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
281,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
282,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
283,Bareland,NULL,Water,NULL,Water,NULL,NULL,Forest
284,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
285,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
286,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
287,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
288,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
289,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
290,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
291,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
292,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
293,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
294,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
295,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
296,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
297,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
298,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
299,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
300,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
301,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
302,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
303,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
304,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
305,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
306,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
307,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
308,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
309,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
310,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
311,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
312,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
313,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
314,Bareland,Bareland,Water,Water,Water,NULL,NULL,Grassland
315,Bareland,Bareland,Water,Water,Water,NULL,NULL,Bareland
316,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
317,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
318,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
319,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
320,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
321,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
322,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
323,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
324,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
325,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
326,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
327,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
328,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
329,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
330,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
331,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
332,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
333,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
334,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
335,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
336,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
337,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
338,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
339,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
340,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
341,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
342,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
343,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
344,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
