Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LPN_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
117,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
118,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
119,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
120,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
121,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
122,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
123,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
124,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
125,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
126,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
127,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
128,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
129,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Wetland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Water,Grassland
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,Grassland
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
303,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
304,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
306,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
307,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
308,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
309,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
310,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
311,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
312,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Water
313,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
314,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
315,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
316,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
317,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Water
318,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
