Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRP_M_R
122,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
123,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
124,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
125,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
126,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
127,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
128,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
129,NULL,Cropland,Cropland,Water,Non_Wetland,Water
130,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
131,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
133,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
134,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
135,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
136,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
137,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
138,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
139,NULL,Cropland,Water,Non_Water,Water,Grassland
140,NULL,Cropland,Water,Non_Water,Water,Forest
141,NULL,Cropland,Water,Water,Water,Grassland
142,NULL,Cropland,Water,Water,Water,Water
143,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
144,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
145,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
146,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
147,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
148,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
149,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
150,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
151,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
152,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
153,NULL,Cropland,Forest,Water,Non_Wetland,Bareland
154,NULL,Cropland,Forest,Water,Non_Wetland,Water
155,NULL,Cropland,Forest,Water,Non_Wetland,Forest
156,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
157,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
158,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
159,NULL,Wetland,Water,Water,Water,Grassland
160,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
161,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
162,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
163,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
164,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
165,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
166,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
167,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
168,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
169,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
170,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
171,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
172,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
173,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
174,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
175,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Water
176,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
177,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
178,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
179,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
180,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
181,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
182,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
183,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
184,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
185,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
186,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
187,NULL,Bareland,Forest,NULL,Non_Wetland,Water
188,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
196,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
197,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
198,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
199,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
200,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
201,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
202,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
203,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
204,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
205,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
206,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
207,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
208,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
209,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
210,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
211,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
212,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
213,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
214,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
215,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
216,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
217,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
218,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
219,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
220,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
221,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
222,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
223,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
224,NULL,Built-up,Cropland,Water,Non_Wetland,Water
225,NULL,Built-up,Wetland,NULL,Wetland,Forest
226,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
227,NULL,Built-up,Wetland,Water,Wetland,Bareland
228,NULL,Built-up,Wetland,Water,Wetland,Built-up
229,NULL,Built-up,Wetland,Water,Wetland,Water
230,NULL,Built-up,Wetland,Water,Wetland,Forest
231,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
232,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
233,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
234,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
235,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
236,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
237,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
238,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
239,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
240,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
241,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
242,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
243,NULL,Built-up,Bareland,Water,Non_Wetland,Water
244,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
245,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
246,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
247,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
248,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
249,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
250,NULL,Built-up,Water,NULL,Water,Built-up
251,NULL,Built-up,Water,NULL,Water,Water
252,NULL,Built-up,Water,NULL,Water,Forest
253,NULL,Built-up,Water,Non_Water,Water,Built-up
254,NULL,Built-up,Water,Non_Water,Water,Water
255,NULL,Built-up,Water,Non_Water,Water,Forest
256,NULL,Built-up,Water,Water,Water,Grassland
257,NULL,Built-up,Water,Water,Water,Bareland
258,NULL,Built-up,Water,Water,Water,Built-up
259,NULL,Built-up,Water,Water,Water,Water
260,NULL,Built-up,Water,Water,Water,Forest
261,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
262,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
263,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
264,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
265,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
266,NULL,Built-up,Forest,NULL,Non_Wetland,Water
267,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
268,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
269,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
270,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
271,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
272,NULL,Built-up,Forest,Water,Non_Wetland,Water
273,NULL,Built-up,Forest,Water,Non_Wetland,Forest
274,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
275,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
276,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
277,NULL,Water,Shrubland,NULL,Non_Wetland,Water
278,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
279,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
280,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
281,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
282,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
283,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
284,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
285,NULL,Water,Shrubland,Water,Non_Wetland,Water
286,NULL,Water,Shrubland,Water,Non_Wetland,Forest
287,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
288,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
289,NULL,Water,Grassland,NULL,Non_Wetland,Built-up
290,NULL,Water,Grassland,NULL,Non_Wetland,Water
291,NULL,Water,Grassland,NULL,Non_Wetland,Forest
292,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
293,NULL,Water,Grassland,Water,Non_Wetland,Grassland
294,NULL,Water,Grassland,Water,Non_Wetland,Forest
295,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
296,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
297,NULL,Water,Cropland,NULL,Non_Wetland,Built-up
298,NULL,Water,Cropland,NULL,Non_Wetland,Water
299,NULL,Water,Cropland,NULL,Non_Wetland,Forest
300,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
301,NULL,Water,Cropland,Water,Non_Wetland,Grassland
302,NULL,Water,Cropland,Water,Non_Wetland,Bareland
303,NULL,Water,Cropland,Water,Non_Wetland,Water
304,NULL,Water,Wetland,Non_Water,Wetland,Forest
305,NULL,Water,Wetland,Water,Wetland,Water
306,NULL,Water,Wetland,Water,Wetland,Forest
307,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
308,NULL,Water,Bareland,NULL,Non_Wetland,Forest
309,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
310,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
311,NULL,Water,Bareland,Water,Non_Wetland,Grassland
312,NULL,Water,Bareland,Water,Non_Wetland,Bareland
313,NULL,Water,Built-up,NULL,Non_Wetland,Water
314,NULL,Water,Built-up,NULL,Non_Wetland,Forest
315,NULL,Water,Water,NULL,Water,Grassland
316,NULL,Water,Water,NULL,Water,Bareland
317,NULL,Water,Water,NULL,Water,Water
318,NULL,Water,Water,NULL,Water,Forest
319,NULL,Water,Water,Non_Water,Water,Grassland
320,NULL,Water,Water,Non_Water,Water,Bareland
321,NULL,Water,Water,Non_Water,Water,Water
322,NULL,Water,Water,Water,Water,Grassland
323,NULL,Water,Water,Water,Water,Bareland
324,NULL,Water,Water,Water,Water,Water
325,NULL,Water,Water,Water,Water,Forest
326,NULL,Water,Forest,NULL,Non_Wetland,Grassland
327,NULL,Water,Forest,NULL,Non_Wetland,Cropland
328,NULL,Water,Forest,NULL,Non_Wetland,Bareland
329,NULL,Water,Forest,NULL,Non_Wetland,Built-up
330,NULL,Water,Forest,NULL,Non_Wetland,Water
331,NULL,Water,Forest,NULL,Non_Wetland,Forest
332,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
333,NULL,Water,Forest,Non_Water,Non_Wetland,Cropland
334,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
335,NULL,Water,Forest,Non_Water,Non_Wetland,Water
336,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
337,NULL,Water,Forest,Water,Non_Wetland,Grassland
338,NULL,Water,Forest,Water,Non_Wetland,Bareland
339,NULL,Water,Forest,Water,Non_Wetland,Water
340,NULL,Water,Forest,Water,Non_Wetland,Forest
341,NULL,Forest,NULL,NULL,Non_Wetland,NULL
342,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
343,NULL,Forest,NULL,NULL,Non_Wetland,Forest
344,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
345,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
346,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
347,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
348,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
349,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
350,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
351,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
352,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
353,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
354,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
355,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
356,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
357,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
358,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
359,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
360,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
361,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
362,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
363,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
364,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
365,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
366,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
367,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
368,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
369,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
370,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
371,NULL,Forest,Water,NULL,Water,Built-up
372,NULL,Forest,Water,NULL,Water,Forest
373,NULL,Forest,Forest,NULL,Non_Wetland,NULL
374,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
375,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
376,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
377,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
378,NULL,Forest,Forest,NULL,Non_Wetland,Water
379,NULL,Forest,Forest,NULL,Non_Wetland,Forest
380,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
381,NULL,Forest,Forest,Non_Water,Non_Wetland,Built-up
382,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
383,NULL,Forest,Forest,Water,Non_Wetland,Grassland
384,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
385,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
386,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
387,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
388,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
389,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
390,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
391,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
392,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
393,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
394,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
395,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
396,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
397,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
398,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
399,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
400,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
401,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
402,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
403,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
404,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
405,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
406,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
407,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
408,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
409,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
410,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
411,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
412,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
413,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
414,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
415,Grassland,NULL,Wetland,NULL,Wetland,Grassland
416,Grassland,NULL,Wetland,NULL,Wetland,Forest
417,Grassland,NULL,Wetland,Water,Wetland,Grassland
418,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
419,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
420,Grassland,NULL,Bareland,NULL,Non_Wetland,Built-up
421,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
422,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
423,Grassland,NULL,Bareland,Water,Non_Wetland,Forest
424,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
425,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
426,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
427,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
428,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
429,Grassland,NULL,Water,NULL,Water,Grassland
430,Grassland,NULL,Water,NULL,Water,Forest
431,Grassland,NULL,Water,Non_Water,Water,Grassland
432,Grassland,NULL,Water,Water,Water,Grassland
433,Grassland,NULL,Water,Water,Water,Cropland
