Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PNQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PNQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PNQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PNQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PNQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PNQ_M_R
120,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
121,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
122,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
123,NULL,NULL,Built-up,Water,Non_Wetland,Water
124,NULL,NULL,Built-up,Water,Non_Wetland,Forest
125,NULL,NULL,Water,NULL,Water,Grassland
126,NULL,NULL,Water,NULL,Water,Wetland
127,NULL,NULL,Water,NULL,Water,Forest
128,NULL,NULL,Water,Non_Water,Water,NULL
129,NULL,NULL,Water,Non_Water,Water,Grassland
130,NULL,NULL,Water,Non_Water,Water,Wetland
131,NULL,NULL,Water,Non_Water,Water,Built-up
132,NULL,NULL,Water,Non_Water,Water,Water
133,NULL,NULL,Water,Non_Water,Water,Forest
134,NULL,NULL,Water,Water,Water,Grassland
135,NULL,NULL,Water,Water,Water,Wetland
136,NULL,NULL,Water,Water,Water,Bareland
137,NULL,NULL,Water,Water,Water,Water
138,NULL,NULL,Water,Water,Water,Forest
139,NULL,NULL,Forest,NULL,Non_Wetland,NULL
140,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
141,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
142,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
143,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
144,NULL,NULL,Forest,NULL,Non_Wetland,Forest
145,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
146,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
147,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
148,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
149,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up
150,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
151,NULL,NULL,Forest,Water,Non_Wetland,Grassland
152,NULL,NULL,Forest,Water,Non_Wetland,Wetland
153,NULL,NULL,Forest,Water,Non_Wetland,Bareland
154,NULL,NULL,Forest,Water,Non_Wetland,Water
155,NULL,NULL,Forest,Water,Non_Wetland,Forest
156,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
157,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
158,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
159,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
160,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
161,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
162,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
163,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
164,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
165,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
166,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
167,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
168,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
169,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
170,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
171,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
172,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
173,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
174,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
175,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
176,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
177,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
178,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
179,NULL,Cropland,Wetland,NULL,Wetland,Grassland
180,NULL,Cropland,Wetland,NULL,Wetland,Wetland
181,NULL,Cropland,Wetland,NULL,Wetland,Forest
182,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
183,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
184,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
185,NULL,Cropland,Wetland,Water,Wetland,Grassland
186,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
187,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
188,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
189,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
190,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
191,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
192,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland
193,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
194,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
195,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Built-up
196,NULL,Cropland,Water,Non_Water,Water,Grassland
197,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
198,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
199,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
200,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
201,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
202,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
203,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
204,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
205,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
206,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
207,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
208,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
209,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
210,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
211,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
212,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
213,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
214,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
215,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
216,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
217,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
218,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
219,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
220,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
221,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
222,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
223,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
224,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
225,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
226,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
227,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
228,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
229,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
230,NULL,Wetland,Wetland,NULL,Wetland,Grassland
231,NULL,Wetland,Wetland,NULL,Wetland,Cropland
232,NULL,Wetland,Wetland,NULL,Wetland,Wetland
233,NULL,Wetland,Wetland,NULL,Wetland,Bareland
234,NULL,Wetland,Wetland,NULL,Wetland,Built-up
235,NULL,Wetland,Wetland,NULL,Wetland,Water
236,NULL,Wetland,Wetland,NULL,Wetland,Forest
237,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
238,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
239,NULL,Wetland,Wetland,Non_Water,Wetland,Built-up
240,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
241,NULL,Wetland,Wetland,Water,Wetland,Grassland
242,NULL,Wetland,Wetland,Water,Wetland,Wetland
243,NULL,Wetland,Wetland,Water,Wetland,Water
244,NULL,Wetland,Wetland,Water,Wetland,Forest
245,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
246,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
247,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
248,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
249,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
250,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
251,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
252,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
253,NULL,Wetland,Water,NULL,Water,Grassland
254,NULL,Wetland,Water,NULL,Water,Wetland
255,NULL,Wetland,Water,NULL,Water,Forest
256,NULL,Wetland,Water,Non_Water,Water,Grassland
257,NULL,Wetland,Water,Non_Water,Water,Wetland
258,NULL,Wetland,Water,Water,Water,Grassland
259,NULL,Wetland,Water,Water,Water,Wetland
260,NULL,Wetland,Water,Water,Water,Water
261,NULL,Wetland,Water,Water,Water,Forest
262,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
263,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
264,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
265,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
266,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
267,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
268,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
269,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
270,NULL,Wetland,Forest,Water,Non_Wetland,Forest
271,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
272,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
273,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
274,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
275,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
276,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
277,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
278,NULL,Bareland,Wetland,NULL,Wetland,Forest
279,NULL,Bareland,Wetland,Water,Wetland,Wetland
280,NULL,Bareland,Wetland,Water,Wetland,Water
281,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
282,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
283,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
284,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
285,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
286,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
287,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
288,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
289,NULL,Bareland,Built-up,Water,Non_Wetland,Built-up
290,NULL,Bareland,Water,NULL,Water,Built-up
291,NULL,Bareland,Water,Water,Water,Wetland
292,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
293,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
294,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
295,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
296,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
297,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
298,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
299,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
300,NULL,Built-up,NULL,Water,Non_Wetland,Bareland
301,NULL,Built-up,NULL,Water,Non_Wetland,Built-up
302,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
303,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
304,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
305,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
306,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
307,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
308,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
309,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
310,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
311,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
312,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland
313,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
314,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
315,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
316,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL
317,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
318,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland
319,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
320,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
321,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
322,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
323,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
324,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
325,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
326,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
327,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
328,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
329,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
330,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
331,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Wetland
332,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
333,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
334,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
335,NULL,Built-up,Grassland,Water,Non_Wetland,Wetland
336,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
337,NULL,Built-up,Grassland,Water,Non_Wetland,Water
338,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
339,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
340,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
341,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
342,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
343,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
344,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
345,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
346,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
347,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
348,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
349,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
350,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
351,NULL,Built-up,Wetland,NULL,Wetland,Grassland
352,NULL,Built-up,Wetland,NULL,Wetland,Wetland
353,NULL,Built-up,Wetland,NULL,Wetland,Bareland
354,NULL,Built-up,Wetland,NULL,Wetland,Built-up
355,NULL,Built-up,Wetland,NULL,Wetland,Water
356,NULL,Built-up,Wetland,NULL,Wetland,Forest
357,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
358,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
359,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
360,NULL,Built-up,Wetland,Non_Water,Wetland,Water
361,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
362,NULL,Built-up,Wetland,Water,Wetland,Grassland
363,NULL,Built-up,Wetland,Water,Wetland,Wetland
364,NULL,Built-up,Wetland,Water,Wetland,Bareland
365,NULL,Built-up,Wetland,Water,Wetland,Built-up
366,NULL,Built-up,Wetland,Water,Wetland,Water
367,NULL,Built-up,Wetland,Water,Wetland,Forest
368,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
369,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
370,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
371,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
372,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
373,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
374,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
375,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
376,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
377,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
378,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
379,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
380,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
381,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
382,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
383,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
384,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
385,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
386,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL
387,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
388,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Wetland
389,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
390,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
391,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
392,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
393,NULL,Built-up,Built-up,Water,Non_Wetland,NULL
394,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
395,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland
396,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
397,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
398,NULL,Built-up,Built-up,Water,Non_Wetland,Water
399,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
400,NULL,Built-up,Water,NULL,Water,Grassland
401,NULL,Built-up,Water,NULL,Water,Built-up
402,NULL,Built-up,Water,NULL,Water,Water
403,NULL,Built-up,Water,NULL,Water,Forest
404,NULL,Built-up,Water,Non_Water,Water,Grassland
405,NULL,Built-up,Water,Non_Water,Water,Wetland
406,NULL,Built-up,Water,Non_Water,Water,Built-up
407,NULL,Built-up,Water,Non_Water,Water,Water
408,NULL,Built-up,Water,Non_Water,Water,Forest
409,NULL,Built-up,Water,Water,Water,Grassland
410,NULL,Built-up,Water,Water,Water,Wetland
411,NULL,Built-up,Water,Water,Water,Bareland
412,NULL,Built-up,Water,Water,Water,Built-up
413,NULL,Built-up,Water,Water,Water,Water
414,NULL,Built-up,Water,Water,Water,Forest
415,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
416,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
417,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
418,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
419,NULL,Built-up,Forest,NULL,Non_Wetland,Water
420,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
421,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
422,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
423,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
424,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
425,NULL,Built-up,Forest,Water,Non_Wetland,Wetland
426,NULL,Built-up,Forest,Water,Non_Wetland,Built-up
427,NULL,Built-up,Forest,Water,Non_Wetland,Forest
428,NULL,Water,NULL,NULL,Non_Wetland,Built-up
429,NULL,Water,NULL,NULL,Non_Wetland,Forest
430,NULL,Water,NULL,Water,Non_Wetland,Wetland
