Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUA_M_R
299,Cropland,Water,Water,Non_Water,Water,Water
300,Cropland,Water,Water,Water,Water,Water
301,Cropland,Water,Forest,NULL,Non_Wetland,Forest
302,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
303,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
304,Cropland,Forest,Wetland,NULL,Wetland,Forest
305,Cropland,Forest,Wetland,Water,Wetland,Water
306,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
307,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
308,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
309,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
310,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
311,Wetland,NULL,Wetland,NULL,Wetland,Grassland
312,Wetland,NULL,Wetland,NULL,Wetland,Wetland
313,Wetland,NULL,Wetland,NULL,Wetland,Water
314,Wetland,NULL,Wetland,NULL,Wetland,Forest
315,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
316,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
317,Wetland,NULL,Wetland,Non_Water,Wetland,Water
318,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
319,Wetland,NULL,Wetland,Water,Wetland,Grassland
320,Wetland,NULL,Wetland,Water,Wetland,Wetland
321,Wetland,NULL,Wetland,Water,Wetland,Water
322,Wetland,NULL,Wetland,Water,Wetland,Forest
323,Wetland,NULL,Water,NULL,Water,Water
324,Wetland,NULL,Water,Water,Water,Grassland
325,Wetland,NULL,Water,Water,Water,Wetland
326,Wetland,NULL,Water,Water,Water,Water
327,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
328,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
329,Wetland,NULL,Forest,NULL,Non_Wetland,Water
330,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
331,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
332,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water
333,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
334,Wetland,NULL,Forest,Water,Non_Wetland,Wetland
335,Wetland,NULL,Forest,Water,Non_Wetland,Water
336,Wetland,NULL,Forest,Water,Non_Wetland,Forest
337,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
338,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
339,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
340,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Water
341,Wetland,Wetland,Wetland,NULL,Wetland,NULL
342,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
343,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
344,Wetland,Wetland,Wetland,NULL,Wetland,Water
345,Wetland,Wetland,Wetland,NULL,Wetland,Forest
346,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL
347,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland
348,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
349,Wetland,Wetland,Wetland,Non_Water,Wetland,Water
350,Wetland,Wetland,Wetland,Non_Water,Wetland,Forest
351,Wetland,Wetland,Wetland,Water,Wetland,Grassland
352,Wetland,Wetland,Wetland,Water,Wetland,Wetland
353,Wetland,Wetland,Wetland,Water,Wetland,Water
354,Wetland,Wetland,Wetland,Water,Wetland,Forest
355,Wetland,Wetland,Water,NULL,Water,Grassland
356,Wetland,Wetland,Water,NULL,Water,Wetland
357,Wetland,Wetland,Water,NULL,Water,Water
358,Wetland,Wetland,Water,NULL,Water,Forest
359,Wetland,Wetland,Water,Non_Water,Water,Grassland
360,Wetland,Wetland,Water,Non_Water,Water,Wetland
361,Wetland,Wetland,Water,Non_Water,Water,Water
362,Wetland,Wetland,Water,Non_Water,Water,Forest
363,Wetland,Wetland,Water,Water,Water,Grassland
364,Wetland,Wetland,Water,Water,Water,Wetland
365,Wetland,Wetland,Water,Water,Water,Water
366,Wetland,Wetland,Water,Water,Water,Forest
367,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
368,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
369,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
370,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
371,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water
372,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest
373,Wetland,Wetland,Forest,Water,Non_Wetland,Grassland
374,Wetland,Wetland,Forest,Water,Non_Wetland,Water
375,Wetland,Wetland,Forest,Water,Non_Wetland,Forest
376,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Water
377,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Forest
378,Wetland,Water,Shrubland,Water,Non_Wetland,Water
379,Wetland,Water,Wetland,NULL,Wetland,Grassland
380,Wetland,Water,Wetland,NULL,Wetland,Wetland
381,Wetland,Water,Wetland,NULL,Wetland,Water
382,Wetland,Water,Wetland,NULL,Wetland,Forest
383,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
384,Wetland,Water,Wetland,Non_Water,Wetland,Water
385,Wetland,Water,Wetland,Non_Water,Wetland,Forest
386,Wetland,Water,Wetland,Water,Wetland,Grassland
387,Wetland,Water,Wetland,Water,Wetland,Wetland
388,Wetland,Water,Wetland,Water,Wetland,Water
389,Wetland,Water,Wetland,Water,Wetland,Forest
390,Wetland,Water,Water,NULL,Water,Grassland
391,Wetland,Water,Water,NULL,Water,Water
392,Wetland,Water,Water,Water,Water,Grassland
393,Wetland,Water,Water,Water,Water,Wetland
394,Wetland,Water,Water,Water,Water,Water
395,Wetland,Water,Water,Water,Water,Forest
396,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
397,Wetland,Water,Forest,NULL,Non_Wetland,Water
398,Wetland,Water,Forest,NULL,Non_Wetland,Forest
399,Wetland,Water,Forest,Non_Water,Non_Wetland,Forest
400,Wetland,Water,Forest,Water,Non_Wetland,Water
401,Wetland,Water,Forest,Water,Non_Wetland,Forest
402,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
403,Wetland,Forest,Wetland,NULL,Wetland,Grassland
404,Wetland,Forest,Wetland,NULL,Wetland,Wetland
405,Wetland,Forest,Wetland,NULL,Wetland,Water
406,Wetland,Forest,Wetland,NULL,Wetland,Forest
407,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland
408,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
409,Wetland,Forest,Wetland,Non_Water,Wetland,Water
410,Wetland,Forest,Wetland,Non_Water,Wetland,Forest
411,Wetland,Forest,Wetland,Water,Wetland,Wetland
412,Wetland,Forest,Wetland,Water,Wetland,Water
413,Wetland,Forest,Wetland,Water,Wetland,Forest
414,Wetland,Forest,Water,NULL,Water,Wetland
415,Wetland,Forest,Water,Non_Water,Water,Wetland
416,Wetland,Forest,Water,Water,Water,Grassland
417,Wetland,Forest,Water,Water,Water,Wetland
418,Wetland,Forest,Water,Water,Water,Water
419,Wetland,Forest,Water,Water,Water,Forest
420,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
421,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland
422,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
423,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland
424,Wetland,Forest,Forest,Non_Water,Non_Wetland,Forest
425,Wetland,Forest,Forest,Water,Non_Wetland,Wetland
426,Wetland,Forest,Forest,Water,Non_Wetland,Forest
427,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water
428,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
429,Bareland,Bareland,Wetland,Non_Water,Wetland,Water
430,Bareland,Bareland,Wetland,Water,Wetland,Water
431,Bareland,Bareland,Water,Water,Water,Water
432,Bareland,Water,Shrubland,Water,Non_Wetland,Water
433,Bareland,Water,Wetland,Non_Water,Wetland,Water
434,Bareland,Water,Wetland,Non_Water,Wetland,Forest
435,Bareland,Water,Wetland,Water,Wetland,Water
436,Bareland,Water,Wetland,Water,Wetland,Forest
437,Bareland,Water,Water,NULL,Water,Water
438,Bareland,Water,Water,Non_Water,Water,Water
439,Bareland,Water,Water,Water,Water,Water
440,Bareland,Water,Water,Water,Water,Forest
441,Bareland,Water,Forest,NULL,Non_Wetland,Water
442,Bareland,Water,Forest,Non_Water,Non_Wetland,Water
443,Bareland,Water,Forest,Non_Water,Non_Wetland,Forest
444,Bareland,Water,Forest,Water,Non_Wetland,Water
445,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
446,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
447,Water,NULL,Shrubland,NULL,Non_Wetland,Water
448,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
449,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
450,Water,NULL,Wetland,NULL,Wetland,Grassland
451,Water,NULL,Wetland,NULL,Wetland,Wetland
452,Water,NULL,Wetland,NULL,Wetland,Water
453,Water,NULL,Wetland,NULL,Wetland,Forest
