Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MEC_M_R
1624,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1625,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1626,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1627,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1628,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1629,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
1630,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1631,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1632,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1633,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
1634,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1635,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
1636,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
1637,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1638,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1639,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1640,Cropland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
1641,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1642,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1643,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1644,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
1645,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1646,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
1647,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1648,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
1649,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1650,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1651,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1652,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
1653,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1654,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1655,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
1656,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
1657,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
1658,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
1659,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1660,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1661,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1662,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1663,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1664,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1665,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1666,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1667,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1668,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1669,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1670,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1671,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1672,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1673,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1674,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1675,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1676,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1677,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1678,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1679,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1680,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1681,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1682,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1683,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1684,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1685,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1686,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1687,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1688,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1689,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1690,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1691,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1692,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1693,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1694,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1695,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1696,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1697,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1698,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1699,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1700,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1701,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1702,Cropland,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1703,Cropland,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
1704,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1705,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1706,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1707,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1708,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
1709,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1710,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1711,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1712,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1713,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
1714,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1715,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1716,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1717,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1718,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1719,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1720,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1721,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1722,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1723,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
1724,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1725,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
1726,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1727,Cropland,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1728,Cropland,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1729,Cropland,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1730,Cropland,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Forest
1731,Cropland,Built-up,Wetland,NULL,Wetland,Water,Wetland,Forest
1732,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1733,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1734,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1735,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1736,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1737,Cropland,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1738,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1739,Cropland,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1740,Cropland,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1741,Cropland,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1742,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1743,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1744,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1745,Cropland,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1746,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
1747,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1748,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1749,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1750,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1751,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1752,Cropland,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
1753,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1754,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1755,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1756,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
1757,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1758,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
1759,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
1760,Cropland,Forest,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1761,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1762,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
1763,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1764,Cropland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
1765,Cropland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1766,Cropland,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1767,Cropland,Forest,Wetland,NULL,Wetland,Bareland,Forest,Grassland
1768,Cropland,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1769,Cropland,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
1770,Cropland,Forest,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
1771,Cropland,Forest,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
1772,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
1773,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1774,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1775,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1776,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1777,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1778,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1779,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1780,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1781,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1782,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1783,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1784,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1785,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1786,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1787,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1788,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1789,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1790,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1791,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1792,Wetland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
1793,Wetland,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
1794,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1795,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
1796,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
1797,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1798,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
1799,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
1800,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
1801,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1802,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1803,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1804,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
1805,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
1806,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
1807,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1808,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1809,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Forest
1810,Wetland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1811,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
1812,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Water,Wetland
1813,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Wetland
1814,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Water,Wetland
1815,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
1816,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Water,Wetland
1817,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1818,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
1819,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
1820,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
1821,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,Water,Wetland
1822,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1823,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1824,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
1825,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
1826,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
1827,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
1828,Wetland,Wetland,Wetland,Non_Water,Wetland,Forest,Water,Wetland
1829,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
1830,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
1831,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
1832,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,Wetland
1833,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
1834,Wetland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Wetland
1835,Wetland,Wetland,Water,Non_Water,Water,Wetland,Water,Wetland
1836,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Wetland
1837,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Water
1838,Wetland,Wetland,Water,Water,Water,NULL,Water,Wetland
1839,Wetland,Wetland,Water,Water,Water,NULL,Water,Water
1840,Wetland,Wetland,Water,Water,Water,Grassland,Water,Wetland
1841,Wetland,Wetland,Water,Water,Water,Grassland,Water,Water
1842,Wetland,Wetland,Water,Water,Water,Wetland,Water,Wetland
1843,Wetland,Wetland,Water,Water,Water,Wetland,Water,Water
1844,Wetland,Wetland,Water,Water,Water,Water,Water,Wetland
1845,Wetland,Wetland,Water,Water,Water,Water,Water,Water
1846,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
1847,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
1848,Wetland,Water,Wetland,NULL,Wetland,NULL,Wetland,Wetland
1849,Wetland,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
1850,Wetland,Water,Wetland,NULL,Wetland,NULL,Water,Wetland
1851,Wetland,Water,Wetland,NULL,Wetland,Grassland,Water,Wetland
1852,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
1853,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
1854,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Wetland
1855,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Water
1856,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Forest
1857,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Water,Wetland
1858,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
1859,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1860,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
1861,Wetland,Water,Wetland,Water,Wetland,NULL,Water,Wetland
1862,Wetland,Water,Wetland,Water,Wetland,NULL,Water,Water
1863,Wetland,Water,Wetland,Water,Wetland,Water,Water,Wetland
1864,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
1865,Wetland,Water,Wetland,Water,Wetland,Water,Water,Forest
1866,Wetland,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
1867,Wetland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
1868,Wetland,Water,Water,Non_Water,Water,Water,Water,Wetland
1869,Wetland,Water,Water,Non_Water,Water,Water,Water,Water
1870,Wetland,Water,Water,Water,Water,NULL,Water,Wetland
1871,Wetland,Water,Water,Water,Water,NULL,Water,Water
1872,Wetland,Water,Water,Water,Water,Wetland,Water,Water
1873,Wetland,Water,Water,Water,Water,Water,Water,Wetland
1874,Wetland,Water,Water,Water,Water,Water,Water,Water
1875,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
1876,Wetland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
1877,Wetland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
1878,Wetland,Forest,Wetland,NULL,Wetland,Water,Wetland,Wetland
1879,Wetland,Forest,Wetland,NULL,Wetland,Water,Water,Wetland
1880,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
1881,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
1882,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,Water,NULL
1883,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,Water,Wetland
1884,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,Water,Water
1885,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,Water,Forest
1886,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
1887,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,NULL
1888,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1889,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1890,Wetland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Forest
1891,Wetland,Forest,Wetland,Non_Water,Wetland,Forest,Water,Forest
1892,Wetland,Forest,Wetland,Water,Wetland,NULL,Water,Wetland
1893,Wetland,Forest,Water,Non_Water,Water,NULL,Water,Wetland
1894,Wetland,Forest,Water,Water,Water,NULL,Wetland,Water
1895,Wetland,Forest,Water,Water,Water,NULL,Water,Wetland
1896,Wetland,Forest,Water,Water,Water,NULL,Water,Water
1897,Wetland,Forest,Water,Water,Water,NULL,Water,Forest
1898,Wetland,Forest,Water,Water,Water,Grassland,Water,Water
1899,Wetland,Forest,Water,Water,Water,Water,Water,Water
1900,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1901,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1902,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1903,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1904,Bareland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1905,Bareland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1906,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1907,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1908,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
1909,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1910,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1911,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1912,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1913,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1914,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1915,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
1916,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
1917,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1918,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
1919,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1920,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1921,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
1922,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
1923,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1924,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1925,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1926,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1927,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
1928,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
1929,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1930,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1931,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
1932,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1933,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1934,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1935,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1936,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1937,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1938,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1939,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1940,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1941,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
1942,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1943,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1944,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1945,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1946,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1947,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
1948,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
1949,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1950,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
1951,Bareland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
1952,Bareland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
1953,Bareland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
