Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MFB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MFB_M_R
1181,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1182,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1183,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland,Forest
1184,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
1185,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Water,Grassland
1186,NULL,Wetland,Wetland,NULL,Wetland,Cropland,Water,Grassland
1187,NULL,Wetland,Wetland,NULL,Wetland,Cropland,Water,Forest
1188,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1189,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1190,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
1191,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1192,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1193,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1194,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
1195,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Bareland
1196,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
1197,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
1198,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1199,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
1200,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1201,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1202,NULL,Wetland,Wetland,Water,Wetland,Wetland,Grassland,Grassland
1203,NULL,Wetland,Wetland,Water,Wetland,Bareland,Water,Grassland
1204,NULL,Wetland,Water,Water,Water,Grassland,Water,Grassland
1205,NULL,Wetland,Water,Water,Water,Water,Wetland,Grassland
1206,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1207,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1208,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1209,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1210,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1211,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1212,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1213,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1214,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1215,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1216,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1217,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1218,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1219,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1220,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
1221,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1222,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
1223,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
1224,NULL,Bareland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
1225,NULL,Bareland,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
1226,NULL,Bareland,NULL,Non_Water,Non_Wetland,Cropland,NULL,Bareland
1227,NULL,Bareland,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
1228,NULL,Bareland,NULL,Non_Water,Non_Wetland,Cropland,Water,Grassland
1229,NULL,Bareland,NULL,Non_Water,Non_Wetland,Cropland,Water,Bareland
1230,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1231,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
1232,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1233,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
1234,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
1235,NULL,Bareland,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
1236,NULL,Bareland,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
1237,NULL,Bareland,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
1238,NULL,Bareland,NULL,Water,Non_Wetland,Cropland,NULL,Bareland
1239,NULL,Bareland,NULL,Water,Non_Wetland,Cropland,Grassland,Grassland
1240,NULL,Bareland,NULL,Water,Non_Wetland,Cropland,Water,Grassland
1241,NULL,Bareland,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
1242,NULL,Bareland,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
1243,NULL,Bareland,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
1244,NULL,Bareland,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
1245,NULL,Bareland,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
1246,NULL,Bareland,NULL,Water,Non_Wetland,Bareland,Water,Grassland
1247,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1248,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1249,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
1250,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1251,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1252,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1253,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
1254,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1255,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
1256,NULL,Bareland,Shrubland,Water,Non_Wetland,Cropland,Water,Grassland
1257,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1258,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1259,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
1260,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
1261,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1262,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1263,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
1264,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1265,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
1266,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
1267,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
1268,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1269,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
1270,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1271,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1272,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland,Grassland,Bareland
1273,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1274,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland,Water,Bareland
1275,NULL,Bareland,Wetland,Non_Water,Wetland,Cropland,NULL,Bareland
1276,NULL,Bareland,Wetland,Non_Water,Wetland,Cropland,Water,Grassland
1277,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland,Grassland,Bareland
1278,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland,Wetland,Bareland
1279,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
1280,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
1281,NULL,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1282,NULL,Bareland,Wetland,Water,Wetland,Grassland,Water,Bareland
1283,NULL,Bareland,Wetland,Water,Wetland,Cropland,Water,Grassland
1284,NULL,Bareland,Wetland,Water,Wetland,Cropland,Water,Bareland
1285,NULL,Bareland,Wetland,Water,Wetland,Cropland,Water,Water
1286,NULL,Bareland,Wetland,Water,Wetland,Bareland,NULL,Bareland
1287,NULL,Bareland,Wetland,Water,Wetland,Bareland,Grassland,Grassland
1288,NULL,Bareland,Wetland,Water,Wetland,Bareland,Grassland,Wetland
1289,NULL,Bareland,Wetland,Water,Wetland,Bareland,Grassland,Bareland
1290,NULL,Bareland,Wetland,Water,Wetland,Bareland,Water,Grassland
1291,NULL,Bareland,Wetland,Water,Wetland,Bareland,Water,Wetland
1292,NULL,Bareland,Wetland,Water,Wetland,Bareland,Water,Bareland
1293,NULL,Bareland,Wetland,Water,Wetland,Water,NULL,Water
1294,NULL,Bareland,Wetland,Water,Wetland,Water,Grassland,Bareland
1295,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
1296,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
1297,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1298,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland,NULL,Bareland
1299,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1300,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
1301,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland,Water,Bareland
1302,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
1303,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Cropland,NULL,Bareland
1304,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Cropland,Wetland,Bareland
1305,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1306,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
1307,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
1308,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1309,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
1310,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water,NULL,Bareland
1311,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland,NULL,Bareland
1312,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland,Grassland,Bareland
1313,NULL,Bareland,Bareland,Water,Non_Wetland,Cropland,NULL,Grassland
1314,NULL,Bareland,Bareland,Water,Non_Wetland,Cropland,Grassland,Grassland
1315,NULL,Bareland,Bareland,Water,Non_Wetland,Cropland,Water,Grassland
1316,NULL,Bareland,Bareland,Water,Non_Wetland,Cropland,Water,Bareland
1317,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland,NULL,Bareland
1318,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland,Grassland,Grassland
1319,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
1320,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland,Water,Wetland
1321,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland,Water,Bareland
1322,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
1323,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
1324,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
1325,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1326,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1327,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1328,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
1329,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
1330,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
1331,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1332,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Bareland
1333,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland,Water,Bareland
1334,NULL,Bareland,Water,Non_Water,Water,Bareland,Water,Grassland
1335,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
1336,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1337,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1338,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Water,Forest
1339,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1340,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1341,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1342,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1343,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
1344,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1345,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1346,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1347,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1348,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1349,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
1350,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1351,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1352,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
1353,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1354,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
1355,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
1356,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
1357,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1358,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
1359,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
1360,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
1361,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Forest,Built-up
1362,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1363,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1364,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
1365,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
1366,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1367,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1368,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
1369,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
1370,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1371,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
1372,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
1373,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
1374,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1375,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1376,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
1377,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1378,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
1379,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
1380,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
1381,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1382,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
1383,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
1384,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1385,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1386,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
1387,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
1388,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
1389,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
1390,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
1391,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
1392,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
1393,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
1394,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1395,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Water,Forest
1396,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1397,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1398,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1399,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1400,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1401,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1402,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1403,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1404,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1405,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1406,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1407,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1408,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
1409,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
1410,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
1411,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1412,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1413,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1414,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1415,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1416,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1417,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1418,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1419,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1420,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
1421,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
1422,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
1423,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
1424,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1425,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1426,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
1427,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
1428,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
1429,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1430,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
1431,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
1432,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1433,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1434,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1435,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1436,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1437,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1438,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1439,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1440,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1441,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1442,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1443,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
1444,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
1445,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
1446,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1447,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
1448,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
1449,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1450,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1451,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
1452,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
1453,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1454,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
1455,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
1456,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1457,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1458,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
1459,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Water,Forest
1460,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
1461,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
1462,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1463,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
1464,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Water,Forest
1465,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1466,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
1467,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1468,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1469,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1470,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1471,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1472,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1473,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1474,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1475,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1476,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1477,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
1478,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
1479,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
1480,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1481,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
1482,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1483,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
1484,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland,NULL,Built-up
1485,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1486,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
1487,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1488,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland,Built-up,Grassland
1489,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
1490,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1491,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1492,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1493,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
1494,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1495,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
1496,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
1497,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
1498,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
1499,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
1500,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
