Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LHH_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
31,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
45,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
48,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
53,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
54,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
63,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
64,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
66,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
68,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
69,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
70,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
71,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
73,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
74,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
75,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
76,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
77,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
79,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
80,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
81,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
82,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
83,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
84,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
86,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
88,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
89,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
91,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
93,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
95,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
96,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
97,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
99,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
100,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
101,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
103,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
104,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
107,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
108,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
110,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
112,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
113,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
114,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
115,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
117,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
118,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
119,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
120,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
121,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
122,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
123,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
124,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
125,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Forest
126,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
127,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
128,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
129,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
130,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
131,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
133,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
134,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
135,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
136,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
138,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
139,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
141,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
143,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
144,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
145,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
146,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
147,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
148,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
149,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
150,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
151,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
152,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
153,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
154,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
155,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
157,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
158,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
159,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
160,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
161,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
162,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
163,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
164,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
165,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
166,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
167,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
168,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
169,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
170,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
171,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
172,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
173,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
174,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
175,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
176,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
177,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
178,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
179,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
180,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
181,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
182,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
183,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
184,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
185,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
186,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
187,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
188,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
189,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
190,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
191,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
192,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
193,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
194,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
195,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
196,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Wetland
197,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
198,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
199,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
200,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
201,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
202,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
203,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
204,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
205,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
206,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
207,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
208,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Forest
209,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
210,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,NULL
211,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
212,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
213,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Forest
214,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
215,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
216,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
217,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
218,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
219,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
220,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
221,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
222,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
223,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
224,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
225,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
226,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
227,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
228,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
229,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Wetland
230,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
231,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Wetland
232,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
233,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Wetland
234,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
235,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
236,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
237,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
238,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
241,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
243,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
246,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
247,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Wetland
248,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
249,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Grassland
250,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,Wetland
251,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
252,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
253,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,NULL,Forest
254,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
255,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
256,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
257,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
258,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
259,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
260,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
261,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
262,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
263,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
264,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
265,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
266,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
268,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
269,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
270,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
271,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
272,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
273,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
274,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
275,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
276,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
277,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
278,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
279,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
280,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
281,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
282,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
283,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
284,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
285,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
286,NULL,NULL,Water,Water,Water,NULL,NULL,Water
287,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
288,NULL,NULL,Water,Water,Water,Grassland,NULL,Wetland
289,NULL,NULL,Water,Water,Water,Water,Water,Water
290,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
291,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
292,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
293,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
294,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
295,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
296,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
297,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
298,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
299,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
300,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
301,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Wetland
302,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
303,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
304,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
306,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
307,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
308,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
309,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
310,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
311,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
312,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
313,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
314,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
315,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
316,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
317,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
318,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
319,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
320,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
321,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
322,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
323,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
324,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
325,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
326,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
327,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
328,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
329,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
330,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
331,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
332,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
333,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
334,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
