Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KES_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KES_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KES_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KES_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KES_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KES_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KES_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KES_M_R
29,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
30,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
32,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
34,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
35,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
37,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
38,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
39,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
41,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
42,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
44,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
45,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
47,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
48,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
49,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
50,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
51,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
53,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
54,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
55,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
56,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
58,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
59,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
60,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
61,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
62,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
63,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
64,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
65,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
66,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
67,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
68,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
69,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
70,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
71,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
72,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
73,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
74,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
75,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
76,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
77,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
78,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
79,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
80,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
81,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
82,Grassland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
83,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
84,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
85,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
86,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
87,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
88,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
89,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
90,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
91,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
92,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
93,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
94,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
95,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
96,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
97,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
98,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
99,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
100,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
101,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
102,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
103,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
104,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
105,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
106,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
107,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
108,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
109,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
110,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
111,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
112,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
113,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
114,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
115,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
116,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
117,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
118,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
119,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
120,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
121,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
122,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
123,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
124,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
125,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
126,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
127,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
128,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
129,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
130,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
131,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
132,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
133,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
134,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
135,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
136,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
137,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
138,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
139,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
140,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
141,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
142,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
143,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
144,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
145,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
146,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
147,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
148,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
149,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
150,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
151,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
152,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
153,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
154,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
155,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
156,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
157,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
158,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
159,Wetland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
160,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
161,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
162,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
163,Wetland,NULL,Water,Water,Water,NULL,NULL,Bareland
164,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
165,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
166,Wetland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
167,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
168,Wetland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
169,Wetland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
170,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
171,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
172,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
173,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
174,Wetland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
175,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
176,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
177,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
178,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
179,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
180,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
181,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
182,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
183,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
184,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
185,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
186,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
187,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
188,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
189,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
190,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
191,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
192,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
193,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
194,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
195,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
196,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
197,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
198,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
199,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
200,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
201,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
202,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
203,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
204,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
205,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
206,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
207,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
208,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
209,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
210,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
211,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
212,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
213,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
214,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
215,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
216,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
217,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
218,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
219,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
220,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
221,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
222,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
223,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
224,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
225,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
226,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
227,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
228,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
229,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
230,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
231,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
232,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
233,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
234,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
235,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
236,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
237,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
238,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
239,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
240,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
241,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
242,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
243,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
244,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
245,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
246,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
247,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
248,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
249,Bareland,NULL,Water,NULL,Water,NULL,NULL,Water
250,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
251,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
252,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
253,Bareland,NULL,Water,Water,Water,NULL,NULL,Wetland
254,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
255,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
256,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
257,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
258,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
259,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
260,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
261,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
262,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
263,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
264,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
265,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
266,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
267,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
268,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
269,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
270,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
271,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
272,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
273,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
274,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
275,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
276,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
277,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
278,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
279,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
280,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
281,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
282,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
283,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
284,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
285,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
286,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
287,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
288,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
289,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
290,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
291,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Cropland
292,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Wetland
293,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
294,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Built-up
295,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
296,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
297,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
298,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
299,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
300,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Cropland
301,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
302,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
303,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
304,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
305,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
306,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
307,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
308,Bareland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
309,Bareland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
310,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
311,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
312,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
313,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
314,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
315,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
316,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
317,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
318,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
319,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
320,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
321,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
322,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,NULL
323,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
324,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
325,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Built-up
326,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
327,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
328,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
