Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NHC_M_R
359,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
360,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
361,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
362,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
363,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
364,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
365,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
366,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
367,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
368,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
369,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
370,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
371,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
372,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
373,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
374,Forest,Water,Water,NULL,Water,NULL,NULL,Wetland
375,Forest,Water,Water,NULL,Water,NULL,NULL,Water
376,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
377,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
378,Forest,Water,Water,Non_Water,Water,NULL,NULL,Wetland
379,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
380,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
381,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
382,Forest,Water,Water,Water,Water,NULL,NULL,Wetland
383,Forest,Water,Water,Water,Water,NULL,NULL,Water
384,Forest,Water,Water,Water,Water,NULL,NULL,Forest
385,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
386,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
387,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
388,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
389,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
390,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
391,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
392,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
393,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
394,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
395,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
396,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
397,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
398,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
399,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
400,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
401,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
402,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
403,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
404,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
405,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
406,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
407,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
408,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
409,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
410,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
411,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
412,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
413,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
414,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
415,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
416,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
417,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
418,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
419,Forest,Forest,Water,NULL,Water,NULL,NULL,Bareland
420,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
421,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
422,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
423,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
424,Forest,Forest,Water,Water,Water,NULL,NULL,Water
425,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
426,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
427,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
428,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
429,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
430,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
431,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
432,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
433,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
434,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
435,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
436,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
