Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBB_M_R
33,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
106,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
107,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
108,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
109,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
110,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Forest
111,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
113,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
114,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
115,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
116,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
117,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
118,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
120,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
121,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
122,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
125,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
126,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
128,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
137,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
138,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
140,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
144,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Built-up
149,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
150,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
152,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
154,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
155,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
158,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
159,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
160,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
162,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
163,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
165,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
169,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
172,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
175,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
176,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
180,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
182,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
184,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
185,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
186,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
187,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
188,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
189,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
190,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
191,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
192,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
193,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
194,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
195,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
196,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
197,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
198,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
199,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
200,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
201,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
202,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
203,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
204,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
205,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
206,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
207,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
208,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Grassland
209,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
210,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
211,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
212,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
213,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
214,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
215,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
216,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Forest
217,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
218,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
219,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
220,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
221,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
222,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
223,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
224,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
225,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
226,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
227,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
228,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
229,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
230,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
231,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
232,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Grassland
233,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
234,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
235,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Water
236,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
237,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
238,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
239,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
241,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
242,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
243,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
244,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
245,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
246,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
247,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
248,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,Bareland
249,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
250,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Bareland
251,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
252,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
253,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
254,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Built-up,Built-up
255,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
256,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
257,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
258,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
259,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
260,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
261,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
262,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
263,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
264,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
265,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
266,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
267,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
268,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
269,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
270,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
271,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
272,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
273,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
274,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
275,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
276,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
277,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
278,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
279,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
280,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
281,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
282,NULL,NULL,Built-up,NULL,Non_Wetland,Water,NULL,Grassland
283,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
284,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
285,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
286,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
287,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
288,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
289,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
290,NULL,NULL,Water,Non_Water,Water,Bareland,Grassland,Forest
291,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
292,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
293,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
294,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
295,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
296,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
297,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
298,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
299,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
300,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
301,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
302,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
303,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
304,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
305,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
306,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
307,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
308,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
309,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
310,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
311,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
312,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
313,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
314,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
315,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
316,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
317,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
318,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
319,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
320,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
321,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
322,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
323,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
324,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
325,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
326,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
