Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZU_M_R
18,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
19,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
20,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
21,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
22,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Forest
23,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
24,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
25,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
26,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
27,Cropland,NULL,Water,Water,Water,Water,Water,Water
28,Cropland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
29,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
30,Cropland,Water,Water,NULL,Water,Water,Water,Water
31,Cropland,Water,Water,Water,Water,Water,Water,Water
32,Cropland,Forest,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
33,Cropland,Forest,Wetland,Water,Wetland,Water,Water,Water
34,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
35,Bareland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
36,Bareland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
37,Bareland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Built-up
38,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water,Grassland,Grassland
39,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water,Wetland,Grassland
40,Bareland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
41,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
42,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
43,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
44,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
45,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
46,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
47,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
48,Bareland,Bareland,Water,Water,Water,Water,Water,Water
49,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Forest,Grassland
50,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
51,Bareland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
52,Bareland,Water,Grassland,Non_Water,Non_Wetland,Bareland,Water,Water
53,Bareland,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
54,Bareland,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
55,Bareland,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
56,Bareland,Water,Grassland,Water,Non_Wetland,Water,Water,Water
57,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
58,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
59,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
60,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
61,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
62,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
63,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
64,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
65,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
66,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
67,Bareland,Water,Water,NULL,Water,Bareland,Wetland,Water
68,Bareland,Water,Water,NULL,Water,Water,Water,Water
69,Bareland,Water,Water,Non_Water,Water,Bareland,Water,Water
70,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Water
71,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
72,Bareland,Water,Water,Water,Water,Bareland,Wetland,Water
73,Bareland,Water,Water,Water,Water,Bareland,Water,Water
74,Bareland,Water,Water,Water,Water,Water,Wetland,Water
75,Bareland,Water,Water,Water,Water,Water,Water,Water
76,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
77,Bareland,Forest,NULL,Water,Non_Wetland,Water,Water,Water
78,Bareland,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
79,Bareland,Forest,Grassland,NULL,Non_Wetland,Water,Water,Forest
80,Bareland,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
81,Bareland,Forest,Grassland,Water,Non_Wetland,Water,Wetland,Water
82,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Water
83,Bareland,Forest,Bareland,Water,Non_Wetland,Grassland,Water,Water
84,Bareland,Forest,Water,Non_Water,Water,Water,Water,Water
85,Bareland,Forest,Water,Water,Water,Water,Wetland,Water
86,Bareland,Forest,Water,Water,Water,Water,Water,Water
87,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
88,Water,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
89,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
90,Water,Water,NULL,NULL,Non_Wetland,Grassland,Water,Water
91,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
92,Water,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
93,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
94,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
95,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
96,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
97,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
98,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
99,Water,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
100,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Water
101,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
102,Water,Water,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
103,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
104,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
105,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
106,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
107,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
108,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
109,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
110,Water,Water,NULL,Water,Non_Wetland,NULL,Water,Forest
111,Water,Water,NULL,Water,Non_Wetland,Wetland,Water,Forest
112,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
113,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
114,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
115,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
116,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Water
117,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
118,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
119,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
120,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
121,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
122,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Water
123,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
124,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
125,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
126,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
127,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
128,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
129,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
130,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
131,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
132,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
133,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
134,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
135,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
136,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
137,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
138,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
139,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
140,Water,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
141,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
142,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
143,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
144,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Water
145,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
146,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
147,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
148,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
149,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
150,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
151,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
152,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
153,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
154,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
155,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
156,Water,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
157,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
158,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
159,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
160,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
161,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
162,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
163,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
164,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
165,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
166,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
167,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
168,Water,Water,Wetland,Water,Wetland,NULL,Water,Forest
169,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
170,Water,Water,Wetland,Water,Wetland,Wetland,Forest,Forest
171,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
172,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
173,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
174,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
175,Water,Water,Wetland,Water,Wetland,Water,Water,Water
176,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
177,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
178,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
179,Water,Water,Wetland,Water,Wetland,Forest,Water,Water
180,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Forest,Water
181,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland,Water,Grassland
182,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,Water,Water,Water
183,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
184,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
185,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
186,Water,Water,Bareland,NULL,Non_Wetland,Built-up,Water,Water
187,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
188,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
189,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
190,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
191,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
192,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
193,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
194,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Water
195,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
196,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland,Water,Water
197,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Water
198,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
199,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
200,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
201,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
202,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
203,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
204,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Forest
205,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Forest
206,Water,Water,Bareland,Water,Non_Wetland,Bareland,Wetland,Forest
207,Water,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
208,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
209,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
210,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Bareland
211,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
212,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
213,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
214,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Forest
215,Water,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
216,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
217,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
218,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Forest
219,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Water
220,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
221,Water,Water,Water,NULL,Water,NULL,Water,Water
222,Water,Water,Water,NULL,Water,NULL,Water,Forest
223,Water,Water,Water,NULL,Water,Grassland,Wetland,Water
224,Water,Water,Water,NULL,Water,Grassland,Water,Water
225,Water,Water,Water,NULL,Water,Wetland,Water,Water
226,Water,Water,Water,NULL,Water,Wetland,Water,Forest
227,Water,Water,Water,NULL,Water,Bareland,Grassland,Forest
228,Water,Water,Water,NULL,Water,Bareland,Water,Water
229,Water,Water,Water,NULL,Water,Built-up,Water,Water
230,Water,Water,Water,NULL,Water,Water,Wetland,Water
231,Water,Water,Water,NULL,Water,Water,Wetland,Forest
232,Water,Water,Water,NULL,Water,Water,Water,Bareland
233,Water,Water,Water,NULL,Water,Water,Water,Water
234,Water,Water,Water,NULL,Water,Water,Water,Forest
235,Water,Water,Water,NULL,Water,Water,Forest,Water
236,Water,Water,Water,NULL,Water,Water,Forest,Forest
237,Water,Water,Water,Non_Water,Water,NULL,Wetland,Water
238,Water,Water,Water,Non_Water,Water,NULL,Water,Water
239,Water,Water,Water,Non_Water,Water,NULL,Water,Forest
240,Water,Water,Water,Non_Water,Water,Grassland,Water,Water
241,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Water
242,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
243,Water,Water,Water,Non_Water,Water,Wetland,Water,Water
244,Water,Water,Water,Non_Water,Water,Wetland,Water,Forest
245,Water,Water,Water,Non_Water,Water,Bareland,Wetland,Water
246,Water,Water,Water,Non_Water,Water,Bareland,Water,Water
247,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
248,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
249,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
250,Water,Water,Water,Non_Water,Water,Water,Water,Water
251,Water,Water,Water,Non_Water,Water,Water,Water,Forest
252,Water,Water,Water,Non_Water,Water,Water,Forest,Water
253,Water,Water,Water,Non_Water,Water,Water,Forest,Forest
254,Water,Water,Water,Water,Water,NULL,Wetland,Water
255,Water,Water,Water,Water,Water,NULL,Water,Water
256,Water,Water,Water,Water,Water,NULL,Water,Forest
257,Water,Water,Water,Water,Water,Grassland,Water,Water
258,Water,Water,Water,Water,Water,Wetland,Wetland,Forest
259,Water,Water,Water,Water,Water,Wetland,Water,Water
260,Water,Water,Water,Water,Water,Wetland,Water,Forest
261,Water,Water,Water,Water,Water,Bareland,Water,Water
262,Water,Water,Water,Water,Water,Built-up,Water,Water
263,Water,Water,Water,Water,Water,Water,Grassland,Water
264,Water,Water,Water,Water,Water,Water,Wetland,Grassland
265,Water,Water,Water,Water,Water,Water,Wetland,Water
266,Water,Water,Water,Water,Water,Water,Wetland,Forest
267,Water,Water,Water,Water,Water,Water,Water,Grassland
268,Water,Water,Water,Water,Water,Water,Water,Water
269,Water,Water,Water,Water,Water,Water,Water,Forest
270,Water,Water,Water,Water,Water,Water,Forest,Water
271,Water,Water,Water,Water,Water,Water,Forest,Forest
272,Water,Water,Water,Water,Water,Forest,Wetland,Forest
273,Water,Water,Water,Water,Water,Forest,Water,Forest
274,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
275,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
276,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
277,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
278,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
279,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
280,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
281,Water,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
282,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
283,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
284,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
285,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
286,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
287,Water,Water,Forest,NULL,Non_Wetland,Water,Grassland,Forest
288,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
289,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
290,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Bareland
291,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
292,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
293,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
294,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
295,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
296,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
297,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
298,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Water
299,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
300,Water,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
301,Water,Water,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
302,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
303,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
304,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
305,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
306,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
307,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
308,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
309,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
310,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
311,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
312,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
313,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Water
314,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Forest
315,Water,Water,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
316,Water,Water,Forest,Water,Non_Wetland,Grassland,Water,Water
317,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
318,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
319,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
320,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
321,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
322,Water,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
323,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
324,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
325,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
326,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
327,Water,Forest,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
328,Water,Forest,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
329,Water,Forest,Grassland,Non_Water,Non_Wetland,Water,Water,Water
330,Water,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
331,Water,Forest,Wetland,NULL,Wetland,Water,Water,Water
332,Water,Forest,Wetland,NULL,Wetland,Water,Water,Forest
333,Water,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
334,Water,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
335,Water,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
336,Water,Forest,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
337,Water,Forest,Bareland,Non_Water,Non_Wetland,Water,Water,Water
338,Water,Forest,Water,Non_Water,Water,Water,Wetland,Forest
339,Water,Forest,Water,Non_Water,Water,Water,Water,Water
340,Water,Forest,Water,Water,Water,Water,Water,Water
341,Water,Forest,Forest,NULL,Non_Wetland,Grassland,Water,Forest
342,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
343,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Water
344,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
345,Water,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
346,Water,Forest,Forest,Non_Water,Non_Wetland,Water,Water,Forest
347,Water,Forest,Forest,Water,Non_Wetland,Water,Wetland,Forest
348,Water,Forest,Forest,Water,Non_Wetland,Water,Water,Water
349,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
350,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
351,Forest,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
352,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
353,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
354,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
355,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
356,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
357,Forest,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
358,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
359,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
360,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
361,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
362,Forest,Bareland,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
363,Forest,Built-up,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
364,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
365,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Water
366,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
367,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
368,Forest,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
369,Forest,Water,NULL,NULL,Non_Wetland,NULL,Forest,Water
370,Forest,Water,NULL,NULL,Non_Wetland,NULL,Forest,Forest
371,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
372,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Water,Forest
373,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
374,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Water,Water
375,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
376,Forest,Water,NULL,NULL,Non_Wetland,Water,Grassland,Forest
377,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
378,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
379,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Water
