Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVE_M_R
25,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
26,Grassland,Bareland,NULL,NULL,Non_Wetland,NULL
27,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL
28,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
29,Grassland,Water,NULL,NULL,Non_Wetland,NULL
30,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL
31,Grassland,Water,Wetland,NULL,Wetland,NULL
32,Grassland,Water,Water,NULL,Water,NULL
33,Grassland,Water,Forest,NULL,Non_Wetland,NULL
34,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
35,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
36,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
37,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
38,Grassland,Forest,Wetland,NULL,Wetland,NULL
39,Grassland,Forest,Water,NULL,Water,NULL
40,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
41,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
42,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
43,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
44,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
45,Cropland,NULL,Wetland,NULL,Wetland,NULL
46,Cropland,NULL,Water,NULL,Water,NULL
47,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
48,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL
49,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
50,Cropland,Water,NULL,NULL,Non_Wetland,NULL
51,Cropland,Water,Wetland,NULL,Wetland,NULL
52,Cropland,Water,Bareland,NULL,Non_Wetland,NULL
53,Cropland,Water,Water,NULL,Water,NULL
54,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
55,Cropland,Forest,Wetland,NULL,Wetland,NULL
56,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
57,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
58,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL
59,Wetland,Bareland,NULL,NULL,Non_Wetland,NULL
60,Wetland,Water,NULL,NULL,Non_Wetland,NULL
61,Wetland,Forest,NULL,NULL,Non_Wetland,NULL
62,Wetland,Forest,Wetland,NULL,Wetland,NULL
63,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
64,Bareland,NULL,Wetland,NULL,Wetland,NULL
65,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
66,Bareland,NULL,Water,NULL,Water,NULL
67,Bareland,Wetland,NULL,NULL,Non_Wetland,NULL
68,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL
69,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
70,Bareland,Bareland,Wetland,NULL,Wetland,NULL
71,Bareland,Bareland,Water,NULL,Water,NULL
72,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL
73,Bareland,Built-up,NULL,NULL,Non_Wetland,NULL
74,Bareland,Water,NULL,NULL,Non_Wetland,NULL
75,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL
76,Bareland,Water,Wetland,NULL,Wetland,NULL
77,Bareland,Water,Water,NULL,Water,NULL
78,Bareland,Water,Forest,NULL,Non_Wetland,NULL
79,Bareland,Forest,NULL,NULL,Non_Wetland,NULL
80,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
81,Bareland,Forest,Wetland,NULL,Wetland,NULL
82,Bareland,Forest,Water,NULL,Water,NULL
83,Water,NULL,NULL,NULL,Non_Wetland,NULL
84,Water,NULL,Wetland,NULL,Wetland,NULL
85,Water,NULL,Water,NULL,Water,NULL
86,Water,Wetland,NULL,NULL,Non_Wetland,NULL
87,Water,Bareland,NULL,NULL,Non_Wetland,NULL
88,Water,Bareland,Wetland,NULL,Wetland,NULL
89,Water,Bareland,Water,NULL,Water,NULL
90,Water,Bareland,Forest,NULL,Non_Wetland,NULL
91,Water,Built-up,NULL,NULL,Non_Wetland,NULL
92,Water,Water,NULL,NULL,Non_Wetland,NULL
93,Water,Water,Shrubland,NULL,Non_Wetland,NULL
94,Water,Water,Grassland,NULL,Non_Wetland,NULL
95,Water,Water,Cropland,NULL,Non_Wetland,NULL
96,Water,Water,Wetland,NULL,Wetland,NULL
97,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
98,Water,Water,Bareland,NULL,Non_Wetland,NULL
99,Water,Water,Built-up,NULL,Non_Wetland,NULL
100,Water,Water,Water,NULL,Water,NULL
101,Water,Water,Forest,NULL,Non_Wetland,NULL
102,Water,Forest,NULL,NULL,Non_Wetland,NULL
103,Water,Forest,Shrubland,NULL,Non_Wetland,NULL
104,Water,Forest,Wetland,NULL,Wetland,NULL
105,Water,Forest,Bareland,NULL,Non_Wetland,NULL
106,Water,Forest,Water,NULL,Water,NULL
107,Water,Forest,Forest,NULL,Non_Wetland,NULL
108,Forest,NULL,NULL,NULL,Non_Wetland,NULL
109,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
110,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
111,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
112,Forest,NULL,Wetland,NULL,Wetland,NULL
113,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
114,Forest,NULL,Water,NULL,Water,NULL
115,Forest,NULL,Forest,NULL,Non_Wetland,NULL
116,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
117,Forest,Wetland,NULL,NULL,Non_Wetland,NULL
118,Forest,Bareland,NULL,NULL,Non_Wetland,NULL
119,Forest,Bareland,Wetland,NULL,Wetland,NULL
120,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
121,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL
122,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
123,Forest,Water,NULL,NULL,Non_Wetland,NULL
124,Forest,Water,Shrubland,NULL,Non_Wetland,NULL
125,Forest,Water,Grassland,NULL,Non_Wetland,NULL
126,Forest,Water,Cropland,NULL,Non_Wetland,NULL
127,Forest,Water,Wetland,NULL,Wetland,NULL
128,Forest,Water,Bareland,NULL,Non_Wetland,NULL
129,Forest,Water,Built-up,NULL,Non_Wetland,NULL
130,Forest,Water,Water,NULL,Water,NULL
131,Forest,Water,Forest,NULL,Non_Wetland,NULL
132,Forest,Forest,NULL,NULL,Non_Wetland,NULL
133,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
134,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
135,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
136,Forest,Forest,Wetland,NULL,Wetland,NULL
137,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
138,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
139,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
140,Forest,Forest,Water,NULL,Water,NULL
141,Forest,Forest,Forest,NULL,Non_Wetland,NULL
