Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KVS_M_R
3086,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
3087,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Wetland
3088,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
3089,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
3090,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
3091,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
3092,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
3093,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
3094,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
3095,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
3096,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
3097,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
3098,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Wetland
3099,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
3100,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
3101,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
3102,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Cropland
3103,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
3104,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Bareland
3105,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Built-up
3106,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
3107,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
3108,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
3109,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
3110,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
3111,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
3112,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
3113,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
3114,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
3115,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
3116,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
3117,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
3118,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Water
3119,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
3120,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
3121,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
3122,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
3123,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Wetland
3124,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
3125,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
3126,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Water
3127,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
3128,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
3129,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
3130,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
3131,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
3132,Grassland,NULL,Forest,NULL,Non_Wetland,Water,NULL,Wetland
3133,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Shrubland,Wetland
3134,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
3135,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Cropland
3136,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Wetland
3137,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
3138,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Cropland
3139,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
3140,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
3141,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
3142,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
3143,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
3144,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
3145,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
3146,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
3147,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
3148,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Cropland
3149,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Wetland
3150,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Water
3151,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
3152,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
3153,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
3154,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
3155,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
3156,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
3157,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
3158,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
3159,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
3160,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Grassland
3161,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Wetland
3162,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Forest
3163,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
3164,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
3165,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Grassland
3166,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
3167,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Forest
3168,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
3169,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
3170,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
3171,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Water
3172,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
3173,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
3174,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
3175,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3176,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Wetland
3177,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Forest
3178,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
3179,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,NULL
3180,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3181,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
3182,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Water
3183,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
3184,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,NULL
3185,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
3186,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
3187,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
3188,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Wetland
3189,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Wetland
3190,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Forest
3191,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
3192,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Cropland
3193,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
3194,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Forest
3195,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,NULL
3196,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3197,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
3198,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
3199,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
3200,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Water
3201,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
3202,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
3203,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Wetland
3204,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Shrubland,Wetland
3205,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Grassland
3206,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Cropland
3207,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Wetland
3208,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Forest
3209,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
3210,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest,NULL,Wetland
3211,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest,Grassland,Grassland
3212,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
3213,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
3214,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Grassland,Grassland
3215,Grassland,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,Wetland
3216,Grassland,NULL,Forest,Water,Non_Wetland,Shrubland,Grassland,Wetland
3217,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Grassland
3218,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Wetland
3219,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
3220,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Wetland
3221,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Water
3222,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
3223,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Wetland
3224,Grassland,NULL,Forest,Water,Non_Wetland,Bareland,NULL,Grassland
3225,Grassland,NULL,Forest,Water,Non_Wetland,Bareland,Shrubland,Grassland
3226,Grassland,NULL,Forest,Water,Non_Wetland,Bareland,Grassland,Grassland
3227,Grassland,NULL,Forest,Water,Non_Wetland,Bareland,Grassland,Wetland
3228,Grassland,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Water
3229,Grassland,NULL,Forest,Water,Non_Wetland,Forest,NULL,Wetland
3230,Grassland,NULL,Forest,Water,Non_Wetland,Forest,Grassland,Water
3231,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
3232,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
3233,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3234,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
3235,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3236,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3237,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
3238,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3239,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
3240,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3241,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
3242,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
3243,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
3244,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3245,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
3246,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3247,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3248,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3249,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3250,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
3251,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3252,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
3253,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
3254,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
3255,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
3256,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
3257,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3258,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
3259,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
3260,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3261,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
3262,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3263,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
3264,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
3265,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3266,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
3267,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
3268,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
3269,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3270,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
3271,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3272,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3273,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
3274,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3275,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
3276,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
3277,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3278,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
3279,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
3280,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3281,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3282,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
3283,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3284,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
3285,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3286,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3287,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
3288,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3289,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3290,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3291,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
3292,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
3293,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3294,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
3295,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
3296,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
3297,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
3298,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
3299,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
3300,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
3301,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
3302,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
3303,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
3304,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
3305,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
3306,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3307,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
3308,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3309,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3310,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
3311,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
3312,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
3313,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3314,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3315,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
3316,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3317,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3318,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
3319,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
3320,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3321,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
3322,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
3323,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
3324,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3325,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
3326,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3327,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
3328,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
3329,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
3330,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
3331,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
3332,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
3333,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
3334,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
3335,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
3336,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
3337,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
3338,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3339,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
3340,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
3341,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
3342,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3343,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
3344,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
3345,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
3346,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
3347,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
3348,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
3349,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
3350,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
3351,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3352,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3353,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
3354,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
3355,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
3356,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3357,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3358,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
3359,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3360,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3361,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
3362,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
3363,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3364,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
3365,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
3366,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
3367,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
3368,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3369,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
3370,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
3371,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3372,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
3373,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
3374,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3375,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3376,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Water
3377,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Wetland
3378,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
3379,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
3380,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
3381,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3382,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
3383,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
3384,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
3385,Grassland,Cropland,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
3386,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
3387,Grassland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Grassland,Wetland
3388,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland,NULL,Wetland
3389,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
3390,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
3391,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
3392,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3393,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3394,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
3395,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
3396,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
3397,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
3398,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Forest
3399,Grassland,Cropland,Water,NULL,Water,NULL,Grassland,Bareland
