Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MGA_M_R
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
56,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
58,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
59,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
139,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
140,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
141,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
142,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
143,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
144,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
148,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
156,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
160,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
163,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
166,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
169,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
172,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
175,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Built-up
178,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
179,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
195,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
198,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
199,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
201,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
204,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
205,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
210,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
211,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
213,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
214,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
220,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
221,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
224,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
228,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
229,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
231,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
232,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
233,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
235,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
236,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
237,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
238,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
239,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
241,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Bareland
242,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
246,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
247,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
248,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
249,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
250,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
251,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
252,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
253,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
254,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
255,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
256,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
257,NULL,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Grassland
258,NULL,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Wetland
259,NULL,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Forest
260,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
261,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
262,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
263,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
264,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
265,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
266,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
267,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
268,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Built-up
269,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
270,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
271,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
272,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Bareland
273,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
274,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
275,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
276,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
277,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
278,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
279,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
280,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
281,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
282,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
283,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
284,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland,Forest
285,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
286,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
287,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
288,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
289,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
290,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
291,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
292,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
293,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
294,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
295,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Forest
296,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
297,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
298,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
299,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
300,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Bareland
301,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland,NULL,Grassland
302,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland,Grassland,Forest
303,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
304,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Water
305,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
306,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
307,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Built-up
308,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Forest
309,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
310,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
311,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Built-up
312,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
313,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,Grassland
314,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up,Built-up,Grassland
315,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
316,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
317,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
318,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Grassland,Grassland
320,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
321,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
322,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
323,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
324,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
325,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
