Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTB_M_R
27,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
28,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
29,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
30,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
31,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
32,NULL,Built-up,Wetland,NULL,Wetland,Forest
33,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
34,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
35,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
36,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
37,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
38,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
39,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
40,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
41,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
42,NULL,Built-up,Forest,NULL,Non_Wetland,Water
43,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
44,NULL,Built-up,Forest,Water,Non_Wetland,Forest
45,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
46,NULL,Water,Shrubland,NULL,Non_Wetland,Water
47,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
48,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
49,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
50,NULL,Water,Wetland,Non_Water,Wetland,Forest
51,NULL,Water,Forest,NULL,Non_Wetland,Grassland
52,NULL,Water,Forest,NULL,Non_Wetland,Forest
53,NULL,Forest,NULL,NULL,Non_Wetland,Forest
54,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
55,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
56,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
57,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
58,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
59,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
60,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
61,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
62,NULL,Forest,Wetland,Non_Water,Wetland,Forest
63,NULL,Forest,Wetland,Water,Wetland,Water
64,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
65,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
66,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
67,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
68,NULL,Forest,Forest,NULL,Non_Wetland,Forest
69,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
70,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
71,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
72,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
73,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
74,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
75,Grassland,NULL,Cropland,NULL,Non_Wetland,Water
76,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water
77,Grassland,NULL,Cropland,Water,Non_Wetland,Water
78,Grassland,NULL,Wetland,NULL,Wetland,Water
79,Grassland,NULL,Wetland,Non_Water,Wetland,Water
80,Grassland,NULL,Wetland,Water,Wetland,Grassland
81,Grassland,NULL,Wetland,Water,Wetland,Water
82,Grassland,NULL,Wetland,Water,Wetland,Forest
83,Grassland,NULL,Water,Non_Water,Water,Water
84,Grassland,NULL,Water,Water,Water,Grassland
85,Grassland,NULL,Water,Water,Water,Water
86,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
87,Grassland,NULL,Forest,NULL,Non_Wetland,Water
88,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
89,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
90,Grassland,NULL,Forest,Water,Non_Wetland,Water
91,Grassland,NULL,Forest,Water,Non_Wetland,Forest
92,Grassland,Wetland,Wetland,Water,Wetland,Grassland
93,Grassland,Wetland,Water,Water,Water,Grassland
94,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
95,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest
96,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
97,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
98,Grassland,Water,Wetland,Water,Wetland,Grassland
99,Grassland,Water,Wetland,Water,Wetland,Water
100,Grassland,Water,Water,Water,Water,Water
101,Grassland,Water,Forest,NULL,Non_Wetland,Forest
102,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
103,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
104,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
105,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
106,Grassland,Forest,Cropland,Water,Non_Wetland,Water
107,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
108,Grassland,Forest,Wetland,Water,Wetland,Grassland
109,Grassland,Forest,Wetland,Water,Wetland,Water
110,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
111,Grassland,Forest,Water,Water,Water,Grassland
112,Grassland,Forest,Water,Water,Water,Water
113,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
114,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
115,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
116,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
117,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
118,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
119,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
120,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
121,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
122,Cropland,NULL,Cropland,Water,Non_Wetland,Water
123,Cropland,NULL,Wetland,Water,Wetland,Grassland
124,Cropland,NULL,Wetland,Water,Wetland,Water
125,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
126,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
127,Cropland,NULL,Water,NULL,Water,Water
128,Cropland,NULL,Water,Water,Water,Grassland
129,Cropland,NULL,Water,Water,Water,Water
130,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
131,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
132,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
133,Cropland,NULL,Forest,NULL,Non_Wetland,Water
134,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
135,Cropland,NULL,Forest,Non_Water,Non_Wetland,Water
136,Cropland,NULL,Forest,Water,Non_Wetland,Water
137,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
138,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
139,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Water
140,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
141,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
142,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
143,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
144,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
145,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Water
146,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
147,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
148,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
149,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
150,Cropland,Built-up,Cropland,NULL,Non_Wetland,Water
151,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
152,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
153,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
154,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up
155,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
156,Cropland,Water,Wetland,NULL,Wetland,Water
157,Cropland,Water,Wetland,Non_Water,Wetland,Forest
158,Cropland,Water,Wetland,Water,Wetland,Grassland
159,Cropland,Water,Wetland,Water,Wetland,Water
160,Cropland,Water,Water,NULL,Water,Water
161,Cropland,Water,Water,Water,Water,Water
162,Cropland,Water,Water,Water,Water,Forest
163,Cropland,Water,Forest,NULL,Non_Wetland,Water
164,Cropland,Water,Forest,Water,Non_Wetland,Water
165,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
166,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland
167,Cropland,Forest,Shrubland,NULL,Non_Wetland,Built-up
168,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
169,Cropland,Forest,Shrubland,Water,Non_Wetland,Grassland
170,Cropland,Forest,Cropland,Water,Non_Wetland,Water
171,Cropland,Forest,Wetland,Non_Water,Wetland,Water
172,Cropland,Forest,Wetland,Water,Wetland,Water
173,Cropland,Forest,Water,Water,Water,Grassland
174,Cropland,Forest,Water,Water,Water,Water
175,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
176,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland
177,Cropland,Forest,Forest,NULL,Non_Wetland,Built-up
178,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
179,Cropland,Forest,Forest,Non_Water,Non_Wetland,Water
180,Cropland,Forest,Forest,Water,Non_Wetland,Water
181,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
182,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
183,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water
184,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
185,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Water
186,Bareland,NULL,Cropland,NULL,Non_Wetland,Water
187,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Water
188,Bareland,NULL,Cropland,Water,Non_Wetland,Water
189,Bareland,NULL,Wetland,Non_Water,Wetland,Water
190,Bareland,NULL,Wetland,Water,Wetland,Water
191,Bareland,NULL,Water,Non_Water,Water,Water
192,Bareland,NULL,Water,Water,Water,Water
193,Bareland,NULL,Forest,NULL,Non_Wetland,Water
194,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
195,Bareland,NULL,Forest,Non_Water,Non_Wetland,Water
196,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
197,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Water
198,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Water
199,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water
200,Bareland,Bareland,Grassland,Water,Non_Wetland,Water
201,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water
202,Bareland,Bareland,Cropland,Water,Non_Wetland,Water
203,Bareland,Bareland,Wetland,Non_Water,Wetland,Water
204,Bareland,Bareland,Wetland,Water,Wetland,Water
205,Bareland,Bareland,Wetland,Water,Wetland,Forest
206,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
207,Bareland,Bareland,Water,Non_Water,Water,Water
208,Bareland,Bareland,Water,Water,Water,Water
209,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Water
210,Bareland,Bareland,Forest,Water,Non_Wetland,Water
211,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
212,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
213,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Water
214,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Forest
215,Bareland,Built-up,Wetland,Water,Wetland,Water
216,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
217,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland
218,Bareland,Built-up,Forest,NULL,Non_Wetland,Forest
219,Bareland,Water,Shrubland,NULL,Non_Wetland,Forest
220,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water
221,Bareland,Water,Shrubland,Water,Non_Wetland,Water
222,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
223,Bareland,Water,Cropland,NULL,Non_Wetland,Forest
224,Bareland,Water,Cropland,Non_Water,Non_Wetland,Water
225,Bareland,Water,Cropland,Non_Water,Non_Wetland,Forest
226,Bareland,Water,Cropland,Water,Non_Wetland,Water
227,Bareland,Water,Wetland,Non_Water,Wetland,Water
228,Bareland,Water,Wetland,Non_Water,Wetland,Forest
229,Bareland,Water,Wetland,Water,Wetland,Grassland
230,Bareland,Water,Wetland,Water,Wetland,Bareland
231,Bareland,Water,Wetland,Water,Wetland,Water
232,Bareland,Water,Wetland,Water,Wetland,Forest
233,Bareland,Water,Bareland,Water,Non_Wetland,Water
234,Bareland,Water,Bareland,Water,Non_Wetland,Forest
235,Bareland,Water,Built-up,Non_Water,Non_Wetland,Water
236,Bareland,Water,Water,NULL,Water,Water
237,Bareland,Water,Water,Non_Water,Water,Water
238,Bareland,Water,Water,Water,Water,Water
239,Bareland,Water,Water,Water,Water,Forest
240,Bareland,Water,Forest,NULL,Non_Wetland,Grassland
241,Bareland,Water,Forest,NULL,Non_Wetland,Water
242,Bareland,Water,Forest,NULL,Non_Wetland,Forest
243,Bareland,Water,Forest,Non_Water,Non_Wetland,Grassland
244,Bareland,Water,Forest,Non_Water,Non_Wetland,Bareland
245,Bareland,Water,Forest,Non_Water,Non_Wetland,Water
246,Bareland,Water,Forest,Non_Water,Non_Wetland,Forest
247,Bareland,Water,Forest,Water,Non_Wetland,Water
248,Bareland,Water,Forest,Water,Non_Wetland,Forest
249,Bareland,Forest,NULL,NULL,Non_Wetland,Forest
250,Bareland,Forest,Wetland,Non_Water,Wetland,Water
251,Bareland,Forest,Wetland,Non_Water,Wetland,Forest
252,Bareland,Forest,Wetland,Water,Wetland,Water
253,Bareland,Forest,Wetland,Water,Wetland,Forest
254,Bareland,Forest,Bareland,Water,Non_Wetland,Water
255,Bareland,Forest,Built-up,NULL,Non_Wetland,Forest
256,Bareland,Forest,Water,Non_Water,Water,Water
257,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
258,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
259,Bareland,Forest,Forest,Water,Non_Wetland,Forest
260,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
261,Water,NULL,Shrubland,NULL,Non_Wetland,Water
262,Water,NULL,Grassland,NULL,Non_Wetland,Water
263,Water,NULL,Wetland,Water,Wetland,Water
264,Water,NULL,Water,Water,Water,Water
265,Water,NULL,Forest,NULL,Non_Wetland,Grassland
266,Water,NULL,Forest,NULL,Non_Wetland,Water
267,Water,NULL,Forest,NULL,Non_Wetland,Forest
268,Water,Cropland,Shrubland,NULL,Non_Wetland,Water
269,Water,Cropland,Shrubland,Non_Water,Non_Wetland,Water
270,Water,Bareland,Wetland,Non_Water,Wetland,Water
271,Water,Bareland,Wetland,Water,Wetland,Water
272,Water,Bareland,Water,Water,Water,Water
273,Water,Bareland,Forest,Water,Non_Wetland,Water
274,Water,Built-up,Shrubland,NULL,Non_Wetland,Water
275,Water,Built-up,Shrubland,NULL,Non_Wetland,Forest
276,Water,Water,NULL,NULL,Non_Wetland,Water
277,Water,Water,NULL,NULL,Non_Wetland,Forest
278,Water,Water,NULL,Non_Water,Non_Wetland,Water
279,Water,Water,NULL,Water,Non_Wetland,Water
280,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
281,Water,Water,Shrubland,NULL,Non_Wetland,Built-up
282,Water,Water,Shrubland,NULL,Non_Wetland,Water
283,Water,Water,Shrubland,NULL,Non_Wetland,Forest
284,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
285,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
286,Water,Water,Shrubland,Water,Non_Wetland,Grassland
287,Water,Water,Shrubland,Water,Non_Wetland,Water
288,Water,Water,Shrubland,Water,Non_Wetland,Forest
289,Water,Water,Grassland,NULL,Non_Wetland,Water
290,Water,Water,Grassland,NULL,Non_Wetland,Forest
291,Water,Water,Grassland,Non_Water,Non_Wetland,Water
292,Water,Water,Grassland,Water,Non_Wetland,Water
293,Water,Water,Cropland,NULL,Non_Wetland,Grassland
294,Water,Water,Cropland,NULL,Non_Wetland,Bareland
295,Water,Water,Cropland,NULL,Non_Wetland,Forest
296,Water,Water,Cropland,Non_Water,Non_Wetland,Water
297,Water,Water,Cropland,Non_Water,Non_Wetland,Forest
298,Water,Water,Cropland,Water,Non_Wetland,Water
299,Water,Water,Wetland,NULL,Wetland,Bareland
300,Water,Water,Wetland,NULL,Wetland,Water
301,Water,Water,Wetland,NULL,Wetland,Forest
302,Water,Water,Wetland,Non_Water,Wetland,Grassland
303,Water,Water,Wetland,Non_Water,Wetland,Water
304,Water,Water,Wetland,Non_Water,Wetland,Forest
305,Water,Water,Wetland,Water,Wetland,Grassland
306,Water,Water,Wetland,Water,Wetland,Water
307,Water,Water,Wetland,Water,Wetland,Forest
308,Water,Water,Bareland,NULL,Non_Wetland,Forest
309,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland
310,Water,Water,Bareland,Non_Water,Non_Wetland,Water
311,Water,Water,Bareland,Non_Water,Non_Wetland,Forest
312,Water,Water,Bareland,Water,Non_Wetland,Water
313,Water,Water,Bareland,Water,Non_Wetland,Forest
314,Water,Water,Built-up,NULL,Non_Wetland,Grassland
315,Water,Water,Built-up,NULL,Non_Wetland,Forest
316,Water,Water,Water,NULL,Water,Grassland
317,Water,Water,Water,NULL,Water,Water
318,Water,Water,Water,NULL,Water,Forest
319,Water,Water,Water,Non_Water,Water,Water
320,Water,Water,Water,Non_Water,Water,Forest
321,Water,Water,Water,Water,Water,Grassland
322,Water,Water,Water,Water,Water,Wetland
323,Water,Water,Water,Water,Water,Water
324,Water,Water,Water,Water,Water,Forest
325,Water,Water,Forest,NULL,Non_Wetland,Grassland
326,Water,Water,Forest,NULL,Non_Wetland,Bareland
327,Water,Water,Forest,NULL,Non_Wetland,Water
328,Water,Water,Forest,NULL,Non_Wetland,Forest
329,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
330,Water,Water,Forest,Non_Water,Non_Wetland,Water
331,Water,Water,Forest,Non_Water,Non_Wetland,Forest
332,Water,Water,Forest,Water,Non_Wetland,Grassland
333,Water,Water,Forest,Water,Non_Wetland,Water
334,Water,Water,Forest,Water,Non_Wetland,Forest
335,Water,Forest,NULL,NULL,Non_Wetland,Forest
336,Water,Forest,NULL,Water,Non_Wetland,Forest
337,Water,Forest,Shrubland,Non_Water,Non_Wetland,Forest
338,Water,Forest,Cropland,NULL,Non_Wetland,Forest
339,Water,Forest,Cropland,Non_Water,Non_Wetland,Water
340,Water,Forest,Cropland,Non_Water,Non_Wetland,Forest
341,Water,Forest,Wetland,NULL,Wetland,Water
342,Water,Forest,Wetland,NULL,Wetland,Forest
343,Water,Forest,Wetland,Non_Water,Wetland,Water
344,Water,Forest,Wetland,Non_Water,Wetland,Forest
345,Water,Forest,Wetland,Water,Wetland,Water
346,Water,Forest,Wetland,Water,Wetland,Forest
347,Water,Forest,Water,NULL,Water,Forest
348,Water,Forest,Water,Non_Water,Water,Forest
349,Water,Forest,Water,Water,Water,Water
350,Water,Forest,Water,Water,Water,Forest
351,Water,Forest,Forest,NULL,Non_Wetland,Water
352,Water,Forest,Forest,NULL,Non_Wetland,Forest
353,Water,Forest,Forest,Non_Water,Non_Wetland,Water
354,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
355,Water,Forest,Forest,Water,Non_Wetland,Water
356,Water,Forest,Forest,Water,Non_Wetland,Forest
357,Permanent_ice_and_snow,Built-up,Forest,Water,Non_Wetland,Forest
358,Permanent_ice_and_snow,Forest,NULL,NULL,Non_Wetland,Forest
359,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest
360,Forest,NULL,NULL,NULL,Non_Wetland,Forest
361,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
362,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
363,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
364,Forest,NULL,Shrubland,NULL,Non_Wetland,Water
365,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
366,Forest,NULL,Shrubland,Water,Non_Wetland,Forest
367,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
368,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
369,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
370,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
371,Forest,NULL,Cropland,Water,Non_Wetland,Water
372,Forest,NULL,Wetland,NULL,Wetland,Grassland
373,Forest,NULL,Wetland,NULL,Wetland,Water
374,Forest,NULL,Wetland,NULL,Wetland,Forest
375,Forest,NULL,Wetland,Water,Wetland,Water
376,Forest,NULL,Wetland,Water,Wetland,Forest
377,Forest,NULL,Water,NULL,Water,Water
378,Forest,NULL,Water,Non_Water,Water,Water
379,Forest,NULL,Water,Water,Water,Water
380,Forest,NULL,Water,Water,Water,Forest
381,Forest,NULL,Forest,NULL,Non_Wetland,NULL
382,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
383,Forest,NULL,Forest,NULL,Non_Wetland,Bareland
384,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
385,Forest,NULL,Forest,NULL,Non_Wetland,Water
386,Forest,NULL,Forest,NULL,Non_Wetland,Forest
387,Forest,NULL,Forest,Non_Water,Non_Wetland,Water
388,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
389,Forest,NULL,Forest,Water,Non_Wetland,Water
390,Forest,NULL,Forest,Water,Non_Wetland,Forest
391,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
392,Forest,Cropland,Shrubland,NULL,Non_Wetland,Forest
393,Forest,Cropland,Forest,NULL,Non_Wetland,Water
394,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
395,Forest,Bareland,Wetland,Water,Wetland,Water
396,Forest,Bareland,Water,Non_Water,Water,Water
397,Forest,Bareland,Water,Water,Water,Water
398,Forest,Bareland,Forest,NULL,Non_Wetland,Grassland
399,Forest,Bareland,Forest,NULL,Non_Wetland,Forest
400,Forest,Bareland,Forest,Water,Non_Wetland,Water
401,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
402,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up
403,Forest,Built-up,Shrubland,NULL,Non_Wetland,Water
404,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
405,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest
406,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
407,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
408,Forest,Built-up,Wetland,NULL,Wetland,Forest
409,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
410,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
411,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up
412,Forest,Built-up,Forest,NULL,Non_Wetland,Water
413,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
414,Forest,Water,NULL,NULL,Non_Wetland,Forest
415,Forest,Water,Shrubland,NULL,Non_Wetland,Built-up
416,Forest,Water,Shrubland,NULL,Non_Wetland,Water
417,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
418,Forest,Water,Shrubland,Non_Water,Non_Wetland,Grassland
419,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water
420,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
421,Forest,Water,Shrubland,Water,Non_Wetland,Water
422,Forest,Water,Shrubland,Water,Non_Wetland,Forest
423,Forest,Water,Grassland,NULL,Non_Wetland,Forest
424,Forest,Water,Grassland,Non_Water,Non_Wetland,Water
425,Forest,Water,Grassland,Water,Non_Wetland,Water
426,Forest,Water,Cropland,NULL,Non_Wetland,Bareland
427,Forest,Water,Cropland,NULL,Non_Wetland,Forest
428,Forest,Water,Cropland,Non_Water,Non_Wetland,Water
429,Forest,Water,Cropland,Non_Water,Non_Wetland,Forest
430,Forest,Water,Cropland,Water,Non_Wetland,Grassland
431,Forest,Water,Cropland,Water,Non_Wetland,Water
432,Forest,Water,Cropland,Water,Non_Wetland,Forest
433,Forest,Water,Wetland,NULL,Wetland,Grassland
434,Forest,Water,Wetland,NULL,Wetland,Water
435,Forest,Water,Wetland,NULL,Wetland,Forest
436,Forest,Water,Wetland,Non_Water,Wetland,Grassland
437,Forest,Water,Wetland,Non_Water,Wetland,Water
438,Forest,Water,Wetland,Non_Water,Wetland,Forest
439,Forest,Water,Wetland,Water,Wetland,Grassland
440,Forest,Water,Wetland,Water,Wetland,Water
441,Forest,Water,Wetland,Water,Wetland,Forest
442,Forest,Water,Bareland,NULL,Non_Wetland,Forest
443,Forest,Water,Bareland,Non_Water,Non_Wetland,Water
444,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest
445,Forest,Water,Bareland,Water,Non_Wetland,Water
446,Forest,Water,Water,NULL,Water,Water
447,Forest,Water,Water,NULL,Water,Forest
448,Forest,Water,Water,Non_Water,Water,Grassland
449,Forest,Water,Water,Non_Water,Water,Water
450,Forest,Water,Water,Non_Water,Water,Forest
451,Forest,Water,Water,Water,Water,Grassland
452,Forest,Water,Water,Water,Water,Water
