Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYK_M_R
1791,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1792,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1793,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1794,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Cropland
1795,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
1796,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
1797,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
1798,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
1799,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
1800,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
1801,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1802,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
1803,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
1804,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
1805,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1806,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Cropland
1807,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
1808,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
1809,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1810,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Cropland
1811,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1812,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
1813,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
1814,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1815,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up,Built-up,Forest
1816,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
1817,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1818,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1819,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1820,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
1821,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Forest
1822,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1823,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1824,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1825,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1826,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1827,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1828,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1829,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1830,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1831,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1832,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1833,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1834,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1835,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
1836,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
1837,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1838,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
1839,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
1840,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1841,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1842,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1843,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1844,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
1845,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
1846,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
1847,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1848,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1849,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
1850,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
1851,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
1852,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Bareland,Built-up
1853,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Built-up,Built-up
1854,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1855,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
1856,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
1857,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
1858,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
1859,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1860,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
1861,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1862,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
1863,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1864,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1865,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1866,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1867,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1868,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Wetland,Bareland
1869,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
1870,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1871,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
1872,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1873,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1874,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
1875,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1876,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
1877,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
1878,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
1879,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
1880,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1881,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Built-up
1882,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
1883,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
1884,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
1885,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
1886,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1887,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
1888,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
1889,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
1890,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
1891,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Cropland
1892,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
1893,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
1894,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1895,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
1896,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
1897,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1898,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
1899,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
1900,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
1901,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Shrubland,Bareland
1902,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Built-up,Grassland
1903,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up,Built-up,Bareland
1904,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1905,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1906,NULL,Built-up,Wetland,NULL,Wetland,Cropland,Forest,Forest
1907,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Grassland,Forest
1908,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Forest
1909,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Built-up
1910,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Water,Grassland
1911,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Forest,Forest
1912,NULL,Built-up,Wetland,NULL,Wetland,Water,Water,Water
1913,NULL,Built-up,Wetland,NULL,Wetland,Forest,Wetland,Forest
1914,NULL,Built-up,Wetland,Non_Water,Wetland,Water,Wetland,Forest
1915,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Grassland
1916,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Built-up
1917,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
1918,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,NULL,Grassland
1919,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,NULL,Bareland
1920,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
1921,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Grassland
1922,NULL,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1923,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1924,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
1925,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,NULL,Built-up
1926,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1927,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1928,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1929,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1930,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Built-up
1931,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Forest
1932,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1933,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Built-up
1934,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Forest
1935,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Grassland
1936,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Built-up
1937,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Forest
1938,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1939,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
1940,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
1941,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
1942,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1943,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
1944,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Forest
1945,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
1946,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1947,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
1948,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
1949,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
1950,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1951,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
1952,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1953,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
1954,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1955,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1956,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
1957,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
1958,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
1959,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
1960,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
1961,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Bareland
1962,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Built-up
1963,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Shrubland,Grassland
1964,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
1965,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Grassland,Built-up
1966,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Grassland,Forest
1967,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Wetland,Grassland
1968,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Bareland,Grassland
1969,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Bareland,Built-up
1970,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Built-up,Grassland
1971,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Built-up,Forest
1972,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Forest,Grassland
1973,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Forest,Built-up
1974,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Forest,Forest
1975,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
1976,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
1977,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
1978,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
1979,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
1980,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
1981,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1982,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1983,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1984,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Forest
1985,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1986,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
1987,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1988,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1989,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Water
1990,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1991,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
1992,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1993,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Cropland
1994,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1995,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1996,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1997,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1998,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
1999,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
2000,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
2001,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
2002,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
2003,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
2004,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
2005,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
2006,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
2007,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
2008,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
2009,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
2010,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Built-up
2011,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,NULL
2012,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
2013,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Cropland
2014,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
2015,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
2016,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
2017,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
2018,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
2019,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
2020,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Water
2021,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
2022,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
2023,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Forest
2024,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Built-up
2025,NULL,Built-up,Water,NULL,Water,Grassland,Grassland,Water
2026,NULL,Built-up,Water,NULL,Water,Grassland,Grassland,Forest
2027,NULL,Built-up,Water,NULL,Water,Bareland,Grassland,Grassland
2028,NULL,Built-up,Water,NULL,Water,Bareland,Grassland,Bareland
2029,NULL,Built-up,Water,NULL,Water,Bareland,Grassland,Water
2030,NULL,Built-up,Water,NULL,Water,Bareland,Wetland,Built-up
2031,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Grassland
2032,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Bareland
2033,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Water
2034,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Forest
2035,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Grassland
2036,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Bareland
2037,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Built-up
2038,NULL,Built-up,Water,NULL,Water,Bareland,Water,Water
2039,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Grassland
2040,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Bareland
2041,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Built-up
2042,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Water
2043,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Forest
2044,NULL,Built-up,Water,NULL,Water,Water,Water,Water
2045,NULL,Built-up,Water,Water,Water,Bareland,Water,Built-up
2046,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2047,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2048,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
2049,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Wetland,Water
2050,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
2051,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2052,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Built-up
2053,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
2054,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
2055,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2056,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
2057,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2058,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
2059,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
2060,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2061,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
2062,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
2063,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2064,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2065,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Cropland
2066,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2067,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
2068,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
2069,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
2070,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
2071,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
2072,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
2073,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
2074,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
2075,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
2076,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
2077,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
2078,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2079,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Grassland,Forest
2080,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2081,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2082,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
2083,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2084,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Bareland,Water
2085,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
2086,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2087,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
2088,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
2089,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
2090,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
2091,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
2092,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
2093,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
2094,NULL,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2095,NULL,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2096,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
2097,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
2098,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
2099,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
2100,NULL,Water,NULL,Water,Non_Wetland,Shrubland,Wetland,Forest
2101,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2102,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
2103,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
2104,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
2105,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2106,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2107,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2108,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
2109,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
