Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KGQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KGQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KGQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KGQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KGQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KGQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KGQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KGQ_M_R
29,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
33,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
34,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
36,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
38,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
39,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
45,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
49,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
50,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
53,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
59,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
60,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
61,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
63,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
65,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
67,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
68,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
70,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
72,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
73,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
75,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
76,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
77,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
79,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
80,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
81,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
82,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
83,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
84,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
85,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
86,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
87,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
88,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
89,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
90,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
91,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
92,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
93,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
94,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
95,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
96,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
97,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
98,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
99,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
100,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
101,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
102,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
103,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
104,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
105,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
106,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
107,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
108,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
109,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
110,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
111,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
112,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
113,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
114,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
115,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
116,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
117,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
118,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
119,Grassland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
120,Grassland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
121,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
122,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
123,Grassland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
124,Grassland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
125,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
126,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
127,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
128,Grassland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
129,Grassland,Bareland,Water,Water,Water,NULL,NULL,Grassland
130,Grassland,Bareland,Water,Water,Water,NULL,NULL,Water
131,Grassland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
132,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
133,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
134,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
135,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
136,Grassland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
137,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
138,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
139,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
140,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
141,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
142,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
143,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
144,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
145,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
146,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
147,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
148,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
149,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
151,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
152,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
153,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
154,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
155,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
156,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
157,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
158,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
159,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
160,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
162,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
163,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
164,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
165,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
166,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
167,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
168,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
169,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
170,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
171,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
172,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
173,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
174,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
175,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
176,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
177,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
178,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
179,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
180,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
181,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
182,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
183,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
184,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
185,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
186,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
187,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
188,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
189,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
190,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
191,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
192,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
193,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
194,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
195,Cropland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
196,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
197,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
198,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
199,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
200,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
201,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
202,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
203,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
204,Cropland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
205,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
206,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
207,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
208,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
209,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
210,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
211,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
212,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
213,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
214,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
215,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
216,Cropland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
217,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
218,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
219,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
220,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
221,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
222,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
223,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
224,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
225,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
226,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
227,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
228,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
229,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
230,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
231,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
232,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
233,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
234,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
235,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
236,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
237,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
238,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
239,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
240,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
242,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
243,Wetland,NULL,Water,NULL,Water,NULL,NULL,Water
244,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
245,Wetland,NULL,Water,Water,Water,NULL,NULL,Bareland
246,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
247,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
248,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
249,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
250,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
251,Wetland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Water
252,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
253,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
254,Wetland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
255,Wetland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
256,Wetland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
257,Wetland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
258,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
259,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
260,Wetland,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
261,Wetland,Bareland,Water,Water,Water,NULL,NULL,Grassland
262,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
263,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
264,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
265,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
266,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
267,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
268,Wetland,Water,Water,Water,Water,NULL,NULL,Water
269,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
270,Wetland,Forest,Water,NULL,Water,NULL,NULL,Water
271,Wetland,Forest,Water,Water,Water,NULL,NULL,Water
272,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
273,Wetland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
274,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
275,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
276,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
277,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
278,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
279,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
280,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
281,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
282,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
283,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
284,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
285,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
286,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
287,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
288,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
289,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
290,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
291,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
292,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
293,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
294,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
295,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
296,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
297,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
298,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
299,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
300,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
301,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
302,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
303,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
304,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
305,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
306,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
307,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
308,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
309,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
310,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
311,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
312,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
313,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
314,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
315,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
316,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
317,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
318,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
319,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
320,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
321,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
322,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
323,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
324,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
325,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
326,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
327,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
328,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
329,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
