Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMC_M_R
50,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
51,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
52,Cropland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
53,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Water
54,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
55,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
56,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Water,Wetland
57,Wetland,NULL,Water,NULL,Water,Water,Water,Wetland
58,Wetland,NULL,Water,Water,Water,Water,Water,Grassland
59,Wetland,NULL,Water,Water,Water,Water,Water,Wetland
60,Wetland,NULL,Water,Water,Water,Water,Water,Water
61,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Water,Wetland
62,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
63,Wetland,Wetland,Grassland,Water,Non_Wetland,Water,Water,Grassland
64,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
65,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
66,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
67,Wetland,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
68,Wetland,Wetland,Water,NULL,Water,Water,Water,Grassland
69,Wetland,Wetland,Water,NULL,Water,Water,Water,Water
70,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Water
71,Wetland,Wetland,Water,Water,Water,Water,Water,Grassland
72,Wetland,Wetland,Water,Water,Water,Water,Water,Wetland
73,Wetland,Wetland,Water,Water,Water,Water,Water,Water
74,Wetland,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
75,Wetland,Water,Grassland,NULL,Non_Wetland,Water,Water,Grassland
76,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
77,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
78,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Wetland
79,Wetland,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
80,Wetland,Water,Bareland,NULL,Non_Wetland,Water,Water,Grassland
81,Wetland,Water,Bareland,NULL,Non_Wetland,Water,Water,Wetland
82,Wetland,Water,Water,NULL,Water,Water,Water,Grassland
83,Wetland,Water,Water,NULL,Water,Water,Water,Wetland
84,Wetland,Water,Water,Non_Water,Water,Water,Water,Wetland
85,Wetland,Water,Water,Water,Water,Water,Water,Grassland
86,Wetland,Water,Water,Water,Water,Water,Water,Wetland
87,Wetland,Water,Water,Water,Water,Water,Water,Bareland
88,Wetland,Water,Water,Water,Water,Water,Water,Water
89,Wetland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
90,Wetland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
91,Wetland,Water,Forest,NULL,Non_Wetland,Water,Water,Wetland
92,Wetland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
93,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
94,Wetland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
95,Bareland,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
96,Bareland,Water,Wetland,NULL,Wetland,NULL,Water,Water
97,Bareland,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
98,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
99,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
100,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
101,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Forest
102,Bareland,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
103,Bareland,Water,Water,Water,Water,NULL,Water,Water
104,Bareland,Water,Water,Water,Water,Water,Water,Wetland
105,Bareland,Water,Water,Water,Water,Water,Water,Water
106,Bareland,Water,Water,Water,Water,Water,Water,Forest
107,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
108,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
109,Water,NULL,Water,NULL,Water,Water,Water,Wetland
110,Water,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
111,Water,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
112,Water,Wetland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
113,Water,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
114,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
115,Water,Wetland,Water,Water,Water,Water,Water,Wetland
116,Water,Bareland,Water,Water,Water,Water,Water,Water
117,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
118,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Water
119,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
120,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
121,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Wetland
122,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
123,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
124,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
125,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
126,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
127,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
128,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
129,Water,Water,NULL,Water,Non_Wetland,Wetland,Water,Water
130,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
131,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
132,Water,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
133,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
134,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
135,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
136,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
137,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Water
138,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
139,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
140,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
141,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
142,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Grassland
143,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
144,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
145,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Water
146,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
147,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
148,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
149,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Water,Water
150,Water,Water,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
151,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
152,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
153,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Wetland
154,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
155,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
156,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Water
157,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
158,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
159,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Grassland
160,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
161,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
162,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
163,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
164,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
165,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
166,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
167,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
168,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
169,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
170,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
171,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
172,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
173,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
174,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
175,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
176,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
177,Water,Water,Wetland,NULL,Wetland,Water,Water,Wetland
178,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
179,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
180,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
181,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
182,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
183,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
184,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
185,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
186,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
187,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
188,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
189,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
190,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
191,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
192,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
193,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
194,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
195,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
196,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
197,Water,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
198,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
199,Water,Water,Wetland,Water,Wetland,Wetland,Water,Forest
200,Water,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
201,Water,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
202,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
203,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
204,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
205,Water,Water,Wetland,Water,Wetland,Water,Water,Wetland
206,Water,Water,Wetland,Water,Wetland,Water,Water,Water
207,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
208,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
209,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
210,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
211,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
212,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
213,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
214,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
215,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Grassland
216,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Wetland
217,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
218,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
219,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
220,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Water
221,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
222,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
223,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
224,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
225,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
226,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
227,Water,Water,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
228,Water,Water,Bareland,Water,Non_Wetland,Wetland,Water,Water
229,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
230,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
231,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
232,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
233,Water,Water,Water,NULL,Water,NULL,Wetland,Water
234,Water,Water,Water,NULL,Water,Wetland,Wetland,Forest
235,Water,Water,Water,NULL,Water,Wetland,Water,Wetland
236,Water,Water,Water,NULL,Water,Wetland,Water,Water
237,Water,Water,Water,NULL,Water,Wetland,Water,Forest
238,Water,Water,Water,NULL,Water,Water,Wetland,Grassland
239,Water,Water,Water,NULL,Water,Water,Wetland,Wetland
240,Water,Water,Water,NULL,Water,Water,Wetland,Water
241,Water,Water,Water,NULL,Water,Water,Wetland,Forest
242,Water,Water,Water,NULL,Water,Water,Water,Grassland
243,Water,Water,Water,NULL,Water,Water,Water,Wetland
244,Water,Water,Water,NULL,Water,Water,Water,Water
245,Water,Water,Water,NULL,Water,Water,Water,Forest
246,Water,Water,Water,Non_Water,Water,NULL,Wetland,Water
247,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Water
248,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
249,Water,Water,Water,Non_Water,Water,Wetland,Water,Water
250,Water,Water,Water,Non_Water,Water,Wetland,Water,Forest
251,Water,Water,Water,Non_Water,Water,Water,Wetland,Grassland
252,Water,Water,Water,Non_Water,Water,Water,Wetland,Wetland
253,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
254,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
255,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
256,Water,Water,Water,Non_Water,Water,Water,Water,Wetland
257,Water,Water,Water,Non_Water,Water,Water,Water,Water
258,Water,Water,Water,Non_Water,Water,Water,Water,Forest
259,Water,Water,Water,Water,Water,NULL,Wetland,Forest
260,Water,Water,Water,Water,Water,NULL,Water,Water
261,Water,Water,Water,Water,Water,Wetland,Wetland,Water
262,Water,Water,Water,Water,Water,Wetland,Wetland,Forest
263,Water,Water,Water,Water,Water,Wetland,Water,Wetland
264,Water,Water,Water,Water,Water,Wetland,Water,Water
265,Water,Water,Water,Water,Water,Wetland,Water,Forest
266,Water,Water,Water,Water,Water,Water,Wetland,Grassland
267,Water,Water,Water,Water,Water,Water,Wetland,Wetland
268,Water,Water,Water,Water,Water,Water,Wetland,Water
269,Water,Water,Water,Water,Water,Water,Wetland,Forest
270,Water,Water,Water,Water,Water,Water,Water,Grassland
271,Water,Water,Water,Water,Water,Water,Water,Wetland
272,Water,Water,Water,Water,Water,Water,Water,Bareland
273,Water,Water,Water,Water,Water,Water,Water,Water
274,Water,Water,Water,Water,Water,Water,Water,Forest
275,Water,Water,Water,Water,Water,Water,Forest,Forest
276,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
277,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
278,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
279,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
280,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
281,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
282,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Bareland
283,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
284,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
285,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
286,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Wetland
287,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
288,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
289,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
290,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
291,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
292,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
293,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
294,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
295,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
296,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
297,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Wetland
298,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
299,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
300,Water,Water,Forest,Water,Non_Wetland,Water,Water,Wetland
301,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
302,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
303,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
304,Water,Forest,Wetland,Water,Wetland,Water,Wetland,Forest
305,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
306,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
307,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
308,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
309,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
310,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
311,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
312,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
313,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Water,Wetland
314,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Water,Water
315,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
316,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
317,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
318,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
319,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
320,Forest,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
321,Forest,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
322,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
323,Forest,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
324,Forest,NULL,Wetland,NULL,Wetland,Water,Water,Water
325,Forest,NULL,Wetland,NULL,Wetland,Water,Water,Forest
326,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
327,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
328,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
329,Forest,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
330,Forest,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
331,Forest,NULL,Bareland,NULL,Non_Wetland,Water,Water,Wetland
332,Forest,NULL,Bareland,NULL,Non_Wetland,Water,Water,Forest
333,Forest,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
334,Forest,NULL,Water,NULL,Water,Water,Wetland,Forest
335,Forest,NULL,Water,NULL,Water,Water,Water,Grassland
336,Forest,NULL,Water,NULL,Water,Water,Water,Wetland
337,Forest,NULL,Water,NULL,Water,Water,Water,Bareland
338,Forest,NULL,Water,NULL,Water,Water,Water,Water
339,Forest,NULL,Water,Water,Water,Water,Water,Grassland
340,Forest,NULL,Water,Water,Water,Water,Water,Wetland
341,Forest,NULL,Water,Water,Water,Water,Water,Water
342,Forest,NULL,Water,Water,Water,Water,Water,Forest
343,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
344,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
345,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
346,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
347,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
348,Forest,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
349,Forest,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
350,Forest,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
351,Forest,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
352,Forest,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
353,Forest,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
354,Forest,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
355,Forest,Wetland,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
356,Forest,Wetland,Grassland,NULL,Non_Wetland,Water,Water,Grassland
357,Forest,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
358,Forest,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
359,Forest,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
360,Forest,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
361,Forest,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
362,Forest,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
363,Forest,Wetland,Wetland,NULL,Wetland,Water,Water,Water
364,Forest,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
365,Forest,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
366,Forest,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
367,Forest,Wetland,Wetland,Water,Wetland,Water,Wetland,Forest
368,Forest,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
369,Forest,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
370,Forest,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
371,Forest,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Grassland
372,Forest,Wetland,Water,NULL,Water,Wetland,Wetland,Forest
373,Forest,Wetland,Water,NULL,Water,Wetland,Water,Forest
374,Forest,Wetland,Water,NULL,Water,Water,Wetland,Forest
375,Forest,Wetland,Water,Non_Water,Water,Wetland,Water,Forest
376,Forest,Wetland,Water,Water,Water,Water,Wetland,Wetland
377,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
