Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUD_M_R
37,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
38,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
39,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
40,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
41,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
42,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
43,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
44,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
45,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
46,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
47,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
48,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
49,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
50,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
51,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
52,NULL,Water,Wetland,Water,Wetland,Water
53,NULL,Water,Water,NULL,Water,Water
54,NULL,Water,Water,Non_Water,Water,Water
55,NULL,Water,Forest,NULL,Non_Wetland,Grassland
56,NULL,Water,Forest,NULL,Non_Wetland,Forest
57,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
58,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
59,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
60,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
61,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
62,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
63,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
64,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
65,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
66,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
67,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
68,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
69,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
70,NULL,Forest,Forest,NULL,Non_Wetland,Forest
71,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
72,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
73,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
74,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
75,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
76,Grassland,Wetland,Wetland,NULL,Wetland,Forest
77,Grassland,Bareland,Cropland,Water,Non_Wetland,Water
78,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
79,Grassland,Water,Wetland,Water,Wetland,Water
80,Grassland,Water,Water,Water,Water,Grassland
81,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
82,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
83,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
84,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
85,Grassland,Forest,Wetland,Non_Water,Wetland,Water
86,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Water
87,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
88,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
89,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
90,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
91,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
92,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
93,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
94,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
95,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
96,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
97,Cropland,Water,Shrubland,Water,Non_Wetland,Water
98,Cropland,Water,Cropland,Water,Non_Wetland,Grassland
99,Cropland,Water,Wetland,Water,Wetland,Water
100,Cropland,Water,Bareland,Water,Non_Wetland,Water
101,Cropland,Water,Water,Water,Water,Water
102,Cropland,Forest,Cropland,NULL,Non_Wetland,Built-up
103,Cropland,Forest,Water,Water,Water,Bareland
104,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
105,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
106,Cropland,Forest,Forest,Non_Water,Non_Wetland,Grassland
107,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
108,Wetland,Wetland,Wetland,NULL,Wetland,Forest
109,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
110,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
111,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Water
112,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Water
113,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water
114,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water
115,Bareland,Bareland,Cropland,Water,Non_Wetland,Water
116,Bareland,Bareland,Wetland,NULL,Wetland,Water
117,Bareland,Bareland,Wetland,Non_Water,Wetland,Grassland
118,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
119,Bareland,Bareland,Wetland,Non_Water,Wetland,Water
120,Bareland,Bareland,Wetland,Water,Wetland,Bareland
121,Bareland,Bareland,Wetland,Water,Wetland,Water
122,Bareland,Bareland,Bareland,NULL,Non_Wetland,Forest
123,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
124,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water
125,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland
126,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
127,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
128,Bareland,Bareland,Built-up,NULL,Non_Wetland,Built-up
129,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Water
130,Bareland,Bareland,Built-up,Water,Non_Wetland,Water
131,Bareland,Bareland,Water,Non_Water,Water,Water
132,Bareland,Bareland,Water,Water,Water,Bareland
133,Bareland,Bareland,Water,Water,Water,Water
134,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Water
135,Bareland,Bareland,Forest,Water,Non_Wetland,Water
136,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
137,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland
138,Bareland,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
139,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
140,Bareland,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
141,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
142,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
143,Bareland,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
144,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water
145,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Forest
146,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
147,Bareland,Water,Shrubland,Water,Non_Wetland,Water
148,Bareland,Water,Shrubland,Water,Non_Wetland,Forest
149,Bareland,Water,Grassland,Non_Water,Non_Wetland,Grassland
150,Bareland,Water,Grassland,Non_Water,Non_Wetland,Bareland
151,Bareland,Water,Grassland,Non_Water,Non_Wetland,Forest
152,Bareland,Water,Grassland,Water,Non_Wetland,Water
153,Bareland,Water,Grassland,Water,Non_Wetland,Forest
154,Bareland,Water,Cropland,NULL,Non_Wetland,Water
155,Bareland,Water,Cropland,Non_Water,Non_Wetland,Grassland
156,Bareland,Water,Cropland,Non_Water,Non_Wetland,Water
157,Bareland,Water,Cropland,Non_Water,Non_Wetland,Forest
158,Bareland,Water,Cropland,Water,Non_Wetland,Water
159,Bareland,Water,Cropland,Water,Non_Wetland,Forest
160,Bareland,Water,Wetland,NULL,Wetland,Water
161,Bareland,Water,Wetland,Non_Water,Wetland,Bareland
162,Bareland,Water,Wetland,Non_Water,Wetland,Water
163,Bareland,Water,Wetland,Water,Wetland,Grassland
164,Bareland,Water,Wetland,Water,Wetland,Bareland
165,Bareland,Water,Wetland,Water,Wetland,Water
166,Bareland,Water,Wetland,Water,Wetland,Forest
167,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland
168,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water
169,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
170,Bareland,Water,Bareland,Water,Non_Wetland,Water
171,Bareland,Water,Built-up,Non_Water,Non_Wetland,Water
172,Bareland,Water,Built-up,Water,Non_Wetland,Grassland
173,Bareland,Water,Built-up,Water,Non_Wetland,Water
174,Bareland,Water,Water,NULL,Water,Water
175,Bareland,Water,Water,Non_Water,Water,Grassland
176,Bareland,Water,Water,Non_Water,Water,Water
177,Bareland,Water,Water,Non_Water,Water,Forest
178,Bareland,Water,Water,Water,Water,Bareland
179,Bareland,Water,Water,Water,Water,Water
180,Bareland,Water,Water,Water,Water,Forest
181,Bareland,Water,Forest,NULL,Non_Wetland,Water
182,Bareland,Water,Forest,Non_Water,Non_Wetland,Water
183,Bareland,Water,Forest,Non_Water,Non_Wetland,Forest
184,Bareland,Water,Forest,Water,Non_Wetland,Water
185,Bareland,Water,Forest,Water,Non_Wetland,Forest
186,Bareland,Forest,Cropland,Water,Non_Wetland,Water
187,Bareland,Forest,Wetland,Non_Water,Wetland,Water
188,Bareland,Forest,Wetland,Water,Wetland,Forest
189,Bareland,Forest,Bareland,Water,Non_Wetland,Grassland
190,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
191,Water,Wetland,Wetland,Water,Wetland,Water
192,Water,Wetland,Water,NULL,Water,Water
193,Water,Bareland,Shrubland,Non_Water,Non_Wetland,Water
194,Water,Bareland,Wetland,Non_Water,Wetland,Water
195,Water,Bareland,Wetland,Water,Wetland,Water
196,Water,Bareland,Water,Water,Water,Water
197,Water,Built-up,Grassland,NULL,Non_Wetland,Grassland
198,Water,Water,NULL,NULL,Non_Wetland,Water
199,Water,Water,NULL,NULL,Non_Wetland,Forest
200,Water,Water,NULL,Non_Water,Non_Wetland,Water
201,Water,Water,NULL,Water,Non_Wetland,Water
202,Water,Water,NULL,Water,Non_Wetland,Forest
203,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
204,Water,Water,Shrubland,NULL,Non_Wetland,Water
205,Water,Water,Shrubland,NULL,Non_Wetland,Forest
206,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
207,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
208,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
209,Water,Water,Shrubland,Water,Non_Wetland,Water
210,Water,Water,Shrubland,Water,Non_Wetland,Forest
211,Water,Water,Grassland,Non_Water,Non_Wetland,Water
212,Water,Water,Cropland,NULL,Non_Wetland,Water
213,Water,Water,Cropland,NULL,Non_Wetland,Forest
214,Water,Water,Cropland,Non_Water,Non_Wetland,Water
215,Water,Water,Cropland,Non_Water,Non_Wetland,Forest
216,Water,Water,Cropland,Water,Non_Wetland,Water
217,Water,Water,Cropland,Water,Non_Wetland,Forest
218,Water,Water,Wetland,NULL,Wetland,Grassland
219,Water,Water,Wetland,NULL,Wetland,Bareland
220,Water,Water,Wetland,NULL,Wetland,Water
221,Water,Water,Wetland,NULL,Wetland,Forest
222,Water,Water,Wetland,Non_Water,Wetland,Grassland
223,Water,Water,Wetland,Non_Water,Wetland,Water
224,Water,Water,Wetland,Non_Water,Wetland,Forest
225,Water,Water,Wetland,Water,Wetland,Grassland
226,Water,Water,Wetland,Water,Wetland,Bareland
227,Water,Water,Wetland,Water,Wetland,Water
228,Water,Water,Wetland,Water,Wetland,Forest
229,Water,Water,Bareland,Non_Water,Non_Wetland,Water
230,Water,Water,Bareland,Non_Water,Non_Wetland,Forest
231,Water,Water,Bareland,Water,Non_Wetland,Water
232,Water,Water,Built-up,Water,Non_Wetland,Water
233,Water,Water,Water,NULL,Water,Grassland
234,Water,Water,Water,NULL,Water,Bareland
235,Water,Water,Water,NULL,Water,Water
236,Water,Water,Water,NULL,Water,Forest
237,Water,Water,Water,Non_Water,Water,Water
238,Water,Water,Water,Non_Water,Water,Forest
239,Water,Water,Water,Water,Water,Grassland
240,Water,Water,Water,Water,Water,Bareland
241,Water,Water,Water,Water,Water,Water
242,Water,Water,Water,Water,Water,Forest
243,Water,Water,Forest,NULL,Non_Wetland,Grassland
244,Water,Water,Forest,NULL,Non_Wetland,Bareland
245,Water,Water,Forest,NULL,Non_Wetland,Water
246,Water,Water,Forest,NULL,Non_Wetland,Forest
247,Water,Water,Forest,Non_Water,Non_Wetland,Water
248,Water,Water,Forest,Non_Water,Non_Wetland,Forest
249,Water,Water,Forest,Water,Non_Wetland,Grassland
250,Water,Water,Forest,Water,Non_Wetland,Bareland
251,Water,Water,Forest,Water,Non_Wetland,Water
252,Water,Water,Forest,Water,Non_Wetland,Forest
253,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
254,Water,Forest,Shrubland,Non_Water,Non_Wetland,Forest
255,Water,Forest,Shrubland,Water,Non_Wetland,Forest
256,Water,Forest,Cropland,NULL,Non_Wetland,Forest
257,Water,Forest,Cropland,Non_Water,Non_Wetland,Forest
258,Water,Forest,Cropland,Water,Non_Wetland,Forest
259,Water,Forest,Wetland,NULL,Wetland,Forest
260,Water,Forest,Wetland,Non_Water,Wetland,Forest
261,Water,Forest,Wetland,Water,Wetland,Grassland
262,Water,Forest,Wetland,Water,Wetland,Water
263,Water,Forest,Wetland,Water,Wetland,Forest
264,Water,Forest,Water,NULL,Water,Forest
265,Water,Forest,Water,Non_Water,Water,Water
266,Water,Forest,Water,Non_Water,Water,Forest
267,Water,Forest,Water,Water,Water,Water
268,Water,Forest,Water,Water,Water,Forest
269,Water,Forest,Forest,NULL,Non_Wetland,Grassland
270,Water,Forest,Forest,NULL,Non_Wetland,Bareland
271,Water,Forest,Forest,NULL,Non_Wetland,Water
272,Water,Forest,Forest,NULL,Non_Wetland,Forest
273,Water,Forest,Forest,Non_Water,Non_Wetland,Water
274,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
275,Water,Forest,Forest,Water,Non_Wetland,Water
276,Water,Forest,Forest,Water,Non_Wetland,Forest
277,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest
278,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
279,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
280,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
281,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
282,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up
283,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
284,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
285,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland
286,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
287,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
288,Forest,NULL,Cropland,Non_Water,Non_Wetland,Forest
289,Forest,NULL,Wetland,NULL,Wetland,NULL
290,Forest,NULL,Wetland,NULL,Wetland,Grassland
291,Forest,NULL,Wetland,NULL,Wetland,Forest
292,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
293,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
294,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
295,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
296,Forest,NULL,Forest,NULL,Non_Wetland,NULL
297,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
298,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
299,Forest,NULL,Forest,NULL,Non_Wetland,Forest
300,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
301,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
302,Forest,Wetland,Shrubland,NULL,Non_Wetland,Grassland
303,Forest,Wetland,Shrubland,NULL,Non_Wetland,Forest
304,Forest,Wetland,Wetland,NULL,Wetland,NULL
305,Forest,Wetland,Wetland,NULL,Wetland,Grassland
306,Forest,Wetland,Wetland,NULL,Wetland,Wetland
307,Forest,Wetland,Wetland,NULL,Wetland,Bareland
308,Forest,Wetland,Wetland,NULL,Wetland,Forest
309,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
310,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland
311,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland
312,Forest,Wetland,Forest,NULL,Non_Wetland,Bareland
313,Forest,Wetland,Forest,NULL,Non_Wetland,Water
314,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
315,Forest,Wetland,Forest,Water,Non_Wetland,Grassland
316,Forest,Bareland,Wetland,Water,Wetland,Water
317,Forest,Bareland,Bareland,Water,Non_Wetland,Water
318,Forest,Bareland,Water,Non_Water,Water,Water
319,Forest,Bareland,Forest,Non_Water,Non_Wetland,Water
320,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
321,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up
322,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
323,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest
324,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
325,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up
326,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
327,Forest,Built-up,Bareland,NULL,Non_Wetland,Built-up
328,Forest,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
329,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland
330,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up
331,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
332,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
333,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up
334,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
335,Forest,Water,NULL,NULL,Non_Wetland,Water
336,Forest,Water,NULL,NULL,Non_Wetland,Forest
337,Forest,Water,NULL,Non_Water,Non_Wetland,Water
338,Forest,Water,NULL,Water,Non_Wetland,Water
339,Forest,Water,NULL,Water,Non_Wetland,Forest
340,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
341,Forest,Water,Shrubland,NULL,Non_Wetland,Water
342,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
343,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water
344,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
345,Forest,Water,Shrubland,Water,Non_Wetland,Water
346,Forest,Water,Shrubland,Water,Non_Wetland,Forest
347,Forest,Water,Grassland,Non_Water,Non_Wetland,Grassland
348,Forest,Water,Grassland,Non_Water,Non_Wetland,Water
349,Forest,Water,Grassland,Water,Non_Wetland,Water
350,Forest,Water,Cropland,NULL,Non_Wetland,Forest
351,Forest,Water,Cropland,Non_Water,Non_Wetland,Water
352,Forest,Water,Cropland,Non_Water,Non_Wetland,Forest
353,Forest,Water,Cropland,Water,Non_Wetland,Water
354,Forest,Water,Cropland,Water,Non_Wetland,Forest
355,Forest,Water,Wetland,NULL,Wetland,Grassland
356,Forest,Water,Wetland,NULL,Wetland,Bareland
357,Forest,Water,Wetland,NULL,Wetland,Water
358,Forest,Water,Wetland,NULL,Wetland,Forest
359,Forest,Water,Wetland,Non_Water,Wetland,Grassland
360,Forest,Water,Wetland,Non_Water,Wetland,Bareland
361,Forest,Water,Wetland,Non_Water,Wetland,Water
362,Forest,Water,Wetland,Non_Water,Wetland,Forest
363,Forest,Water,Wetland,Water,Wetland,Grassland
364,Forest,Water,Wetland,Water,Wetland,Bareland
365,Forest,Water,Wetland,Water,Wetland,Water
366,Forest,Water,Wetland,Water,Wetland,Forest
367,Forest,Water,Bareland,Non_Water,Non_Wetland,Grassland
368,Forest,Water,Bareland,Non_Water,Non_Wetland,Bareland
369,Forest,Water,Bareland,Non_Water,Non_Wetland,Water
370,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest
371,Forest,Water,Bareland,Water,Non_Wetland,Water
372,Forest,Water,Built-up,Water,Non_Wetland,Water
373,Forest,Water,Built-up,Water,Non_Wetland,Forest
374,Forest,Water,Water,NULL,Water,Water
375,Forest,Water,Water,NULL,Water,Forest
376,Forest,Water,Water,Non_Water,Water,Grassland
377,Forest,Water,Water,Non_Water,Water,Bareland
378,Forest,Water,Water,Non_Water,Water,Water
379,Forest,Water,Water,Non_Water,Water,Forest
380,Forest,Water,Water,Water,Water,Grassland
381,Forest,Water,Water,Water,Water,Bareland
382,Forest,Water,Water,Water,Water,Water
383,Forest,Water,Water,Water,Water,Forest
384,Forest,Water,Forest,NULL,Non_Wetland,Grassland
385,Forest,Water,Forest,NULL,Non_Wetland,Bareland
386,Forest,Water,Forest,NULL,Non_Wetland,Water
387,Forest,Water,Forest,NULL,Non_Wetland,Forest
388,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland
389,Forest,Water,Forest,Non_Water,Non_Wetland,Bareland
390,Forest,Water,Forest,Non_Water,Non_Wetland,Water
391,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
392,Forest,Water,Forest,Water,Non_Wetland,Grassland
393,Forest,Water,Forest,Water,Non_Wetland,Bareland
394,Forest,Water,Forest,Water,Non_Wetland,Water
395,Forest,Water,Forest,Water,Non_Wetland,Forest
396,Forest,Forest,NULL,NULL,Non_Wetland,Water
397,Forest,Forest,NULL,NULL,Non_Wetland,Forest
398,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
399,Forest,Forest,NULL,Water,Non_Wetland,Forest
400,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
401,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland
402,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
403,Forest,Forest,Shrubland,NULL,Non_Wetland,Water
404,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
405,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
406,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Water
407,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
408,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
409,Forest,Forest,Shrubland,Water,Non_Wetland,Water
410,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
411,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
412,Forest,Forest,Grassland,NULL,Non_Wetland,Built-up
413,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
414,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland
415,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water
416,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest
417,Forest,Forest,Grassland,Water,Non_Wetland,Water
418,Forest,Forest,Grassland,Water,Non_Wetland,Forest
419,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
420,Forest,Forest,Cropland,NULL,Non_Wetland,Bareland
421,Forest,Forest,Cropland,NULL,Non_Wetland,Built-up
422,Forest,Forest,Cropland,NULL,Non_Wetland,Water
423,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
424,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland
425,Forest,Forest,Cropland,Non_Water,Non_Wetland,Bareland
426,Forest,Forest,Cropland,Non_Water,Non_Wetland,Water
427,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest
428,Forest,Forest,Cropland,Water,Non_Wetland,Grassland
429,Forest,Forest,Cropland,Water,Non_Wetland,Bareland
430,Forest,Forest,Cropland,Water,Non_Wetland,Water
431,Forest,Forest,Cropland,Water,Non_Wetland,Forest
432,Forest,Forest,Wetland,NULL,Wetland,NULL
433,Forest,Forest,Wetland,NULL,Wetland,Grassland
434,Forest,Forest,Wetland,NULL,Wetland,Water
435,Forest,Forest,Wetland,NULL,Wetland,Forest
436,Forest,Forest,Wetland,Non_Water,Wetland,Grassland
437,Forest,Forest,Wetland,Non_Water,Wetland,Water
438,Forest,Forest,Wetland,Non_Water,Wetland,Forest
439,Forest,Forest,Wetland,Water,Wetland,Grassland
440,Forest,Forest,Wetland,Water,Wetland,Bareland
441,Forest,Forest,Wetland,Water,Wetland,Water
442,Forest,Forest,Wetland,Water,Wetland,Forest
443,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
444,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
445,Forest,Forest,Bareland,Non_Water,Non_Wetland,Grassland
446,Forest,Forest,Bareland,Non_Water,Non_Wetland,Bareland
447,Forest,Forest,Bareland,Non_Water,Non_Wetland,Water
448,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest
