Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KTF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KTF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KTF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KTF_M_R
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
111,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
119,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
141,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
144,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
146,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
147,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
171,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
172,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Built-up
173,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
174,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
175,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
176,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
177,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
178,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
179,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
180,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
181,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
182,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
183,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
184,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
185,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
186,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Built-up
187,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
188,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Forest
189,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
190,NULL,NULL,NULL,Water,Non_Wetland,Forest,Water,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Bareland
