Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LRF_M_R
2692,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
2693,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
2694,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,NULL
2695,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
2696,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
2697,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
2698,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
2699,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
2700,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
2701,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
2702,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
2703,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
2704,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
2705,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
2706,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
2707,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
2708,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
2709,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
2710,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
2711,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
2712,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
2713,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
2714,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
2715,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
2716,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
2717,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
2718,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Forest,NULL
2719,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
2720,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
2721,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Water,Built-up
2722,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
2723,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,Forest
2724,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
2725,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
2726,NULL,Built-up,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
2727,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2728,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2729,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
2730,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
2731,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2732,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
2733,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2734,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
2735,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
2736,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
2737,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
2738,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
2739,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
2740,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
2741,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
2742,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
2743,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
2744,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
2745,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
2746,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
2747,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
2748,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
2749,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
2750,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
2751,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
2752,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
2753,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
2754,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2755,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
2756,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
2757,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
2758,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2759,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2760,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
2761,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
2762,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2763,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2764,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2765,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
2766,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
2767,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2768,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
2769,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
2770,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
2771,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
2772,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
2773,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
2774,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
2775,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
2776,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
2777,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
2778,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
2779,NULL,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
2780,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
2781,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2782,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
2783,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
2784,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
2785,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2786,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2787,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2788,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2789,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
2790,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
2791,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2792,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
2793,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2794,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2795,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
2796,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2797,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2798,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2799,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
2800,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2801,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
2802,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
2803,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2804,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
2805,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
2806,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
2807,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
2808,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
2809,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
2810,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
2811,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
2812,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
2813,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
2814,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
2815,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
2816,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
2817,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
2818,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
2819,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
2820,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2821,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
2822,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Built-up,NULL
2823,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
2824,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
2825,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
2826,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
2827,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
2828,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
2829,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
2830,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
2831,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2832,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2833,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2834,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
2835,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
2836,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2837,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
2838,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2839,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2840,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
2841,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
2842,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2843,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2844,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
2845,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
2846,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
2847,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
2848,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
2849,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
2850,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
2851,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Water
2852,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
2853,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
2854,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
2855,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
2856,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
2857,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
2858,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
2859,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
2860,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
2861,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
2862,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
2863,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
2864,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
2865,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,NULL
2866,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
2867,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Bareland
2868,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
2869,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Forest
2870,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
2871,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2872,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
2873,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
2874,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
2875,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
2876,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
2877,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
2878,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2879,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
2880,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
2881,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
2882,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Water
2883,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
2884,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Water,Forest
2885,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,NULL
2886,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
2887,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
2888,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Water,NULL
2889,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,NULL,NULL
2890,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Water,Grassland
2891,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
2892,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
2893,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
2894,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
2895,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
2896,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,NULL
2897,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
2898,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Water
2899,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
2900,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
2901,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2902,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
2903,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2904,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2905,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2906,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2907,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2908,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
2909,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Forest
2910,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
2911,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
2912,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
2913,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2914,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2915,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
2916,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2917,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
2918,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2919,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
2920,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
2921,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2922,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
2923,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
2924,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
2925,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
2926,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
2927,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Shrubland,NULL
2928,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
2929,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2930,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
2931,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,NULL
2932,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
2933,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
2934,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,NULL
2935,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
2936,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Built-up
2937,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Forest
2938,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
2939,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2940,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
2941,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
2942,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2943,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Cropland
2944,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
2945,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
2946,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
2947,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
2948,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
2949,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
2950,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
2951,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
2952,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
2953,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
2954,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2955,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
2956,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
2957,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
2958,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
2959,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
2960,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
2961,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
2962,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
2963,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
2964,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
2965,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
2966,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
2967,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
2968,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
2969,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Water
2970,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
2971,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
2972,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
2973,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2974,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Bareland
2975,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Built-up
2976,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
2977,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2978,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2979,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2980,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2981,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2982,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2983,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
2984,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2985,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,NULL
2986,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,NULL
2987,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
2988,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
2989,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Bareland
2990,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
2991,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Forest
2992,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Forest,NULL
2993,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Forest,Built-up
2994,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
2995,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
2996,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
2997,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
2998,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
2999,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
3000,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
3001,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3002,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3003,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
3004,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
