Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLB_M_R
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
129,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
130,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
132,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
134,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
135,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
136,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
137,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
138,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
139,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
142,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
143,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
144,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
145,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
146,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
147,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
148,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
149,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
150,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Forest
151,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
152,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
153,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
154,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
155,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
157,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
158,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
159,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
160,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
161,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
162,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
163,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
164,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
165,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
166,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
167,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
168,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
169,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
170,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
171,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
172,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
173,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
174,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
175,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
176,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
177,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
178,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
179,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
180,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Grassland
181,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
182,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
183,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
184,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
185,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
186,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
187,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
188,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
189,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
190,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
191,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
192,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
193,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
194,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
195,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
196,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
197,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
198,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
199,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Bareland,Grassland
200,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
201,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
202,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
203,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
204,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
205,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
206,NULL,NULL,Wetland,Non_Water,Wetland,Built-up,Water,Forest
207,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
208,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
209,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
210,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
211,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
212,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
213,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
214,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
215,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
216,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
217,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
218,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
219,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
220,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
221,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
222,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
223,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
224,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
225,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
226,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Wetland
227,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
228,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
229,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
230,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
231,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
232,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
233,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
234,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
235,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
236,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
237,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
238,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
239,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
240,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
241,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
242,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
243,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
244,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
245,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
246,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
247,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
248,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,Grassland
249,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up,Wetland,Grassland
250,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
251,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
252,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
253,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
254,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
255,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
256,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
257,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
258,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
259,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
260,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
261,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
262,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
263,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
264,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
265,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
266,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
267,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
268,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
269,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
270,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
271,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
272,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
273,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
274,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
275,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
276,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
277,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
279,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
280,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
281,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
282,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Built-up,Grassland
283,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Grassland
284,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
285,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
286,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
287,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
288,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
289,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
290,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
291,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
292,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
293,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
294,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
295,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
296,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
297,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
298,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
299,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
300,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
301,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
302,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
303,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
304,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
305,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
306,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
307,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
308,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
309,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Water
310,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
311,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
312,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
313,NULL,NULL,Water,Water,Water,Grassland,Water,Wetland
314,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
315,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
316,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
317,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
318,NULL,NULL,Water,Water,Water,Wetland,Water,Water
319,NULL,NULL,Water,Water,Water,Bareland,Water,Wetland
320,NULL,NULL,Water,Water,Water,Bareland,Water,Water
321,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
322,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
323,NULL,NULL,Water,Water,Water,Water,Water,Grassland
324,NULL,NULL,Water,Water,Water,Water,Water,Wetland
325,NULL,NULL,Water,Water,Water,Water,Water,Water
326,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
327,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
328,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
329,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
330,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
331,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
332,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
333,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
334,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
335,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
336,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
