Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MNR_M_R
2434,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
2435,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
2436,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
2437,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
2438,NULL,Cropland,Water,Water,Water,Grassland,Grassland,Water
2439,NULL,Cropland,Water,Water,Water,Wetland,Grassland,Water
2440,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
2441,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
2442,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
2443,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2444,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
2445,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
2446,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
2447,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Built-up
2448,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
2449,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
2450,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
2451,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Cropland
2452,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
2453,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
2454,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,NULL
2455,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
2456,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
2457,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Wetland
2458,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Built-up
2459,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
2460,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
2461,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2462,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
2463,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2464,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
2465,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
2466,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
2467,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
2468,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
2469,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2470,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
2471,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
2472,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
2473,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2474,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
2475,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
2476,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Cropland
2477,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
2478,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
2479,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
2480,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
2481,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
2482,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
2483,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
2484,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
2485,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2486,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
2487,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
2488,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
2489,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
2490,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2491,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
2492,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
2493,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
2494,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2495,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
2496,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
2497,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
2498,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
2499,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2500,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
2501,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
2502,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
2503,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Cropland
2504,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
2505,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
2506,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
2507,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
2508,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
2509,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
2510,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Built-up
2511,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
2512,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
2513,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
2514,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
2515,NULL,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
2516,NULL,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Bareland
2517,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,NULL
2518,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
2519,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
2520,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
2521,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
2522,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
2523,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,NULL
2524,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
2525,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Wetland
2526,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2527,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,NULL
2528,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2529,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2530,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2531,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2532,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
2533,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
2534,NULL,Cropland,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
2535,NULL,Cropland,Forest,Water,Non_Wetland,Grassland,Grassland,Wetland
2536,NULL,Cropland,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
2537,NULL,Cropland,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
2538,NULL,Cropland,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
2539,NULL,Cropland,Forest,Water,Non_Wetland,Wetland,Water,Wetland
2540,NULL,Cropland,Forest,Water,Non_Wetland,Bareland,Grassland,Grassland
2541,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2542,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2543,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2544,NULL,Wetland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2545,NULL,Wetland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
2546,NULL,Wetland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2547,NULL,Wetland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Built-up
2548,NULL,Wetland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
2549,NULL,Wetland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
2550,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
2551,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2552,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2553,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2554,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2555,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
2556,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
2557,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
2558,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
2559,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
2560,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
2561,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
2562,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
2563,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
2564,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
2565,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2566,NULL,Wetland,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
2567,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
2568,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
2569,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
2570,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
2571,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
2572,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
2573,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
2574,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
2575,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
2576,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
2577,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2578,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
2579,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
2580,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
2581,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
2582,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
2583,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
2584,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
2585,NULL,Wetland,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
2586,NULL,Wetland,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
2587,NULL,Wetland,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
2588,NULL,Wetland,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
2589,NULL,Wetland,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
2590,NULL,Wetland,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
2591,NULL,Wetland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
2592,NULL,Wetland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
2593,NULL,Wetland,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
2594,NULL,Wetland,NULL,NULL,Non_Wetland,Forest,Forest,NULL
2595,NULL,Wetland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
2596,NULL,Wetland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
2597,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
2598,NULL,Wetland,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
2599,NULL,Wetland,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
2600,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2601,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2602,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
2603,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
2604,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
2605,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2606,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2607,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2608,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
2609,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
2610,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
2611,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
2612,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
2613,NULL,Wetland,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
2614,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
2615,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
2616,NULL,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Wetland
2617,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
2618,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
2619,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
2620,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
2621,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
2622,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
2623,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
2624,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2625,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2626,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
2627,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Wetland
2628,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2629,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2630,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2631,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
2632,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2633,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2634,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2635,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
2636,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2637,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
2638,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
2639,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2640,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
2641,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
2642,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
2643,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
2644,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2645,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
2646,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
2647,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2648,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2649,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
2650,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
2651,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
2652,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2653,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
2654,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
2655,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2656,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
2657,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
2658,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
2659,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
2660,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
2661,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
2662,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2663,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Water
2664,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
2665,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
2666,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
2667,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
2668,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2669,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
2670,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
2671,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
2672,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
2673,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
2674,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
2675,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
2676,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2677,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2678,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,NULL
2679,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
2680,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
2681,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
2682,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2683,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
2684,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
2685,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,NULL
2686,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
2687,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
2688,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Grassland
2689,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
2690,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
2691,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
2692,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
2693,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
2694,NULL,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
2695,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
2696,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
2697,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
2698,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
2699,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
2700,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
2701,NULL,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2702,NULL,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
2703,NULL,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Wetland,NULL
2704,NULL,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2705,NULL,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
2706,NULL,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
2707,NULL,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2708,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
2709,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
2710,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
2711,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2712,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
2713,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
2714,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2715,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
2716,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
2717,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
2718,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
2719,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2720,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
2721,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2722,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
2723,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
2724,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
2725,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
2726,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
2727,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2728,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
2729,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2730,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
2731,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
2732,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2733,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Cropland
2734,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2735,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
2736,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
2737,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
2738,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
2739,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
2740,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
2741,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
2742,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2743,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2744,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
2745,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
2746,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2747,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Cropland
2748,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
2749,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
2750,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
2751,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
2752,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
