Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPU_M_R
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
70,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
71,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
72,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
73,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
74,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
75,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
76,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
77,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
78,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
79,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
80,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
81,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
82,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
83,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
84,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
138,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
139,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
140,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
141,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
142,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
143,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
144,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
145,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
146,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
147,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
148,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
149,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
150,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
151,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
152,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
153,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
154,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
155,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
156,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
157,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
158,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
159,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
160,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
172,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
176,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
177,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
179,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
180,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
183,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
190,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
196,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
200,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
205,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
206,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
207,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
208,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
209,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
210,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
211,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
212,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
213,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
214,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
215,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
216,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
217,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
218,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
219,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
220,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
221,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Grassland
222,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
223,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
224,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
225,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
226,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
227,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
228,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
230,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
231,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
232,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
233,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
234,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
235,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
236,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
237,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
238,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
239,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
241,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
242,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
243,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Forest
244,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Built-up,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
246,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
247,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
248,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
252,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
253,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
255,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
256,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
257,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
259,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Forest
260,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
262,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
264,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
265,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
268,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Wetland,Forest
269,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
270,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
271,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
272,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
273,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
274,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
275,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
276,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
277,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
278,NULL,NULL,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
279,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
280,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
281,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
282,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
283,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
284,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
285,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
286,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
287,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
288,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
289,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
290,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
291,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
292,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
293,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
294,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
295,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
296,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
297,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
298,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
299,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
300,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
301,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
302,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
303,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
304,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
305,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
306,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
307,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
308,NULL,NULL,Wetland,NULL,Wetland,Bareland,Built-up,Forest
309,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
310,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
311,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
312,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Bareland
313,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
314,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
315,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
316,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
317,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
318,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
319,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
320,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Forest
321,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
322,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
323,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
324,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
325,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
326,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
327,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
328,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
329,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
330,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
