Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MEA_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
54,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
55,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
56,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
57,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
58,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
131,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
132,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
133,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
134,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
136,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
137,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
138,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
139,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
140,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
141,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
142,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
143,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Water
144,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
156,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
157,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
160,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
166,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
170,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
172,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
175,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
176,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
179,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Water
180,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
183,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
186,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
188,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
189,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
190,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
192,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
193,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
196,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
197,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
201,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
204,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
205,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Bareland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
212,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
213,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
215,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
216,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
218,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
220,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
225,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
228,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
229,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
231,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
233,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
234,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
235,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
236,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
237,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
238,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland,Forest
239,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Grassland
240,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
241,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Bareland
242,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Water
243,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
244,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
245,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
246,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
247,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Forest
248,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Bareland,Grassland
249,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
250,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
253,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
254,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
255,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
256,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
257,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
258,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
259,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Bareland
260,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Water
261,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
262,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
263,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
264,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
265,NULL,NULL,Wetland,NULL,Wetland,Grassland,Built-up,Grassland
266,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
267,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
268,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
269,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
270,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
271,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
272,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Water
273,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
274,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
275,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
276,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
277,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
278,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
279,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Water
280,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
281,NULL,NULL,Wetland,NULL,Wetland,Bareland,Built-up,Grassland
282,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
283,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Grassland
284,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
285,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Grassland
286,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
287,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
288,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Bareland
289,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
290,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
291,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
292,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
293,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
294,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Water
295,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
296,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
297,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
298,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
299,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
300,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Water
301,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
302,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
303,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
304,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
306,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
307,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
308,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
309,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Built-up
310,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
311,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
312,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
313,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
314,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
315,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
316,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
317,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
318,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Grassland
319,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
320,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Grassland
321,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
322,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
323,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Forest
324,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Grassland
325,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Forest
326,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Grassland
327,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
