Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NCG_M_R
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Bareland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Bareland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
112,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
113,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Bareland
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
124,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Water
125,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
126,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
127,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Water
128,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
130,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
131,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
132,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
134,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
136,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
137,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
138,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
140,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
142,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
144,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
148,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
152,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
153,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
154,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
155,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
156,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
157,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
158,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
159,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
160,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
161,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
162,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
163,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
164,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
165,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
166,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
167,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Bareland
168,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
169,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
170,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
171,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
172,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
173,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
174,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
175,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
176,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
177,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
178,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
179,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
180,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
181,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Grassland
182,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Forest
183,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
184,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
185,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
186,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
187,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
188,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
189,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
190,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
191,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Water
192,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Forest
193,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Bareland
194,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
195,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
196,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
197,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
198,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
199,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
200,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Bareland
201,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Built-up
202,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
203,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Bareland
204,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
205,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
206,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
207,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
208,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
209,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
210,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Forest
211,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
212,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
213,NULL,NULL,Water,NULL,Water,Wetland,Bareland,Grassland
214,NULL,NULL,Water,NULL,Water,Wetland,Bareland,Water
215,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
216,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Water
217,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
218,NULL,NULL,Water,Non_Water,Water,Wetland,Bareland,Grassland
219,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Grassland
220,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Bareland
221,NULL,NULL,Water,Non_Water,Water,Bareland,Bareland,Water
222,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
223,NULL,NULL,Water,Water,Water,Wetland,Bareland,Water
224,NULL,NULL,Water,Water,Water,Bareland,Bareland,Grassland
225,NULL,NULL,Water,Water,Water,Bareland,Bareland,Bareland
226,NULL,NULL,Water,Water,Water,Bareland,Bareland,Water
227,NULL,NULL,Water,Water,Water,Water,Bareland,Water
228,NULL,NULL,Water,Water,Water,Water,Water,Water
229,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
230,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
231,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
232,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
233,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
234,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
235,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
236,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
237,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
238,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
239,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
240,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
241,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
242,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
243,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
244,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Bareland
245,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
246,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
247,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
248,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
249,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Bareland
250,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
251,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
252,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
253,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
254,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
255,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Built-up
256,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
257,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
258,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Built-up
259,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
260,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
261,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Bareland
262,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
263,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Built-up,Grassland
264,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
265,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
266,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
267,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
268,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
269,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
270,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
271,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
272,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
273,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
274,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
275,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
276,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
277,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
278,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
279,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
280,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
281,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
282,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
283,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
284,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
285,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
286,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
287,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
288,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Bareland
289,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
290,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
291,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
292,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
293,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
294,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
295,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
296,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
297,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
298,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
299,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
300,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
301,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
302,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Water
303,NULL,NULL,Forest,Water,Non_Wetland,Water,Bareland,Water
304,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
305,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
306,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
307,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
308,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
309,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
310,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
311,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
312,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
313,NULL,Cropland,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
314,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
315,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
316,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
317,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
318,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
319,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
320,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Bareland
321,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
322,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
323,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Bareland,Water
324,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Bareland,Forest
325,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Bareland
326,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
327,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Water,Bareland
328,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
329,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
330,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
