Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KCE_M_R
2293,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
2294,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
2295,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
2296,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
2297,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
2298,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
2299,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
2300,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
2301,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,NULL
2302,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
2303,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Cropland
2304,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
2305,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
2306,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
2307,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
2308,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
2309,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
2310,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Cropland
2311,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
2312,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
2313,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
2314,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
2315,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,NULL
2316,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
2317,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Cropland
2318,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2319,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
2320,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Water,Wetland
2321,NULL,Cropland,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
2322,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,NULL,Cropland
2323,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2324,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
2325,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,NULL,Grassland
2326,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,NULL
2327,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2328,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2329,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
2330,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2331,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Water,NULL
2332,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
2333,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
2334,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Forest,Wetland
2335,NULL,Cropland,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
2336,NULL,Cropland,Forest,Water,Non_Wetland,Wetland,Water,Wetland
2337,NULL,Cropland,Forest,Water,Non_Wetland,Bareland,Wetland,Water
2338,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2339,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
2340,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2341,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
2342,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
2343,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
2344,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
2345,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
2346,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
2347,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
2348,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
2349,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,Forest
2350,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
2351,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
2352,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
2353,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
2354,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
2355,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
2356,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
2357,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
2358,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2359,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2360,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
2361,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2362,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
2363,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
2364,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
2365,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
2366,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Water
2367,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
2368,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
2369,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
2370,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Water
2371,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Wetland
2372,NULL,Wetland,NULL,Water,Non_Wetland,Bareland,Water,Wetland
2373,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2374,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2375,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
2376,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
2377,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
2378,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
2379,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
2380,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2381,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
2382,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2383,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
2384,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
2385,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2386,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2387,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2388,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2389,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
2390,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
2391,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2392,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2393,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
2394,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
2395,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
2396,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
2397,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
2398,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
2399,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
2400,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Built-up
2401,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
2402,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
2403,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
2404,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2405,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
2406,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
2407,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
2408,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
2409,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
2410,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
2411,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
2412,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,NULL
2413,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
2414,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2415,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2416,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
2417,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2418,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
2419,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,NULL
2420,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
2421,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
2422,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,NULL
2423,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
2424,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Water
2425,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Bareland
2426,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Grassland
2427,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Water,Wetland
2428,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,NULL
2429,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
2430,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
2431,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,NULL
2432,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
2433,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
2434,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Water,Wetland
2435,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
2436,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
2437,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2438,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
2439,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
2440,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2441,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland,Water,Wetland
2442,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
2443,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
2444,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
2445,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
2446,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
2447,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
2448,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
2449,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,NULL
2450,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Bareland,Wetland
2451,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
2452,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
2453,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
2454,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Bareland,Wetland
2455,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
2456,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
2457,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
2458,NULL,Wetland,Wetland,Water,Wetland,NULL,Water,Wetland
2459,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
2460,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
2461,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
2462,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
2463,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
2464,NULL,Wetland,Wetland,Water,Wetland,Bareland,Water,Wetland
2465,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
2466,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2467,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2468,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
2469,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
2470,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
2471,NULL,Wetland,Water,NULL,Water,NULL,Forest,Grassland
2472,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
2473,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Wetland
2474,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Water
2475,NULL,Wetland,Water,NULL,Water,Wetland,Forest,Wetland
2476,NULL,Wetland,Water,NULL,Water,Bareland,Water,NULL
2477,NULL,Wetland,Water,Non_Water,Water,NULL,Water,Wetland
2478,NULL,Wetland,Water,Non_Water,Water,Wetland,Wetland,NULL
2479,NULL,Wetland,Water,Non_Water,Water,Wetland,Wetland,Wetland
2480,NULL,Wetland,Water,Non_Water,Water,Wetland,Wetland,Water
2481,NULL,Wetland,Water,Non_Water,Water,Wetland,Bareland,Wetland
2482,NULL,Wetland,Water,Non_Water,Water,Wetland,Water,Wetland
2483,NULL,Wetland,Water,Non_Water,Water,Wetland,Water,Water
2484,NULL,Wetland,Water,Non_Water,Water,Wetland,Water,Forest
2485,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
2486,NULL,Wetland,Water,Water,Water,Wetland,Water,NULL
2487,NULL,Wetland,Water,Water,Water,Wetland,Water,Wetland
2488,NULL,Wetland,Water,Water,Water,Wetland,Water,Water
2489,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
2490,NULL,Wetland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2491,NULL,Wetland,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
2492,NULL,Wetland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2493,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
2494,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
2495,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
2496,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
2497,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2498,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,NULL
2499,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
2500,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
2501,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Water
2502,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Forest
2503,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
2504,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
2505,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
2506,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
2507,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Wetland,Wetland
2508,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
2509,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,NULL,Wetland
2510,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,NULL
2511,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2512,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2513,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
2514,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2515,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,NULL
2516,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
2517,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
2518,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Forest,NULL
2519,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,NULL
2520,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
2521,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Water
2522,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
2523,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Wetland
2524,NULL,Wetland,Forest,Water,Non_Wetland,Bareland,Water,Wetland
2525,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
2526,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
2527,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2528,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2529,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
2530,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2531,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Shrubland,Built-up
2532,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
2533,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2534,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2535,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2536,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
2537,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
2538,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
2539,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
2540,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
2541,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
2542,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2543,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
2544,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2545,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
2546,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
2547,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
2548,NULL,Built-up,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
2549,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
2550,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2551,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
2552,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
2553,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2554,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2555,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
2556,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2557,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2558,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
2559,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
2560,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2561,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
2562,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
2563,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
2564,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
2565,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
2566,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
2567,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
2568,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
2569,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
2570,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2571,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2572,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
2573,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
2574,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
2575,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
2576,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
2577,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Built-up,Forest
2578,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
2579,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
2580,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
2581,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
2582,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
2583,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2584,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
2585,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
2586,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
2587,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
2588,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
2589,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
2590,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
2591,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
2592,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
2593,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
2594,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
2595,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
2596,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
2597,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
2598,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
2599,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
2600,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
2601,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
2602,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
2603,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
2604,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
2605,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
2606,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
2607,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,Forest
2608,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
2609,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
2610,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
2611,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
2612,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
2613,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,Forest
2614,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2615,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2616,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
2617,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
