Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LEM_M_R
815,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
816,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
817,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
818,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
819,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
820,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
821,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
822,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
823,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Bareland
824,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
825,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
826,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
827,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
828,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
829,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
830,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
831,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
832,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
833,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
834,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
835,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
836,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
837,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
838,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
839,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
840,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
841,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
842,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
843,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
844,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,NULL
845,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
846,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Forest
847,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,NULL
848,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
849,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
850,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
851,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
852,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
853,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
854,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
855,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,NULL
856,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
857,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
858,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
859,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
860,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
861,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
862,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Water
863,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
864,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
865,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
866,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
867,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
868,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
869,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
870,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
871,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
872,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
873,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
874,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Water
875,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
876,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,NULL
877,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
878,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Bareland
879,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Built-up
880,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
881,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
882,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
883,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
884,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
885,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
886,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
887,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
888,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
889,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
890,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Water
891,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Forest
892,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
893,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
894,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
895,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
896,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
897,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
898,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Forest
899,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
900,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
901,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
902,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
903,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
904,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
905,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,Grassland
906,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
907,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
908,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
909,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Wetland,Grassland
910,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
911,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
912,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
913,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
914,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
915,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
916,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
917,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Forest
918,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,NULL
919,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
920,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
921,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Water
922,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Forest
923,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
924,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
925,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Grassland
926,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Water
927,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest,Grassland
928,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest,Forest
929,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
930,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
931,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
932,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
933,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
934,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
935,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
936,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
937,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
938,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
939,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
940,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
941,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
942,NULL,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Forest
943,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,NULL
944,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
945,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
946,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
947,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Forest
948,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
949,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
950,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
951,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
952,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
953,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Water
954,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
955,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
956,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
957,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
958,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
959,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Forest
960,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
961,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Forest
962,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
963,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
964,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
965,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
966,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
967,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
968,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
969,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
970,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Cropland
971,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
972,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Water
973,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Forest
974,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
975,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
976,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,Water
977,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
978,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
979,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
980,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
981,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Water
982,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
983,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,NULL
984,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
985,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
986,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
987,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Cropland
988,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
989,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Water
990,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
991,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
992,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Bareland
993,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Water
994,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Forest
995,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
996,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,Forest
997,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
998,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
999,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,Forest
1000,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
1001,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
1002,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
1003,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
1004,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Cropland
1005,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Water
1006,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water,Grassland
1007,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,NULL,Cropland
1008,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Shrubland,Forest
1009,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Forest
1010,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Water,NULL
1011,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Water,Grassland
1012,NULL,NULL,Cropland,Water,Non_Wetland,Shrubland,Water,Water
1013,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
1014,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Cropland
1015,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Forest
1016,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Shrubland,Grassland
1017,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,NULL
1018,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
1019,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Cropland
1020,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
1021,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
1022,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
1023,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Forest
1024,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Forest,Water
1025,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Grassland
1026,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Cropland
1027,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Water
1028,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Forest
1029,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Shrubland,Grassland
1030,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
1031,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Cropland
1032,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Water
1033,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
1034,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
1035,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
1036,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
1037,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
1038,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Cropland
1039,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Bareland
1040,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
1041,NULL,NULL,Cropland,Water,Non_Wetland,Water,NULL,Water
1042,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
1043,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
1044,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
1045,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
1046,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
1047,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,NULL
1048,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Grassland
1049,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Wetland
1050,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Forest
1051,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
1052,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
1053,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Cropland
1054,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Wetland
1055,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Water
1056,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
1057,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
1058,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
1059,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
1060,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
1061,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Grassland
1062,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Water
1063,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
1064,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,NULL
1065,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
1066,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
1067,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,NULL
1068,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
1069,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Wetland
1070,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Water
1071,NULL,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Forest
1072,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
1073,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
1074,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
1075,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Water
1076,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
1077,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
1078,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
1079,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Cropland
1080,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
1081,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Water
1082,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
1083,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
1084,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
1085,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
1086,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
1087,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,NULL
1088,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,Grassland
1089,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,Grassland
1090,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,Wetland
1091,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,Water
1092,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,Forest
1093,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,NULL
1094,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
1095,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Wetland
1096,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
1097,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
1098,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
1099,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
1100,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Water
1101,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
1102,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,NULL
1103,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
1104,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Cropland
1105,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Wetland
1106,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Water
1107,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
1108,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
1109,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1110,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Cropland
1111,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
1112,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Water
1113,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1114,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
1115,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1116,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Cropland
1117,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
1118,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1119,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
1120,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
1121,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
1122,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
1123,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
1124,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
1125,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
1126,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
1127,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
1128,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Water
1129,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
1130,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
1131,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
1132,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
1133,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Water
1134,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
1135,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
1136,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1137,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
1138,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Water
1139,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1140,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
1141,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1142,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1143,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
1144,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
1145,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1146,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,NULL
1147,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
1148,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
