Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LXE_M_R
871,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
872,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
873,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
874,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,NULL
875,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
876,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Forest
877,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,NULL
878,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
879,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Forest
880,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Water,Grassland
881,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Forest,Grassland
882,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
883,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
884,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
885,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
886,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
887,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,NULL
888,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
889,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Cropland
890,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Bareland
891,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Forest
892,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
893,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
894,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
895,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
896,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
897,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
898,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
899,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
900,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
901,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
902,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
903,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
904,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
905,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
906,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
907,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
908,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
909,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Cropland
910,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
911,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
912,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
913,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
914,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
915,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
916,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
917,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
918,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Bareland
919,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
920,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Forest
921,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
922,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
923,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
924,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
925,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
926,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
927,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
928,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
929,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Cropland
930,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
931,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
932,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
933,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
934,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
935,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
936,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
937,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
938,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
939,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
940,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
941,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
942,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
943,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Shrubland,Grassland
944,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Forest,Grassland
945,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
946,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
947,NULL,NULL,Water,NULL,Water,NULL,Grassland,Grassland
948,NULL,NULL,Water,NULL,Water,NULL,Grassland,Forest
949,NULL,NULL,Water,NULL,Water,NULL,Bareland,Forest
950,NULL,NULL,Water,NULL,Water,NULL,Water,Grassland
951,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,NULL
952,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Grassland
953,NULL,NULL,Water,NULL,Water,Shrubland,Shrubland,Forest
954,NULL,NULL,Water,NULL,Water,Shrubland,Grassland,Grassland
955,NULL,NULL,Water,NULL,Water,Shrubland,Grassland,Forest
956,NULL,NULL,Water,NULL,Water,Shrubland,Wetland,Grassland
957,NULL,NULL,Water,NULL,Water,Shrubland,Wetland,Wetland
958,NULL,NULL,Water,NULL,Water,Shrubland,Wetland,Forest
959,NULL,NULL,Water,NULL,Water,Shrubland,Water,Wetland
960,NULL,NULL,Water,NULL,Water,Shrubland,Water,Forest
961,NULL,NULL,Water,NULL,Water,Shrubland,Forest,Grassland
962,NULL,NULL,Water,NULL,Water,Shrubland,Forest,Wetland
963,NULL,NULL,Water,NULL,Water,Grassland,NULL,Grassland
964,NULL,NULL,Water,NULL,Water,Grassland,Shrubland,Grassland
965,NULL,NULL,Water,NULL,Water,Grassland,Shrubland,Water
966,NULL,NULL,Water,NULL,Water,Grassland,Shrubland,Forest
967,NULL,NULL,Water,NULL,Water,Grassland,Grassland,NULL
968,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
969,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
970,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
971,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Grassland
972,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Bareland
973,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Water
974,NULL,NULL,Water,NULL,Water,Grassland,Built-up,Forest
975,NULL,NULL,Water,NULL,Water,Grassland,Water,Grassland
976,NULL,NULL,Water,NULL,Water,Grassland,Water,Forest
977,NULL,NULL,Water,NULL,Water,Wetland,Wetland,NULL
978,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
979,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
980,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
981,NULL,NULL,Water,NULL,Water,Wetland,Water,Wetland
982,NULL,NULL,Water,NULL,Water,Bareland,Shrubland,Forest
983,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
984,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Water
985,NULL,NULL,Water,NULL,Water,Bareland,Bareland,NULL
986,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
987,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
988,NULL,NULL,Water,NULL,Water,Bareland,Water,NULL
989,NULL,NULL,Water,NULL,Water,Bareland,Water,Grassland
990,NULL,NULL,Water,NULL,Water,Bareland,Water,Bareland
991,NULL,NULL,Water,NULL,Water,Bareland,Forest,Grassland
992,NULL,NULL,Water,NULL,Water,Water,Grassland,Water
993,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
994,NULL,NULL,Water,NULL,Water,Water,Wetland,Wetland
995,NULL,NULL,Water,NULL,Water,Water,Wetland,Water
996,NULL,NULL,Water,NULL,Water,Water,Wetland,Forest
997,NULL,NULL,Water,NULL,Water,Water,Water,Wetland
998,NULL,NULL,Water,NULL,Water,Water,Water,Water
999,NULL,NULL,Water,NULL,Water,Forest,NULL,Forest
1000,NULL,NULL,Water,NULL,Water,Forest,Forest,NULL
1001,NULL,NULL,Water,NULL,Water,Forest,Forest,Forest
1002,NULL,NULL,Water,Non_Water,Water,NULL,Shrubland,Forest
1003,NULL,NULL,Water,Non_Water,Water,NULL,Wetland,Water
1004,NULL,NULL,Water,Non_Water,Water,Shrubland,Grassland,Grassland
1005,NULL,NULL,Water,Non_Water,Water,Shrubland,Wetland,Grassland
1006,NULL,NULL,Water,Non_Water,Water,Shrubland,Wetland,Wetland
1007,NULL,NULL,Water,Non_Water,Water,Shrubland,Water,Wetland
1008,NULL,NULL,Water,Non_Water,Water,Grassland,Shrubland,NULL
1009,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
1010,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
1011,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
1012,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
1013,NULL,NULL,Water,Non_Water,Water,Bareland,Forest,Grassland
1014,NULL,NULL,Water,Non_Water,Water,Bareland,Forest,Water
1015,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
1016,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
1017,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
1018,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
1019,NULL,NULL,Water,Water,Water,NULL,Grassland,Bareland
1020,NULL,NULL,Water,Water,Water,Shrubland,Wetland,Wetland
1021,NULL,NULL,Water,Water,Water,Shrubland,Water,NULL
1022,NULL,NULL,Water,Water,Water,Shrubland,Water,Water
1023,NULL,NULL,Water,Water,Water,Shrubland,Water,Forest
1024,NULL,NULL,Water,Water,Water,Grassland,Shrubland,Water
1025,NULL,NULL,Water,Water,Water,Grassland,Bareland,Water
1026,NULL,NULL,Water,Water,Water,Grassland,Water,Water
1027,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
1028,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
1029,NULL,NULL,Water,Water,Water,Bareland,Shrubland,Grassland
1030,NULL,NULL,Water,Water,Water,Bareland,Shrubland,Water
1031,NULL,NULL,Water,Water,Water,Bareland,Water,Water
1032,NULL,NULL,Water,Water,Water,Water,Shrubland,Water
1033,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
1034,NULL,NULL,Water,Water,Water,Water,Wetland,Water
1035,NULL,NULL,Water,Water,Water,Water,Water,Wetland
1036,NULL,NULL,Water,Water,Water,Water,Water,Water
1037,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1038,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1039,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1040,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1041,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1042,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
1043,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
1044,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
1045,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
1046,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
1047,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1048,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
1049,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1050,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
1051,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
1052,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
1053,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
1054,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
1055,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1056,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
1057,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
1058,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
1059,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1060,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1061,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1062,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
1063,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Water
1064,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1065,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
1066,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1067,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1068,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
1069,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1070,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Wetland
1071,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
1072,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
1073,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Grassland
1074,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Wetland
1075,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,Forest
1076,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
1077,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
1078,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
1079,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
1080,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1081,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
1082,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Bareland
1083,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1084,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
1085,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1086,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1087,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Water
1088,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
1089,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
1090,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1091,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1092,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
1093,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1094,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1095,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
1096,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1097,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1098,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
1099,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
1100,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
1101,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1102,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
1103,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1104,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
1105,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
1106,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
1107,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
1108,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,NULL
1109,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
1110,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
1111,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1112,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
1113,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
1114,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
1115,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1116,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
1117,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
1118,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
1119,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
1120,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1121,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1122,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
1123,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1124,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1125,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
1126,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1127,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,NULL
1128,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
1129,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1130,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
1131,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1132,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1133,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
1134,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
1135,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
1136,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
1137,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
1138,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1139,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
1140,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
1141,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1142,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1143,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
1144,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1145,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1146,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1147,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1148,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,Grassland
1149,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,NULL
1150,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1151,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
1152,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Water
1153,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1154,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Bareland
1155,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Wetland
1156,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
1157,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
1158,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
1159,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
1160,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Cropland
1161,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1162,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
1163,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
1164,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
1165,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
1166,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1167,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Cropland
1168,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1169,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
1170,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Wetland
1171,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1172,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
1173,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
1174,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
1175,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1176,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Cropland
1177,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1178,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
1179,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
1180,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
1181,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
1182,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
1183,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
1184,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
1185,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
1186,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Water,Wetland
1187,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Water,Water
1188,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1189,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Water
1190,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1191,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
1192,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Cropland
1193,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,NULL
1194,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1195,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1196,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
1197,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
1198,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1199,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
1200,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
1201,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Wetland,Grassland
1202,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,NULL
1203,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,Forest
1204,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Water,Wetland
1205,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
1206,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Water
1207,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Wetland
1208,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1209,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1210,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1211,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1212,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
1213,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
1214,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
1215,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
1216,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
