Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NYJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NYJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NYJ_M_R
30,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
38,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
39,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
40,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
41,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
42,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
43,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
44,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
45,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
46,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
47,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
48,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
49,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
50,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
51,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
52,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
57,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
62,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
63,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
64,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
65,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
66,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
67,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
68,NULL,NULL,Water,Water,Water,NULL,NULL,Water
69,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
70,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
76,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
78,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
81,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
82,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
87,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
89,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
91,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
92,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
94,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
95,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
96,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
97,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
98,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
99,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
100,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
101,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
104,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
105,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
106,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
107,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
108,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
110,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
112,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
113,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
115,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
117,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
119,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
120,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
121,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
122,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
123,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
124,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
125,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
126,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
127,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
128,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
129,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
130,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
131,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
132,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
133,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
134,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
137,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
138,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
139,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
140,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
141,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
142,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
143,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
149,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
151,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
152,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
153,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
154,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
160,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
161,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
163,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
164,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
165,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
166,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
167,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Built-up
168,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
169,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
170,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
173,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
174,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
176,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
177,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
178,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
180,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
182,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
186,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
189,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
190,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
191,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
192,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
193,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
194,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
195,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
196,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
197,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
198,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
199,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
200,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
201,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
202,NULL,Water,Water,Water,Water,NULL,NULL,Forest
203,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
204,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
205,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
206,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
207,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
208,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
209,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
211,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
212,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
213,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
214,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
215,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
216,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
217,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
218,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
219,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
220,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
221,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
222,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
223,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
224,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
225,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
226,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
227,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
229,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
230,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
231,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
232,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
233,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
234,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
235,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
236,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
238,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
239,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
240,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
241,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
242,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
243,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
244,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
245,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
246,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
247,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
248,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
249,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
250,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
251,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
252,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
253,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
254,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
255,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
256,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
257,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
258,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
259,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
260,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
261,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
262,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
263,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
264,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
265,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
266,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
267,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
268,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
269,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
270,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
271,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
272,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
273,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
274,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
275,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
276,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
277,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
278,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
279,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
280,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
281,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
282,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
283,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
284,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
285,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
286,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
287,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
288,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
289,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
290,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
291,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
292,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
293,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
294,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
295,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
296,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
297,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
298,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
299,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
300,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
301,Grassland,NULL,Water,NULL,Water,NULL,NULL,NULL
302,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
303,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
304,Grassland,NULL,Water,NULL,Water,NULL,NULL,Bareland
305,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
306,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
307,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
308,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
309,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
310,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
311,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
312,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
313,Grassland,NULL,Water,Water,Water,NULL,NULL,Bareland
314,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
315,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
316,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
317,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
318,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
319,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
320,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
321,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
322,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
323,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
324,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
325,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
326,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
327,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
328,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
329,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
330,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
331,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
332,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
333,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
334,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
335,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
336,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
337,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
338,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
339,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
340,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
341,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
