Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBE_M_R
65,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
66,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
67,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
68,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,NULL
69,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
70,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
71,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
72,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
73,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,NULL
74,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,NULL
75,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,NULL
76,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,NULL
77,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,NULL
78,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
79,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
80,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
81,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
82,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,NULL
83,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
84,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,NULL
85,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
86,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,NULL
87,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up,Grassland,NULL
88,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
89,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,NULL
90,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,NULL
91,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
92,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
93,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
94,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
95,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,NULL
96,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
97,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
98,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
99,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
100,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
101,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,NULL
102,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
103,NULL,NULL,Water,NULL,Water,Wetland,Forest,NULL
104,NULL,NULL,Water,NULL,Water,Bareland,Bareland,NULL
105,NULL,NULL,Water,NULL,Water,Water,Water,NULL
106,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
110,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
111,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
112,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
113,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
114,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
115,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
116,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
117,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
118,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
119,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
120,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
121,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,NULL
122,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,NULL
123,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,NULL
124,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
125,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,NULL
126,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
127,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
130,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
131,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
132,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
133,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
134,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
135,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
136,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,NULL
137,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
138,NULL,Wetland,NULL,NULL,Non_Wetland,Water,Water,NULL
139,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
140,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
141,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,NULL
142,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
143,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
144,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
145,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,NULL
146,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Water,NULL
147,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
148,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
149,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
150,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
151,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
152,NULL,Wetland,Bareland,NULL,Non_Wetland,Water,Grassland,NULL
153,NULL,Wetland,Bareland,NULL,Non_Wetland,Water,Water,NULL
154,NULL,Wetland,Water,NULL,Water,Wetland,Water,NULL
155,NULL,Wetland,Water,NULL,Water,Bareland,Water,NULL
156,NULL,Wetland,Water,NULL,Water,Water,Grassland,NULL
157,NULL,Wetland,Water,NULL,Water,Water,Water,NULL
158,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
159,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
160,NULL,Bareland,Wetland,NULL,Wetland,Water,Water,NULL
161,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
162,NULL,Bareland,Water,NULL,Water,Water,Water,NULL
163,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
164,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
165,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
166,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
167,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
170,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
171,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
172,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
173,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
174,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
175,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
176,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
177,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
178,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,NULL
179,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
180,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
181,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,NULL
182,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
183,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,NULL
184,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Bareland,NULL
185,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
186,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
187,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
188,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
189,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
190,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,NULL
191,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
192,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
193,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
194,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
195,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,NULL
196,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
197,NULL,Water,NULL,NULL,Non_Wetland,Wetland,Water,NULL
198,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
199,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
200,NULL,Water,NULL,NULL,Non_Wetland,Water,Wetland,NULL
201,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,NULL
202,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
203,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
204,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
205,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
206,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
207,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
208,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
209,NULL,Water,Wetland,NULL,Wetland,Grassland,Grassland,NULL
210,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
211,NULL,Water,Wetland,NULL,Wetland,Bareland,Bareland,NULL
212,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,NULL
213,NULL,Water,Wetland,NULL,Wetland,Bareland,Forest,NULL
214,NULL,Water,Wetland,NULL,Wetland,Water,Water,NULL
215,NULL,Water,Wetland,NULL,Wetland,Water,Forest,NULL
216,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
217,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
218,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
219,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,NULL
220,NULL,Water,Water,NULL,Water,Wetland,Water,NULL
221,NULL,Water,Water,NULL,Water,Bareland,Bareland,NULL
222,NULL,Water,Water,NULL,Water,Bareland,Water,NULL
223,NULL,Water,Water,NULL,Water,Water,Water,NULL
224,NULL,Water,Forest,NULL,Non_Wetland,NULL,Forest,NULL
225,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
226,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
227,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
228,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
229,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
230,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,NULL
231,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
232,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
233,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
234,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
235,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
236,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
237,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
238,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
239,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
240,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,NULL
241,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
242,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
243,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
244,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
245,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
246,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
247,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
248,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
249,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
250,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
251,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Bareland,NULL
252,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
253,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
254,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
255,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
256,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
257,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
258,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
259,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
260,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
261,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
262,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
263,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
264,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
265,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
266,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Bareland,NULL
267,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
268,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up,Forest,NULL
269,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
270,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Bareland,NULL
271,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
272,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,NULL
273,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest,NULL
274,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,NULL
275,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,NULL
276,NULL,Forest,Wetland,NULL,Wetland,Wetland,Bareland,NULL
277,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,NULL
278,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,NULL
279,NULL,Forest,Wetland,NULL,Wetland,Bareland,Bareland,NULL
280,NULL,Forest,Wetland,NULL,Wetland,Water,Bareland,NULL
281,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Bareland,NULL
282,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Forest,NULL
283,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
284,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
285,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
286,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
287,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Bareland,NULL
288,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
289,NULL,Forest,Water,NULL,Water,Bareland,Bareland,NULL
290,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
291,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
292,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,NULL
293,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
294,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
295,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
296,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
297,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Forest,NULL
298,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
299,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
300,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
301,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
302,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
303,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
304,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
305,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
306,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,NULL
307,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
308,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
309,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
310,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
311,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
312,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
313,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
314,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
315,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
316,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
317,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
318,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
319,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
320,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
321,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
322,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
323,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
324,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
325,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
326,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
327,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
328,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
329,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
330,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
331,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
332,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
333,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
334,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,NULL
335,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
336,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
