Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KTD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KTD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KTD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KTD_M_R
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
125,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
130,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
134,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
153,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
156,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
158,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Built-up
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Built-up
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Built-up
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Cropland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Built-up
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Built-up
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
208,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
209,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
210,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
211,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
212,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
213,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
214,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
215,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
216,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
217,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
218,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
219,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
220,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
221,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
222,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
223,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Built-up
224,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
225,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
227,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
228,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Forest
229,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
230,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
231,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
232,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Built-up
233,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
234,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Bareland
235,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
236,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
237,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
238,NULL,NULL,NULL,Water,Non_Wetland,Forest,Water,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
