Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MUC_M_R
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland,Grassland
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland,Bareland
73,NULL,NULL,Bareland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
77,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
78,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
79,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
80,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Bareland,Grassland
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
83,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Bareland,Grassland
84,NULL,NULL,Bareland,Water,Non_Wetland,Shrubland,Bareland,Grassland
85,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
90,NULL,NULL,Built-up,Water,Non_Wetland,Shrubland,Bareland,Grassland
91,NULL,NULL,Water,NULL,NULL,NULL,NULL,NULL
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
94,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water,Grassland
95,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
96,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
97,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
98,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
99,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
100,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
101,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
102,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
103,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
104,NULL,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
105,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,NULL,Grassland
106,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
107,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
108,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
109,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
110,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
112,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
115,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland,NULL
117,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
118,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,NULL
119,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
120,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
121,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
122,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
123,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
124,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
125,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
126,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
127,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
128,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
129,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
131,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
132,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
133,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
134,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
135,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
136,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
137,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
138,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Bareland
139,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
140,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
141,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
142,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
143,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
144,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
145,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
146,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
147,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
148,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
149,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
150,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
151,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
152,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
153,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
154,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
155,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
156,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,Built-up,Grassland
157,NULL,Built-up,Wetland,NULL,Wetland,Water,Water,Grassland
158,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Bareland,Bareland
159,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
160,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
161,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Bareland
162,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Built-up
163,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Grassland
164,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Built-up
165,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
166,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
167,NULL,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Grassland
168,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
169,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
170,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
171,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
172,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
173,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
174,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
175,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
176,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
177,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
178,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
181,NULL,Built-up,Built-up,Water,Non_Wetland,Shrubland,Built-up,Grassland
182,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Built-up,Bareland
183,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Built-up,Bareland
184,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
186,NULL,Water,Wetland,Water,Wetland,Grassland,Bareland,Bareland
187,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
188,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Built-up,Bareland
189,NULL,Water,Bareland,Water,Non_Wetland,Grassland,Bareland,Bareland
190,NULL,Water,Bareland,Water,Non_Wetland,Bareland,Built-up,Bareland
191,NULL,Water,Bareland,Water,Non_Wetland,Water,Bareland,Bareland
192,NULL,Water,Bareland,Water,Non_Wetland,Water,Bareland,Water
193,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
194,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
195,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
196,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
197,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
198,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
199,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
200,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
201,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
202,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
203,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
204,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
205,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
206,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
207,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
208,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
209,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
210,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
211,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
212,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
213,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
214,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland,Grassland
215,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
216,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
217,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
218,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
219,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
220,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
221,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
222,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
223,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
224,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
225,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
226,Grassland,Forest,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
227,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
228,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
229,Cropland,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
230,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
231,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
232,Cropland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
233,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
234,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
235,Cropland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
236,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
237,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
238,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
239,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
240,Wetland,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
241,Wetland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
242,Wetland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
243,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
244,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
245,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
246,Wetland,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
247,Wetland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
248,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
249,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
250,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
251,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
252,Wetland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
253,Wetland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
254,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
255,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
256,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
257,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
258,Wetland,NULL,Cropland,Water,Non_Wetland,NULL,Bareland,Grassland
259,Wetland,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
260,Wetland,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
261,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
262,Wetland,NULL,Wetland,NULL,Wetland,NULL,Bareland,Grassland
263,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
264,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,Grassland
265,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Bareland,Grassland
266,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland,Grassland
267,Wetland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
268,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
269,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
270,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
271,Wetland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
272,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
273,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
274,Wetland,Forest,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
275,Wetland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
276,Wetland,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
277,Wetland,Forest,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
278,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
279,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
280,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
281,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
282,Bareland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
283,Bareland,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
284,Bareland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
285,Bareland,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
286,Bareland,NULL,NULL,Water,Non_Wetland,Water,Bareland,Bareland
287,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Wetland
288,Bareland,NULL,Shrubland,Water,Non_Wetland,Water,Bareland,Bareland
289,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
290,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
291,Bareland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
292,Bareland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
293,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
294,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
295,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
296,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
297,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
298,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
299,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
300,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
301,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
302,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
303,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
304,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
305,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
306,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Wetland
307,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
308,Bareland,NULL,Wetland,NULL,Wetland,Grassland,Water,Bareland
309,Bareland,NULL,Wetland,Water,Wetland,NULL,Bareland,Bareland
310,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland,Grassland
311,Bareland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
312,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
313,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Bareland
314,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Bareland
315,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
316,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
317,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
