Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUT_M_R
291,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
292,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
293,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
294,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
295,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
296,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
297,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
298,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
299,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
300,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
301,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
302,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
303,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
304,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
305,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
306,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
307,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
308,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
309,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
310,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
311,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
312,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
313,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
314,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
315,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
316,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
317,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
318,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
319,NULL,Built-up,Cropland,Water,Non_Wetland,Water
320,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
321,NULL,Built-up,Wetland,NULL,Wetland,Grassland
322,NULL,Built-up,Wetland,NULL,Wetland,Water
323,NULL,Built-up,Wetland,NULL,Wetland,Forest
324,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
325,NULL,Built-up,Wetland,Non_Water,Wetland,Water
326,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
327,NULL,Built-up,Wetland,Water,Wetland,Grassland
328,NULL,Built-up,Wetland,Water,Wetland,Bareland
329,NULL,Built-up,Wetland,Water,Wetland,Built-up
330,NULL,Built-up,Wetland,Water,Wetland,Water
331,NULL,Built-up,Wetland,Water,Wetland,Forest
332,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
333,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
334,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
335,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
336,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
337,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
338,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
339,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
340,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
341,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
342,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
343,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
344,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
345,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
346,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
347,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
348,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
349,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
350,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
351,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
352,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
353,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
354,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
355,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
356,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
357,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
358,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
359,NULL,Built-up,Built-up,Water,Non_Wetland,Water
360,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
361,NULL,Built-up,Water,NULL,Water,Grassland
362,NULL,Built-up,Water,NULL,Water,Bareland
363,NULL,Built-up,Water,NULL,Water,Built-up
364,NULL,Built-up,Water,NULL,Water,Water
365,NULL,Built-up,Water,NULL,Water,Forest
366,NULL,Built-up,Water,Non_Water,Water,Bareland
367,NULL,Built-up,Water,Non_Water,Water,Water
368,NULL,Built-up,Water,Non_Water,Water,Forest
369,NULL,Built-up,Water,Water,Water,Grassland
370,NULL,Built-up,Water,Water,Water,Bareland
371,NULL,Built-up,Water,Water,Water,Water
372,NULL,Built-up,Water,Water,Water,Forest
373,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
374,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
375,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
376,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
377,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
378,NULL,Built-up,Forest,NULL,Non_Wetland,Water
379,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
380,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
381,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
382,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
383,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
384,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
385,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
386,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
387,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
388,NULL,Built-up,Forest,Water,Non_Wetland,Built-up
389,NULL,Built-up,Forest,Water,Non_Wetland,Water
390,NULL,Built-up,Forest,Water,Non_Wetland,Forest
391,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
392,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
393,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
394,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
395,NULL,Water,Shrubland,NULL,Non_Wetland,Water
396,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
397,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
398,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
399,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
400,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
401,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
402,NULL,Water,Shrubland,Water,Non_Wetland,Water
403,NULL,Water,Shrubland,Water,Non_Wetland,Forest
404,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
405,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
406,NULL,Water,Grassland,NULL,Non_Wetland,Water
407,NULL,Water,Grassland,NULL,Non_Wetland,Forest
408,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
409,NULL,Water,Grassland,Water,Non_Wetland,Grassland
410,NULL,Water,Grassland,Water,Non_Wetland,Water
411,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
412,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
413,NULL,Water,Cropland,NULL,Non_Wetland,Built-up
414,NULL,Water,Cropland,NULL,Non_Wetland,Water
415,NULL,Water,Cropland,NULL,Non_Wetland,Forest
416,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
417,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
418,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
419,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
420,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
421,NULL,Water,Cropland,Water,Non_Wetland,Grassland
422,NULL,Water,Cropland,Water,Non_Wetland,Cropland
423,NULL,Water,Cropland,Water,Non_Wetland,Bareland
424,NULL,Water,Cropland,Water,Non_Wetland,Water
425,NULL,Water,Cropland,Water,Non_Wetland,Forest
426,NULL,Water,Wetland,NULL,Wetland,Grassland
427,NULL,Water,Wetland,NULL,Wetland,Bareland
428,NULL,Water,Wetland,NULL,Wetland,Water
429,NULL,Water,Wetland,NULL,Wetland,Forest
430,NULL,Water,Wetland,Non_Water,Wetland,Grassland
431,NULL,Water,Wetland,Non_Water,Wetland,Cropland
