Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZC_M_R
82,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
83,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
84,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
87,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
88,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
89,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
90,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
91,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
92,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
93,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
94,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
96,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
97,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
100,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
101,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
102,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
103,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
104,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
105,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
106,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
107,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
108,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
109,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
110,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
111,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
112,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
113,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
114,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
115,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
116,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
117,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
118,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
119,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
120,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
121,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
122,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
123,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
124,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
125,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
126,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
127,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
128,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
129,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
130,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
131,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
132,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
133,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
134,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
135,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
136,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
137,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
138,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
139,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
140,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
141,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
142,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
143,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
144,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
145,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
146,Grassland,Water,Water,Water,Water,NULL,NULL,Water
147,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
148,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
149,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
151,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
152,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
153,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
154,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
155,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
156,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
157,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
158,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
159,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
160,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
161,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
162,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
163,Grassland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
164,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
165,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
166,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
167,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
168,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
169,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
170,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
171,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
172,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
173,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
174,Cropland,Cropland,Water,Water,Water,NULL,NULL,Water
175,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
176,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
177,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
178,Cropland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
179,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
180,Cropland,Bareland,Water,Water,Water,NULL,NULL,Water
181,Cropland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
182,Cropland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
183,Cropland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
184,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
185,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
186,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Water
187,Cropland,Water,Water,Water,Water,NULL,NULL,Water
188,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
189,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
190,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
191,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
192,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
193,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
194,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
195,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
196,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
197,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
198,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
199,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
200,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
201,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
202,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
203,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
204,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
205,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
206,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
207,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
208,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
209,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
210,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
211,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
212,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
213,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
214,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
215,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
216,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
217,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
218,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
219,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
220,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
221,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
222,Wetland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
224,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
225,Wetland,Water,Water,Water,Water,NULL,NULL,Water
226,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
227,Wetland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
228,Wetland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
229,Wetland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
230,Wetland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
231,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
232,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
233,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
234,Wetland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
235,Wetland,Forest,Water,Non_Water,Water,NULL,NULL,Water
236,Wetland,Forest,Water,Water,Water,NULL,NULL,Water
237,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
238,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
239,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
240,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
241,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
242,Bareland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
243,Bareland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
244,Bareland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
245,Bareland,Cropland,Water,Non_Water,Water,NULL,NULL,Water
246,Bareland,Cropland,Water,Water,Water,NULL,NULL,Water
247,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
248,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
249,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
250,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
251,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
252,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
253,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
254,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
255,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
256,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
257,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
258,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
259,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
260,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
261,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
262,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
263,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
264,Bareland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
265,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
266,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
267,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
268,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
269,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
270,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
271,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
272,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
273,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
274,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
275,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
276,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
277,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
278,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
279,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
280,Bareland,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
281,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Bareland
282,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
283,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Forest
284,Bareland,Water,Water,Water,Water,NULL,NULL,Grassland
285,Bareland,Water,Water,Water,Water,NULL,NULL,Water
286,Bareland,Water,Water,Water,Water,NULL,NULL,Forest
287,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
288,Bareland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
289,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
290,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
291,Bareland,Forest,Water,Non_Water,Water,NULL,NULL,Water
292,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
293,Water,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
294,Water,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
295,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
296,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
297,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
298,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
299,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
300,Water,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
301,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
302,Water,NULL,Water,Water,Water,NULL,NULL,Water
303,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
304,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
305,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
306,Water,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
307,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
308,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
309,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
310,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
311,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
312,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
313,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
314,Water,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Water
315,Water,Wetland,Water,NULL,Water,NULL,NULL,Water
316,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
317,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
318,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
319,Water,Wetland,Water,Water,Water,NULL,NULL,Water
320,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
321,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
322,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
323,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
324,Water,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
325,Water,Bareland,Water,Water,Water,NULL,NULL,Grassland
326,Water,Bareland,Water,Water,Water,NULL,NULL,Water
327,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
328,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
329,Water,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
330,Water,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
331,Water,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
332,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
333,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
334,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
335,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
336,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
337,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
338,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
339,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
340,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
341,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
342,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
343,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
344,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
345,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
346,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
347,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
348,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
349,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
350,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
351,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
352,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
353,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
