Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MQD_M_R
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
162,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
163,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Forest
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Bareland,Grassland
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Grassland
186,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
187,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
188,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
189,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
190,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
191,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
192,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
193,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
194,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
195,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
196,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
197,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
198,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Forest,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
200,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Water
207,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
208,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
211,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
212,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
215,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
216,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
217,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
220,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
223,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
225,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Forest
228,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
230,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
232,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
233,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
234,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
235,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
236,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
237,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Forest
238,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
239,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
240,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
241,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
242,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
243,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
244,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
245,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
246,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
247,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
248,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
249,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Wetland
250,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Forest
251,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
252,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
253,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Wetland
254,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
255,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
256,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Forest,Grassland
257,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Forest,Forest
258,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
259,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
260,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
261,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
262,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
263,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Forest
264,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
265,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
266,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
267,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Forest
268,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Grassland
269,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
270,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
271,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
272,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Forest
273,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
274,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Wetland
275,NULL,NULL,Grassland,Water,Non_Wetland,Water,Forest,Grassland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
277,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
278,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
280,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
282,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
284,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
286,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
287,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
288,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
289,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
290,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
291,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
292,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
293,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
294,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
295,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
296,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Built-up
297,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
298,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
299,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
300,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
301,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
302,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
303,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
304,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
305,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
306,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
307,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
308,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
309,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
310,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
311,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Built-up
312,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
313,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
314,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
315,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
316,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
317,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
318,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
319,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
320,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
321,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Wetland
322,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
323,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
324,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
325,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
326,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
327,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Grassland
328,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
