Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLA_M_R
103,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
104,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
105,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
106,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
107,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
108,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
109,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
110,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
112,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
113,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Grassland
114,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Wetland
115,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
116,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
117,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
118,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
119,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
120,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
121,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
122,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
123,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
124,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
125,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
126,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Water,Grassland
127,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
128,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
129,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
130,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
131,NULL,NULL,Water,Water,Water,Grassland,Water,Wetland
132,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
133,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
134,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
135,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
136,NULL,NULL,Water,Water,Water,Wetland,Water,Water
137,NULL,NULL,Water,Water,Water,Water,Water,Grassland
138,NULL,NULL,Water,Water,Water,Water,Water,Wetland
139,NULL,NULL,Water,Water,Water,Water,Water,Water
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
141,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
142,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
143,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
144,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
145,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
146,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
147,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
148,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
149,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
150,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
151,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
153,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
154,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
155,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
156,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
157,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
158,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
159,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
161,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
162,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
163,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
164,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
165,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
166,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
167,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
168,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
169,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
170,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
171,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
172,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
173,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
174,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
175,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
176,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
177,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
178,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
179,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
180,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Wetland
181,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Wetland
182,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
183,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
184,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
185,NULL,Wetland,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
186,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
187,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
188,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
189,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
190,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
191,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
192,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
193,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
194,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
195,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
196,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
197,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
198,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
199,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
200,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
201,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
202,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
203,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
204,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
205,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
206,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
207,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
208,NULL,Wetland,Wetland,Water,Wetland,Grassland,Water,Wetland
209,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
210,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
211,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
212,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
213,NULL,Wetland,Wetland,Water,Wetland,Built-up,Wetland,Wetland
214,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
215,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
216,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
217,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
218,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
219,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
220,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
221,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
222,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
223,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
224,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
225,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
226,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
227,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
228,NULL,Wetland,Water,Non_Water,Water,Wetland,Water,Grassland
229,NULL,Wetland,Water,Non_Water,Water,Wetland,Water,Forest
230,NULL,Wetland,Water,Water,Water,Grassland,Water,Wetland
231,NULL,Wetland,Water,Water,Water,Grassland,Water,Water
232,NULL,Wetland,Water,Water,Water,Wetland,Water,Wetland
233,NULL,Wetland,Water,Water,Water,Wetland,Water,Water
234,NULL,Wetland,Water,Water,Water,Water,Water,Grassland
235,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
236,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
237,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
238,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
239,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
240,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
241,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
242,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
243,NULL,Wetland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
244,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
245,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
246,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
247,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
248,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Bareland,Grassland
249,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Bareland,Forest
250,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Grassland
251,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Wetland
252,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
253,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
254,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
255,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
256,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
257,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
258,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
259,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Water,Forest
260,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
261,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
262,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
263,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
264,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Water,Forest
265,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
266,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
267,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
268,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
269,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
270,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
271,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
272,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
273,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
274,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,Forest
275,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
276,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
277,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
278,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
279,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
280,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
281,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
282,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
283,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
284,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Water,Forest
285,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Water,Grassland
286,NULL,Built-up,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
287,NULL,Built-up,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
288,NULL,Built-up,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
289,NULL,Built-up,NULL,Water,Non_Wetland,Built-up,Bareland,Grassland
290,NULL,Built-up,NULL,Water,Non_Wetland,Built-up,Water,Grassland
291,NULL,Built-up,NULL,Water,Non_Wetland,Water,Wetland,Grassland
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
294,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
298,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
299,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
300,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
301,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
302,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
303,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
304,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
305,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
306,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
307,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
308,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
309,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
310,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
311,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
312,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
313,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
314,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
315,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
316,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
317,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
318,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
319,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
320,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
321,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
322,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
323,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
324,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
325,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
326,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
327,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
328,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
329,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
330,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
331,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
332,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
333,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
