Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCV_M_R
84,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
85,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
86,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Forest
87,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
88,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
89,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
90,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
91,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
92,NULL,NULL,Cropland,Water,Non_Wetland,Water,Wetland,Water
93,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
94,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Water
96,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
97,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Water
98,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
99,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
100,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
101,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
102,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
103,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
104,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Forest,Grassland
105,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
106,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
107,NULL,NULL,Wetland,Water,Wetland,Grassland,NULL,Water
108,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
109,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
110,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
111,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
112,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
113,NULL,NULL,Wetland,Water,Wetland,Cropland,NULL,Water
114,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Grassland
115,NULL,NULL,Wetland,Water,Wetland,Wetland,NULL,Water
116,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
117,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
118,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
119,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
120,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
121,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
122,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
123,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
124,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
125,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
126,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
127,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
128,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
129,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
130,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
131,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
132,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,NULL,Grassland
133,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,NULL,Water
134,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
135,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Water
136,NULL,NULL,Built-up,Water,Non_Wetland,Water,Water,Water
137,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Grassland
138,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
139,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
140,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
141,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
142,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
143,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
144,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
145,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
146,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
147,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
148,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
149,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
150,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
151,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
152,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
153,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
154,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
155,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
156,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
157,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
158,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
159,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
160,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
161,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
162,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
163,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
164,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
165,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
166,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
167,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Bareland
168,NULL,Cropland,Built-up,Water,Non_Wetland,Water,Water,Water
169,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
170,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
171,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
172,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland,NULL,Water
173,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland,NULL,Water
174,NULL,Bareland,Wetland,NULL,Wetland,Grassland,NULL,Water
175,NULL,Bareland,Wetland,Water,Wetland,Grassland,NULL,Water
176,NULL,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
177,NULL,Bareland,Wetland,Water,Wetland,Grassland,Water,Grassland
178,NULL,Bareland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
179,NULL,Bareland,Wetland,Water,Wetland,Wetland,Water,Water
180,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
181,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland,NULL,Water
182,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
183,NULL,Bareland,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
184,NULL,Bareland,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
185,NULL,Bareland,Built-up,Water,Non_Wetland,Wetland,Wetland,Bareland
186,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
187,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
188,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
197,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
198,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
199,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
200,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
201,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
202,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
203,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
204,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
205,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
206,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
207,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
208,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
209,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,Wetland,Bareland
210,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
211,NULL,Built-up,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
212,NULL,Built-up,Wetland,Non_Water,Wetland,Water,Wetland,Water
213,NULL,Built-up,Wetland,Water,Wetland,Grassland,Water,Forest
214,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
215,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
216,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
217,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
218,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
219,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
220,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
221,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Built-up
222,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
223,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
224,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
225,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
226,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
227,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
228,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Forest
229,NULL,Water,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
230,NULL,Water,NULL,Water,Non_Wetland,Wetland,Water,Water
231,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
232,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
233,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
234,NULL,Water,Shrubland,Water,Non_Wetland,Cropland,Water,Bareland
235,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
236,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
237,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Bareland
238,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
239,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
240,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
241,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Water
242,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
243,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
244,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Water
245,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
246,NULL,Water,Wetland,NULL,Wetland,Water,Water,Bareland
247,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
248,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
249,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
250,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
251,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
252,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Bareland
253,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
254,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Forest
255,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
256,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
257,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
258,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Bareland
259,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
260,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Forest
261,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
262,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
263,NULL,Water,Wetland,Water,Wetland,Water,Water,Bareland
264,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
265,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,Bareland
266,NULL,Water,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
267,NULL,Water,Built-up,Water,Non_Wetland,Wetland,Water,Water
268,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Water
269,NULL,Water,Water,Water,Water,Grassland,Bareland,Forest
270,NULL,Water,Water,Water,Water,Wetland,Water,Forest
271,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
272,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
273,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
274,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
275,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
276,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
277,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
278,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
279,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
280,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
281,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
282,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
283,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
284,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
285,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
286,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
287,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
288,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
289,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
290,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
291,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
292,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
293,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
294,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
295,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
296,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
297,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
298,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Water,Forest
299,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
300,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
301,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
302,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
303,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
304,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
305,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
306,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
307,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
308,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
309,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
310,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
311,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
312,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
313,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
314,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
315,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
316,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
317,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
318,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
319,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
320,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
321,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
322,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
323,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
324,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
325,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
326,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
327,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
328,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
329,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
330,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
331,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
332,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
333,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
334,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
