Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KQQ_M_R
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Water
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
115,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
119,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
122,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Bareland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
125,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Wetland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Built-up
129,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Wetland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Built-up,Wetland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Built-up
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Wetland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Wetland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
168,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
170,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
171,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
172,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
173,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
174,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
175,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
176,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
177,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
178,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Built-up
179,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
180,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
181,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
182,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
183,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
184,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
185,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Wetland
186,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
187,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
188,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
189,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
190,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Bareland
191,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
192,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Wetland
193,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
194,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
195,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
196,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Water
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Wetland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
