Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NMK_M_R
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
114,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
115,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
116,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
118,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
119,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
120,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
121,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Water
122,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
123,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
124,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
125,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
126,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
127,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
128,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
129,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
130,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
131,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
132,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
133,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
134,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
135,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
136,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
137,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
138,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
139,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,NULL
140,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
141,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
142,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,NULL
143,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
144,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
145,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
146,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
147,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
148,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
149,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
150,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
151,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Water,Forest
153,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Water
154,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
155,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
156,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Water
157,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Forest
158,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Grassland,Grassland
159,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Grassland,Forest
160,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Water
161,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
162,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
163,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Water
164,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
165,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Forest,Forest
166,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
167,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
168,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
169,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
170,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
171,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
172,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
173,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
174,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
175,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Forest,Grassland
176,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
177,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
178,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
179,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
180,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
181,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
182,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Grassland,Forest
183,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
184,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
185,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
186,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
187,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
188,NULL,Wetland,Water,NULL,Water,Bareland,Bareland,Grassland
189,NULL,Wetland,Water,NULL,Water,Bareland,Bareland,Bareland
190,NULL,Wetland,Water,NULL,Water,Bareland,Bareland,Water
191,NULL,Wetland,Water,Non_Water,Water,Bareland,Bareland,Grassland
192,NULL,Wetland,Water,Water,Water,Bareland,Bareland,Grassland
193,NULL,Wetland,Water,Water,Water,Bareland,Bareland,Bareland
194,NULL,Wetland,Water,Water,Water,Bareland,Bareland,Water
195,NULL,Wetland,Water,Water,Water,Water,Bareland,Bareland
196,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
197,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
198,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
199,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
200,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
201,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
202,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
203,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Grassland
204,NULL,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
205,NULL,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
206,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
207,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
208,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
209,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
210,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
211,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
212,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
213,NULL,Bareland,Water,NULL,Water,Bareland,Bareland,Grassland
214,NULL,Bareland,Water,NULL,Water,Bareland,Bareland,Bareland
215,NULL,Bareland,Water,Water,Water,Bareland,Bareland,Forest
216,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
217,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
218,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
219,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
220,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
221,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
223,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
225,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
226,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
231,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
232,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
233,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
234,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
235,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
236,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
237,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
238,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
241,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
242,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
243,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
244,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
245,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
246,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
247,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
248,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
249,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
250,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
251,NULL,Built-up,Wetland,Water,Wetland,Bareland,Bareland,Bareland
252,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
254,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Grassland
255,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Bareland
256,NULL,Built-up,Water,Non_Water,Water,Bareland,Bareland,Grassland
257,NULL,Built-up,Water,Water,Water,Bareland,Bareland,Grassland
258,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
259,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
260,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
262,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
263,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
264,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
265,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
266,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
267,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
268,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
269,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
270,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
271,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
272,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Built-up
273,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
274,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
275,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
276,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
277,NULL,Built-up,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
278,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
279,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
280,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
281,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
282,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
283,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
284,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
285,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
286,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Bareland,Water
287,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
288,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
289,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
290,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
291,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
292,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
293,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
294,NULL,Water,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
295,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
296,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
297,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
298,NULL,Water,Wetland,NULL,Wetland,Bareland,Forest,Water
299,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
300,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
301,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
302,NULL,Water,Wetland,Water,Wetland,Bareland,Bareland,Grassland
303,NULL,Water,Water,NULL,Water,NULL,NULL,Water
304,NULL,Water,Water,NULL,Water,Bareland,Bareland,Bareland
305,NULL,Water,Water,NULL,Water,Bareland,Bareland,Water
306,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
307,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
308,NULL,Water,Water,Water,Water,NULL,NULL,Water
309,NULL,Water,Water,Water,Water,Bareland,Wetland,Water
310,NULL,Water,Water,Water,Water,Bareland,Bareland,Bareland
311,NULL,Water,Water,Water,Water,Bareland,Bareland,Water
312,NULL,Water,Water,Water,Water,Bareland,Water,Water
313,NULL,Water,Water,Water,Water,Water,Water,Water
314,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
315,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
316,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Water
317,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
318,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
319,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
320,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
321,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
322,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
323,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
324,NULL,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
325,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
326,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
327,NULL,Water,Forest,Water,Non_Wetland,Bareland,Grassland,Grassland
328,NULL,Water,Forest,Water,Non_Wetland,Bareland,Grassland,Water
329,NULL,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
330,NULL,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Water
331,NULL,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
332,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
333,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
334,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
335,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
336,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
337,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
