Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRG_M_R
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
114,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
115,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Bareland
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
122,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
123,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
124,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
125,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
126,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
127,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
128,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
129,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
130,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
131,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
132,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
133,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
134,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
135,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
136,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
137,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
138,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
139,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
154,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
156,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
157,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
159,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
166,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
169,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
172,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
175,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
176,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
182,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
184,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
185,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
186,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland,Grassland
187,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland,Forest
188,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
190,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
191,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
192,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Forest,Grassland
193,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
194,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
195,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
196,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
197,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
198,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
199,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
200,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
201,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
202,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
205,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
206,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
207,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
208,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
209,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
210,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
211,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
212,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
213,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
214,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
215,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
216,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
217,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
218,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
219,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
220,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
221,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
222,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
223,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
224,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
225,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
226,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
227,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
228,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
229,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
230,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
231,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
232,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
233,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
234,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
235,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
236,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Grassland
237,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
238,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
239,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
240,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
241,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
242,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
243,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
244,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
245,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
246,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
247,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
248,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
249,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
250,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
251,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
252,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
253,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
254,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
255,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
256,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
257,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
258,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
259,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Bareland
260,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
261,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
262,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
263,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
264,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
265,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Grassland
266,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
267,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
268,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
269,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
270,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
271,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
272,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
273,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
274,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
275,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
276,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Grassland,Forest
277,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
278,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
279,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
280,NULL,NULL,Water,NULL,Water,Water,Wetland,Water
281,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
282,NULL,NULL,Water,NULL,Water,Water,Water,Bareland
283,NULL,NULL,Water,NULL,Water,Water,Water,Water
284,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
285,NULL,NULL,Water,Non_Water,Water,Wetland,Grassland,Grassland
286,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
287,NULL,NULL,Water,Water,Water,Grassland,Grassland,Grassland
288,NULL,NULL,Water,Water,Water,Grassland,Grassland,Forest
289,NULL,NULL,Water,Water,Water,Wetland,Grassland,Grassland
290,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
291,NULL,NULL,Water,Water,Water,Water,Grassland,Grassland
292,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
293,NULL,NULL,Water,Water,Water,Water,Water,Grassland
294,NULL,NULL,Water,Water,Water,Water,Water,Bareland
295,NULL,NULL,Water,Water,Water,Water,Water,Water
296,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
297,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
298,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
299,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
300,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
301,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
302,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
303,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
304,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
305,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
306,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
307,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
308,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
309,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
310,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
311,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
312,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
313,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
314,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
315,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
316,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
317,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
318,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
319,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
320,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
321,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
322,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
323,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
324,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
325,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
326,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
327,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
328,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
