Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVA_M_R
297,Water,Water,Built-up,NULL,Non_Wetland,Grassland
298,Water,Water,Built-up,NULL,Non_Wetland,Water
299,Water,Water,Water,NULL,Water,Grassland
300,Water,Water,Water,NULL,Water,Water
301,Water,Water,Water,NULL,Water,Forest
302,Water,Water,Water,Non_Water,Water,Water
303,Water,Water,Water,Non_Water,Water,Forest
304,Water,Water,Water,Water,Water,Grassland
305,Water,Water,Water,Water,Water,Water
306,Water,Water,Water,Water,Water,Forest
307,Water,Water,Forest,NULL,Non_Wetland,Grassland
308,Water,Water,Forest,NULL,Non_Wetland,Wetland
309,Water,Water,Forest,NULL,Non_Wetland,Water
310,Water,Water,Forest,NULL,Non_Wetland,Forest
311,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
312,Water,Water,Forest,Non_Water,Non_Wetland,Water
313,Water,Water,Forest,Non_Water,Non_Wetland,Forest
314,Water,Water,Forest,Water,Non_Wetland,Grassland
315,Water,Water,Forest,Water,Non_Wetland,Water
316,Water,Water,Forest,Water,Non_Wetland,Forest
317,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
318,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
319,Water,Forest,Wetland,NULL,Wetland,Grassland
320,Water,Forest,Forest,NULL,Non_Wetland,Grassland
321,Water,Forest,Forest,NULL,Non_Wetland,Wetland
322,Water,Forest,Forest,NULL,Non_Wetland,Forest
323,Forest,NULL,NULL,NULL,Non_Wetland,NULL
324,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
325,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
326,Forest,NULL,NULL,NULL,Non_Wetland,Forest
327,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
328,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
329,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
330,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
331,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
332,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
333,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
334,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
335,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
336,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland
337,Forest,NULL,Grassland,Water,Non_Wetland,Grassland
338,Forest,NULL,Grassland,Water,Non_Wetland,Forest
339,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
340,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
341,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland
342,Forest,NULL,Wetland,NULL,Wetland,NULL
343,Forest,NULL,Wetland,NULL,Wetland,Grassland
344,Forest,NULL,Wetland,NULL,Wetland,Wetland
345,Forest,NULL,Wetland,NULL,Wetland,Water
346,Forest,NULL,Wetland,NULL,Wetland,Forest
347,Forest,NULL,Wetland,Non_Water,Wetland,Grassland
348,Forest,NULL,Wetland,Non_Water,Wetland,Water
349,Forest,NULL,Wetland,Non_Water,Wetland,Forest
350,Forest,NULL,Wetland,Water,Wetland,Grassland
351,Forest,NULL,Wetland,Water,Wetland,Water
352,Forest,NULL,Wetland,Water,Wetland,Forest
353,Forest,NULL,Bareland,NULL,Non_Wetland,Built-up
354,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
355,Forest,NULL,Water,Non_Water,Water,Grassland
356,Forest,NULL,Water,Non_Water,Water,Water
357,Forest,NULL,Water,Water,Water,Grassland
358,Forest,NULL,Water,Water,Water,Water
359,Forest,NULL,Water,Water,Water,Forest
360,Forest,NULL,Forest,NULL,Non_Wetland,NULL
361,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
362,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
363,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
364,Forest,NULL,Forest,NULL,Non_Wetland,Forest
365,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
366,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
367,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
368,Forest,Wetland,Shrubland,NULL,Non_Wetland,Grassland
369,Forest,Wetland,Shrubland,NULL,Non_Wetland,Wetland
370,Forest,Wetland,Shrubland,NULL,Non_Wetland,Built-up
371,Forest,Wetland,Shrubland,NULL,Non_Wetland,Forest
372,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
373,Forest,Wetland,Cropland,NULL,Non_Wetland,Grassland
374,Forest,Wetland,Cropland,NULL,Non_Wetland,Forest
375,Forest,Wetland,Wetland,NULL,Wetland,NULL
376,Forest,Wetland,Wetland,NULL,Wetland,Grassland
377,Forest,Wetland,Wetland,NULL,Wetland,Wetland
378,Forest,Wetland,Wetland,NULL,Wetland,Water
379,Forest,Wetland,Wetland,NULL,Wetland,Forest
380,Forest,Wetland,Wetland,Non_Water,Wetland,Forest
381,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
382,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland
383,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland
384,Forest,Wetland,Forest,NULL,Non_Wetland,Water
385,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
386,Forest,Wetland,Forest,Non_Water,Non_Wetland,Grassland
387,Forest,Bareland,Shrubland,NULL,Non_Wetland,Forest
388,Forest,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
389,Forest,Bareland,Grassland,NULL,Non_Wetland,Grassland
390,Forest,Bareland,Cropland,NULL,Non_Wetland,Forest
391,Forest,Bareland,Forest,NULL,Non_Wetland,Forest
392,Forest,Bareland,Forest,Non_Water,Non_Wetland,Forest
393,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
394,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up
395,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
396,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
397,Forest,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
398,Forest,Built-up,Shrubland,Water,Non_Wetland,Forest
399,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest
400,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
401,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up
402,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
403,Forest,Built-up,Cropland,Non_Water,Non_Wetland,Forest
404,Forest,Built-up,Wetland,NULL,Wetland,Grassland
405,Forest,Built-up,Wetland,NULL,Wetland,Forest
406,Forest,Built-up,Wetland,Non_Water,Wetland,Grassland
407,Forest,Built-up,Wetland,Non_Water,Wetland,Forest
408,Forest,Built-up,Wetland,Water,Wetland,Grassland
409,Forest,Built-up,Wetland,Water,Wetland,Built-up
410,Forest,Built-up,Wetland,Water,Wetland,Forest
411,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland
412,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up
413,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
414,Forest,Built-up,Built-up,Water,Non_Wetland,Forest
415,Forest,Built-up,Water,NULL,Water,Forest
416,Forest,Built-up,Water,Non_Water,Water,Forest
417,Forest,Built-up,Water,Water,Water,Forest
418,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
419,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up
420,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
421,Forest,Built-up,Forest,Water,Non_Wetland,Grassland
422,Forest,Built-up,Forest,Water,Non_Wetland,Forest
423,Forest,Water,NULL,NULL,Non_Wetland,Grassland
424,Forest,Water,NULL,NULL,Non_Wetland,Water
425,Forest,Water,NULL,NULL,Non_Wetland,Forest
426,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
427,Forest,Water,Shrubland,NULL,Non_Wetland,Water
428,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
429,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water
430,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
431,Forest,Water,Shrubland,Water,Non_Wetland,Water
432,Forest,Water,Shrubland,Water,Non_Wetland,Forest
433,Forest,Water,Grassland,NULL,Non_Wetland,Grassland
434,Forest,Water,Grassland,NULL,Non_Wetland,Water
435,Forest,Water,Grassland,NULL,Non_Wetland,Forest
436,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest
437,Forest,Water,Grassland,Water,Non_Wetland,Grassland
438,Forest,Water,Grassland,Water,Non_Wetland,Water
439,Forest,Water,Cropland,NULL,Non_Wetland,Forest
440,Forest,Water,Cropland,Water,Non_Wetland,Forest
441,Forest,Water,Wetland,NULL,Wetland,Grassland
442,Forest,Water,Wetland,NULL,Wetland,Water
443,Forest,Water,Wetland,NULL,Wetland,Forest
444,Forest,Water,Wetland,Non_Water,Wetland,Grassland
445,Forest,Water,Wetland,Non_Water,Wetland,Wetland
446,Forest,Water,Wetland,Non_Water,Wetland,Water
447,Forest,Water,Wetland,Non_Water,Wetland,Forest
