Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KBU_M_R
45,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
84,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Water
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
111,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
113,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
124,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Bareland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Built-up
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
233,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
234,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Forest
235,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
237,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
238,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
240,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
241,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Built-up
242,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
244,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Built-up
246,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
247,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
248,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Built-up
249,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
250,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
252,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
255,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
256,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Cropland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
264,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
266,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
269,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
272,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Built-up
275,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Forest
276,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Cropland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
279,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
283,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
284,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Cropland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Built-up,Grassland
290,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
291,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
292,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
293,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
294,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
295,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
297,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
298,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
299,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
300,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
301,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
302,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
304,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
305,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
306,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
307,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
308,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
309,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Water
310,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
311,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
312,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
313,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
314,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
315,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Water
316,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
317,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
318,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
319,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
320,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
321,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Water
322,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
323,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
324,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Cropland
325,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
326,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Built-up
