Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LVR_M_R
91,NULL,NULL,Forest,Water,Non_Wetland,Grassland
92,NULL,NULL,Forest,Water,Non_Wetland,Bareland
93,NULL,NULL,Forest,Water,Non_Wetland,Water
94,NULL,NULL,Forest,Water,Non_Wetland,Forest
95,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
96,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
97,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
108,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
112,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
113,NULL,Cropland,Wetland,NULL,Wetland,Forest
114,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
115,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
116,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
117,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
118,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
119,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
120,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
121,NULL,Cropland,Water,NULL,Water,Grassland
122,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
123,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
124,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
125,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
126,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
127,NULL,Cropland,Forest,Non_Water,Non_Wetland,Water
128,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
129,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
130,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
131,NULL,Cropland,Forest,Water,Non_Wetland,Forest
132,NULL,Wetland,Wetland,Water,Wetland,Water
133,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
134,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
135,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
136,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
137,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
138,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
139,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
140,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
141,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
142,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
143,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
144,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
145,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
146,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
147,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
148,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
149,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
150,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Forest
151,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
152,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
153,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
154,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
155,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Water
156,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
157,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
158,NULL,Bareland,Cropland,Water,Non_Wetland,Water
159,NULL,Bareland,Cropland,Water,Non_Wetland,Forest
160,NULL,Bareland,Wetland,NULL,Wetland,Forest
161,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
162,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
163,NULL,Bareland,Wetland,Water,Wetland,Bareland
164,NULL,Bareland,Wetland,Water,Wetland,Water
165,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
166,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
167,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
168,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
169,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
170,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
171,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
172,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
173,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
174,NULL,Bareland,Bareland,Water,Non_Wetland,Water
175,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
176,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
177,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
178,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
179,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
180,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Forest
181,NULL,Bareland,Water,NULL,Water,Bareland
182,NULL,Bareland,Water,NULL,Water,Water
183,NULL,Bareland,Water,NULL,Water,Forest
184,NULL,Bareland,Water,Non_Water,Water,Bareland
185,NULL,Bareland,Water,Water,Water,Bareland
186,NULL,Bareland,Water,Water,Water,Water
187,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
188,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
189,NULL,Bareland,Forest,NULL,Non_Wetland,Water
190,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
191,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland
192,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
193,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
194,NULL,Bareland,Forest,Water,Non_Wetland,Grassland
195,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
196,NULL,Bareland,Forest,Water,Non_Wetland,Water
197,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
198,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
199,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
200,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
201,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
202,NULL,Built-up,NULL,Water,Non_Wetland,Water
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
208,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
209,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
210,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
211,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
212,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
213,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
214,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
215,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
216,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
217,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
218,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
219,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
220,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
221,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
222,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
223,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
224,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
225,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
226,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
227,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
228,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
229,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
230,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
231,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
232,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
233,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
234,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
235,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
236,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
237,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
238,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
239,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
240,NULL,Built-up,Cropland,Water,Non_Wetland,Water
241,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
242,NULL,Built-up,Wetland,Water,Wetland,Forest
243,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
244,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
245,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
246,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
247,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
248,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
249,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
250,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
251,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
252,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
253,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
254,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
255,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
256,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
257,NULL,Built-up,Bareland,Water,Non_Wetland,Water
258,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
259,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
260,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
261,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
262,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
263,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
264,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
265,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
266,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
267,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
268,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
269,NULL,Built-up,Water,NULL,Water,Grassland
270,NULL,Built-up,Water,NULL,Water,Bareland
271,NULL,Built-up,Water,NULL,Water,Built-up
272,NULL,Built-up,Water,NULL,Water,Water
273,NULL,Built-up,Water,NULL,Water,Forest
274,NULL,Built-up,Water,Non_Water,Water,Bareland
275,NULL,Built-up,Water,Non_Water,Water,Water
276,NULL,Built-up,Water,Non_Water,Water,Forest
277,NULL,Built-up,Water,Water,Water,Grassland
278,NULL,Built-up,Water,Water,Water,Bareland
279,NULL,Built-up,Water,Water,Water,Built-up
280,NULL,Built-up,Water,Water,Water,Water
281,NULL,Built-up,Water,Water,Water,Forest
282,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
283,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
284,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
285,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
286,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
287,NULL,Built-up,Forest,NULL,Non_Wetland,Water
288,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
289,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
290,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
291,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
292,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
293,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
294,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
295,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
296,NULL,Built-up,Forest,Water,Non_Wetland,Built-up
297,NULL,Built-up,Forest,Water,Non_Wetland,Water
298,NULL,Built-up,Forest,Water,Non_Wetland,Forest
299,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
300,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
301,NULL,Water,Shrubland,NULL,Non_Wetland,Water
302,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
303,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
304,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
305,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
306,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
307,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
308,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
309,NULL,Water,Shrubland,Water,Non_Wetland,Water
310,NULL,Water,Shrubland,Water,Non_Wetland,Forest
311,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
312,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
313,NULL,Water,Grassland,NULL,Non_Wetland,Forest
314,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
315,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
316,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
317,NULL,Water,Cropland,NULL,Non_Wetland,Water
318,NULL,Water,Cropland,NULL,Non_Wetland,Forest
319,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
320,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
321,NULL,Water,Cropland,Non_Water,Non_Wetland,Built-up
322,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
323,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
324,NULL,Water,Cropland,Water,Non_Wetland,Grassland
325,NULL,Water,Cropland,Water,Non_Wetland,Bareland
326,NULL,Water,Cropland,Water,Non_Wetland,Water
327,NULL,Water,Cropland,Water,Non_Wetland,Forest
328,NULL,Water,Wetland,NULL,Wetland,Water
329,NULL,Water,Wetland,NULL,Wetland,Forest
330,NULL,Water,Wetland,Non_Water,Wetland,Bareland
331,NULL,Water,Wetland,Non_Water,Wetland,Water
332,NULL,Water,Wetland,Non_Water,Wetland,Forest
333,NULL,Water,Wetland,Water,Wetland,Grassland
334,NULL,Water,Wetland,Water,Wetland,Bareland
335,NULL,Water,Wetland,Water,Wetland,Water
336,NULL,Water,Wetland,Water,Wetland,Forest
337,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
338,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
339,NULL,Water,Bareland,NULL,Non_Wetland,Built-up
340,NULL,Water,Bareland,NULL,Non_Wetland,Water
341,NULL,Water,Bareland,NULL,Non_Wetland,Forest
342,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
343,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
344,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
345,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
346,NULL,Water,Bareland,Water,Non_Wetland,Grassland
347,NULL,Water,Bareland,Water,Non_Wetland,Bareland
348,NULL,Water,Bareland,Water,Non_Wetland,Water
349,NULL,Water,Bareland,Water,Non_Wetland,Forest
350,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
351,NULL,Water,Built-up,NULL,Non_Wetland,Forest
352,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
353,NULL,Water,Built-up,Water,Non_Wetland,Water
354,NULL,Water,Water,NULL,Water,Water
355,NULL,Water,Water,NULL,Water,Forest
356,NULL,Water,Water,Non_Water,Water,Bareland
357,NULL,Water,Water,Non_Water,Water,Water
358,NULL,Water,Water,Water,Water,Grassland
359,NULL,Water,Water,Water,Water,Bareland
360,NULL,Water,Water,Water,Water,Water
361,NULL,Water,Water,Water,Water,Forest
362,NULL,Water,Forest,NULL,Non_Wetland,Grassland
363,NULL,Water,Forest,NULL,Non_Wetland,Bareland
364,NULL,Water,Forest,NULL,Non_Wetland,Built-up
365,NULL,Water,Forest,NULL,Non_Wetland,Water
366,NULL,Water,Forest,NULL,Non_Wetland,Forest
367,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
368,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
369,NULL,Water,Forest,Non_Water,Non_Wetland,Water
370,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
371,NULL,Water,Forest,Water,Non_Wetland,Bareland
372,NULL,Water,Forest,Water,Non_Wetland,Water
373,NULL,Water,Forest,Water,Non_Wetland,Forest
374,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
375,NULL,Forest,NULL,NULL,Non_Wetland,Forest
376,NULL,Forest,NULL,Water,Non_Wetland,Water
377,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
378,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
379,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
380,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
381,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
382,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland
383,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Water
384,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
385,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
386,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland
387,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
388,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
389,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
390,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
391,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
392,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
393,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
394,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
395,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
396,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
397,NULL,Forest,Cropland,Non_Water,Non_Wetland,Bareland
398,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
399,NULL,Forest,Cropland,Water,Non_Wetland,Bareland
400,NULL,Forest,Cropland,Water,Non_Wetland,Forest
401,NULL,Forest,Wetland,NULL,Wetland,Forest
402,NULL,Forest,Wetland,Non_Water,Wetland,Forest
403,NULL,Forest,Wetland,Water,Wetland,Water
404,NULL,Forest,Wetland,Water,Wetland,Forest
405,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
406,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
407,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
408,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
409,NULL,Forest,Bareland,Non_Water,Non_Wetland,Bareland
410,NULL,Forest,Bareland,Non_Water,Non_Wetland,Water
411,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
412,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
413,NULL,Forest,Bareland,Water,Non_Wetland,Bareland
414,NULL,Forest,Bareland,Water,Non_Wetland,Water
415,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
416,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
417,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
418,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
419,NULL,Forest,Built-up,Non_Water,Non_Wetland,Bareland
420,NULL,Forest,Built-up,Non_Water,Non_Wetland,Forest
421,NULL,Forest,Water,NULL,Water,Forest
422,NULL,Forest,Water,Non_Water,Water,Bareland
423,NULL,Forest,Water,Water,Water,Water
424,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
425,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
426,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
427,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
428,NULL,Forest,Forest,NULL,Non_Wetland,Forest
429,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
430,NULL,Forest,Forest,Non_Water,Non_Wetland,Bareland
431,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
432,NULL,Forest,Forest,Water,Non_Wetland,Grassland
433,NULL,Forest,Forest,Water,Non_Wetland,Water
