Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LZH_M_R
55,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
84,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
86,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Wetland,Grassland
87,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
88,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
89,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
90,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
91,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
93,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
200,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
201,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
202,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
203,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
204,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
205,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
206,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
207,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
208,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
209,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
210,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
211,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
212,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
221,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
223,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
225,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
233,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
235,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
240,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
242,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Cropland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
245,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
246,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
247,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
253,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
256,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
257,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
260,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
261,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
262,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
265,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
266,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
269,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
272,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
275,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
277,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
278,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Cropland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
281,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
282,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
286,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
290,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
291,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
295,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Built-up
299,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
302,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
304,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
305,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Forest
307,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
309,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
310,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
311,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
315,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
316,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
320,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
322,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
