Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZT_M_R
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
186,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
187,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
188,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
189,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
190,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
191,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
192,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
193,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
194,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
195,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
196,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
197,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
198,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
199,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
200,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
201,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Bareland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
220,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
222,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
223,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
228,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
229,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
231,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
234,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Wetland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Forest
237,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Built-up
240,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
242,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
245,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
248,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
250,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Forest
252,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
257,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
263,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
264,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
268,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
269,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
272,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
273,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
275,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
276,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
278,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
283,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
286,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
287,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
289,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Water,Grassland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
293,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
295,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
296,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
298,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
299,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
300,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
301,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
302,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
303,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
304,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
305,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
306,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
307,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Wetland
308,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
309,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
310,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland,Water,Grassland
311,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
312,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
313,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
314,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
315,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
316,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
317,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
318,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
319,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
320,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
