Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFS_M_R
99,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
100,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
101,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
102,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
103,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
104,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
105,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
107,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
108,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
109,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
112,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
113,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
114,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
115,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
116,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
117,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
118,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
119,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
121,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
122,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
126,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
127,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
128,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
129,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
130,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
131,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
132,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
133,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
134,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
135,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
136,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
138,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
139,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
140,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
141,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
142,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
144,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Forest
145,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
146,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
147,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Water
148,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
149,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
150,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
151,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
152,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
153,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
154,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
155,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
157,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
158,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
159,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
160,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
161,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
162,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
163,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
164,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Wetland,Grassland
165,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
166,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
167,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
168,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
169,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
170,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
171,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
172,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
173,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
174,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
175,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Forest
176,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
177,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
178,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
179,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
180,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
181,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
182,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
183,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
184,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
185,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
186,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
187,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
188,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
189,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
190,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
191,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
192,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
193,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
194,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
195,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
196,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Water
197,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
198,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
199,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
200,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
201,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
202,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
203,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
204,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
205,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
206,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
207,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Forest
208,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
209,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
210,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
211,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
212,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
213,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
214,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Water
215,NULL,NULL,Wetland,Water,Wetland,NULL,Water,Water
216,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
217,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
218,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
219,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
220,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
221,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
222,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
223,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
224,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
225,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
226,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
227,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
228,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
229,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
230,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Forest
231,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
232,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Forest
233,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
234,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
235,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
236,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
237,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
238,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
239,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
240,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
241,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Forest,Forest
242,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland,Wetland,Grassland
243,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
244,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Forest
245,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
246,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
247,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
248,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
249,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
250,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
251,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
252,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
253,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
254,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
255,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
256,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
257,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up,Forest,Forest
258,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
259,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
260,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
261,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,NULL,Forest
262,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
263,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
264,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
265,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Forest
266,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
267,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
268,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
269,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
270,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
271,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
272,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
273,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
274,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
275,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Wetland,Grassland
276,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
277,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Forest
278,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
279,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
280,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
281,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Wetland
282,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Grassland
283,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Grassland
284,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
285,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
286,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
287,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
288,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
289,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
290,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
291,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
292,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
293,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
294,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
295,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
296,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
297,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
298,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
299,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
300,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
301,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
302,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
303,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
304,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
305,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
306,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
307,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
308,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
309,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
310,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
311,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
312,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
313,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Water,Grassland
314,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Water
315,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
316,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
317,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
318,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
319,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Grassland
320,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Forest
321,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
322,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Forest
323,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
324,NULL,NULL,Water,NULL,Water,Water,Wetland,Wetland
325,NULL,NULL,Water,NULL,Water,Water,Wetland,Forest
326,NULL,NULL,Water,NULL,Water,Water,Forest,Grassland
327,NULL,NULL,Water,Non_Water,Water,NULL,Wetland,Water
328,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
329,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Forest
330,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
331,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
332,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
333,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
334,NULL,NULL,Water,Non_Water,Water,Water,Water,Forest
335,NULL,NULL,Water,Water,Water,NULL,Wetland,Grassland
336,NULL,NULL,Water,Water,Water,NULL,Wetland,Water
