Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KBA_M_R
2389,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
2390,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
2391,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
2392,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
2393,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
2394,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
2395,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2396,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2397,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
2398,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2399,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
2400,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
2401,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
2402,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
2403,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
2404,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
2405,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Water
2406,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
2407,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
2408,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Grassland
2409,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Forest
2410,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
2411,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Forest
2412,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Forest
2413,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
2414,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
2415,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
2416,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
2417,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
2418,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
2419,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Cropland
2420,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Water
2421,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Forest
2422,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,NULL
2423,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
2424,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Wetland
2425,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Water
2426,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Forest
2427,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
2428,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
2429,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
2430,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Cropland
2431,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
2432,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
2433,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
2434,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
2435,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
2436,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Grassland
2437,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
2438,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
2439,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,NULL
2440,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
2441,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Forest
2442,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,NULL
2443,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
2444,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Cropland
2445,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
2446,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,NULL
2447,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
2448,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
2449,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
2450,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
2451,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
2452,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
2453,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
2454,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Water
2455,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Water
2456,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
2457,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
2458,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest,Grassland,Grassland
2459,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
2460,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
2461,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
2462,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
2463,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
2464,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2465,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
2466,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
2467,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
2468,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
2469,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Water
2470,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
2471,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
2472,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
2473,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Cropland
2474,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
2475,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
2476,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Water,Grassland
2477,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
2478,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Cropland
2479,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
2480,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2481,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
2482,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2483,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2484,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2485,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2486,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
2487,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
2488,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
2489,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
2490,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2491,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2492,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2493,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
2494,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2495,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2496,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
2497,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
2498,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
2499,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2500,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
2501,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
2502,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2503,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
2504,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
2505,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
2506,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
2507,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
2508,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
2509,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
2510,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2511,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
2512,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
2513,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
2514,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Cropland
2515,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
2516,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
2517,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
2518,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
2519,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
2520,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
2521,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2522,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Cropland
2523,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
2524,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
2525,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2526,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Cropland
2527,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2528,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
2529,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
2530,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
2531,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
2532,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2533,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2534,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
2535,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
2536,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
2537,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
2538,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
2539,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
2540,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Cropland
2541,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
2542,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Grassland
2543,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
2544,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
2545,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
2546,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
2547,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,NULL
2548,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
2549,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
2550,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
2551,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Forest
2552,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
2553,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Cropland
2554,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
2555,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest,Grassland
2556,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
2557,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2558,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Water
2559,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
2560,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
2561,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2562,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
2563,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
2564,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
2565,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2566,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
2567,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
2568,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
2569,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
2570,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
2571,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
2572,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2573,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2574,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
2575,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,NULL,Grassland
2576,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
2577,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
2578,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
2579,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest,NULL,Grassland
2580,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
2581,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest,Grassland,Forest
2582,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest,Wetland,Grassland
2583,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest,Forest,Forest
2584,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
2585,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland,Grassland
2586,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland,Water
2587,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Wetland,Grassland
2588,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Grassland
2589,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
2590,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Cropland
2591,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
2592,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
2593,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,NULL,Grassland
2594,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
2595,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
2596,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Water
2597,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
2598,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
2599,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
2600,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
2601,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
2602,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
2603,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
2604,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
2605,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2606,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
2607,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Built-up
2608,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
2609,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
2610,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
2611,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
2612,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
2613,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
2614,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
2615,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
2616,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
2617,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
2618,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
2619,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
2620,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Wetland
2621,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Bareland
2622,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Built-up
2623,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Water
2624,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
2625,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
2626,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
2627,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Wetland
2628,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
2629,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
2630,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
2631,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
2632,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
2633,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
2634,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
2635,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
2636,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Water
2637,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Forest
2638,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
2639,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
2640,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
2641,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Bareland
2642,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Built-up
2643,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
2644,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2645,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
2646,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Built-up
2647,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
2648,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2649,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2650,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2651,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2652,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2653,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
2654,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2655,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2656,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2657,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
2658,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
2659,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
2660,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
2661,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
2662,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
2663,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
2664,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Water
2665,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
2666,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2667,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2668,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
2669,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2670,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
2671,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2672,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2673,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
2674,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2675,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2676,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
2677,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
2678,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2679,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
2680,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
2681,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2682,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
2683,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
2684,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
2685,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2686,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
2687,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
2688,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
2689,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
2690,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
2691,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
2692,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
2693,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
2694,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
2695,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
2696,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
2697,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
2698,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
2699,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
2700,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
2701,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2702,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
2703,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
2704,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Built-up
