Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LEG_M_R
340,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Cropland
341,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
342,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
343,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
344,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
345,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
346,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
347,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
348,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
349,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
350,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
351,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
352,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
353,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
354,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Forest
355,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
356,Bareland,Bareland,Water,Water,Water,NULL,NULL,Bareland
357,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
358,Bareland,Bareland,Water,Water,Water,NULL,NULL,Forest
359,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
360,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
361,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
362,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
363,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
364,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
365,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
366,Bareland,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
367,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
368,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
369,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
370,Bareland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
371,Bareland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
372,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
373,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
374,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
375,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
376,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
377,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
378,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
379,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
380,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
381,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
382,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
383,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
384,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
385,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
386,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
387,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
388,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
389,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
390,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
391,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
392,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
393,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
394,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
395,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
396,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
397,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
398,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
399,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
400,Bareland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
401,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
402,Bareland,Water,Water,NULL,Water,NULL,NULL,Forest
403,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Bareland
404,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
405,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Forest
406,Bareland,Water,Water,Water,Water,NULL,NULL,Bareland
407,Bareland,Water,Water,Water,Water,NULL,NULL,Water
408,Bareland,Water,Water,Water,Water,NULL,NULL,Forest
409,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
410,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
411,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
412,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
413,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
414,Bareland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
415,Bareland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
416,Bareland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
417,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
418,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
419,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
420,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
421,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
422,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
423,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
424,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
425,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
426,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
427,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
428,Bareland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
429,Bareland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
430,Bareland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
431,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
432,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
433,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
434,Bareland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
435,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
436,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
437,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
438,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
439,Bareland,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
440,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
441,Bareland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
442,Bareland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
443,Bareland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
444,Bareland,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
445,Bareland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
446,Bareland,Forest,Water,NULL,Water,NULL,NULL,Grassland
447,Bareland,Forest,Water,NULL,Water,NULL,NULL,Forest
448,Bareland,Forest,Water,Water,Water,NULL,NULL,Bareland
449,Bareland,Forest,Water,Water,Water,NULL,NULL,Water
450,Bareland,Forest,Water,Water,Water,NULL,NULL,Forest
451,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
452,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
453,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
454,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
455,Water,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
456,Water,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
457,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
458,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
459,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
460,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
461,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
462,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
463,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
464,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
465,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
466,Water,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
467,Water,NULL,Water,Water,Water,NULL,NULL,Wetland
468,Water,NULL,Water,Water,Water,NULL,NULL,Bareland
469,Water,NULL,Water,Water,Water,NULL,NULL,Water
470,Water,NULL,Water,Water,Water,NULL,NULL,Forest
471,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
472,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
473,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
474,Water,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
475,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
476,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
477,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
478,Water,Wetland,Water,NULL,Water,NULL,NULL,Forest
479,Water,Wetland,Water,Non_Water,Water,NULL,NULL,Water
480,Water,Wetland,Water,Water,Water,NULL,NULL,Grassland
481,Water,Wetland,Water,Water,Water,NULL,NULL,Wetland
482,Water,Wetland,Water,Water,Water,NULL,NULL,Water
483,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
484,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
485,Water,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
486,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
487,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
488,Water,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
489,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
490,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
491,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
492,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
493,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
494,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
495,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
496,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
497,Water,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
498,Water,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
499,Water,Bareland,Water,NULL,Water,NULL,NULL,Water
500,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
501,Water,Bareland,Water,Water,Water,NULL,NULL,Water
502,Water,Bareland,Water,Water,Water,NULL,NULL,Forest
503,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
504,Water,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
505,Water,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
506,Water,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
507,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
508,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
509,Water,Built-up,Water,NULL,Water,NULL,NULL,Forest
510,Water,Built-up,Water,Water,Water,NULL,NULL,Forest
511,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
512,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
513,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
514,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
515,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
516,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
517,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
518,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
519,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Wetland
520,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
521,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
522,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
523,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
524,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
525,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
526,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
527,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
528,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
529,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
530,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
531,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
532,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
533,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
534,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
535,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
536,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
537,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
538,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
539,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
540,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
541,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
542,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
543,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
544,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
545,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
546,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
547,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
548,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
549,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
550,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
551,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
552,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
553,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
554,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
555,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
556,Water,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
557,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
558,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
559,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
560,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
561,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
562,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
563,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
564,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
565,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
566,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
567,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
568,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
569,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
570,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
571,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
572,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
573,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
574,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
575,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
576,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
577,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
578,Water,Water,Water,NULL,Water,NULL,NULL,Water
579,Water,Water,Water,NULL,Water,NULL,NULL,Forest
580,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
581,Water,Water,Water,Non_Water,Water,NULL,NULL,Wetland
582,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
583,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
584,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
585,Water,Water,Water,Water,Water,NULL,NULL,Grassland
586,Water,Water,Water,Water,Water,NULL,NULL,Cropland
587,Water,Water,Water,Water,Water,NULL,NULL,Wetland
588,Water,Water,Water,Water,Water,NULL,NULL,Bareland
589,Water,Water,Water,Water,Water,NULL,NULL,Water
590,Water,Water,Water,Water,Water,NULL,NULL,Forest
591,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
592,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
593,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
594,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
595,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
596,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
597,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
598,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
599,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
600,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
601,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
602,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Cropland
603,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
604,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
605,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
606,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
607,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
608,Water,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
609,Water,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
610,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
611,Water,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
612,Water,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
613,Water,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Water
614,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
615,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
616,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
617,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
618,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
619,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
620,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
621,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
622,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
623,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
624,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
625,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
626,Water,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
627,Water,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
628,Water,Forest,Water,NULL,Water,NULL,NULL,Water
629,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
630,Water,Forest,Water,Non_Water,Water,NULL,NULL,Water
631,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
632,Water,Forest,Water,Water,Water,NULL,NULL,Water
633,Water,Forest,Water,Water,Water,NULL,NULL,Forest
634,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
635,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
636,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
637,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
638,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
639,Permanent_ice_and_snow,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
640,Permanent_ice_and_snow,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
641,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Water
642,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
643,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL,NULL,Water
644,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
645,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
646,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
647,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
648,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
649,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
650,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
651,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
652,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
653,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
654,Forest,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
655,Forest,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
656,Forest,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
657,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
658,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
659,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
660,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
661,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
662,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
663,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
664,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
665,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
666,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
667,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
668,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
669,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
670,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
671,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
672,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
673,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
674,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
675,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
676,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
677,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
678,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
679,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
680,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
681,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
682,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
683,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
684,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
685,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
686,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
687,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
688,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
689,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
690,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
691,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
692,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
693,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
694,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
695,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
696,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
697,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
698,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
699,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
700,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
701,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
702,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
703,Forest,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
704,Forest,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
705,Forest,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
706,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
707,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
