Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LBM_M_R
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Water
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Built-up
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Cropland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Water,Bareland
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
204,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
205,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Forest
206,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
207,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
208,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
209,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Grassland
210,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Grassland
211,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
212,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
213,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
214,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
215,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
216,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
217,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
218,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
219,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
220,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
221,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
223,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
225,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
226,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
229,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
233,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
235,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
237,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
239,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
242,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Cropland
244,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
245,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
247,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
250,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
251,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
255,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
256,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Bareland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
260,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
264,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
265,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Water
266,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
270,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
272,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
274,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
277,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Built-up
278,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Bareland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Built-up
281,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
282,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Water,Grassland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Built-up
286,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Cropland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
291,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
295,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
298,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
299,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
300,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
301,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
302,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
303,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
304,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Water
305,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
306,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
307,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
308,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Bareland
309,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
310,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
311,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Wetland,Bareland
312,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Wetland,Water
313,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Water,Grassland
314,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Water,Bareland
315,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
316,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Water
317,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
318,NULL,NULL,Cropland,Water,Non_Wetland,Cropland,NULL,Grassland
319,NULL,NULL,Cropland,Water,Non_Wetland,Cropland,NULL,Bareland
320,NULL,NULL,Cropland,Water,Non_Wetland,Cropland,Grassland,Grassland
321,NULL,NULL,Cropland,Water,Non_Wetland,Cropland,Wetland,Grassland
